instance_id,turns,prompt_tokens,gen_tokens,prefill_s,decode_s,resolved,status
pytest-dev__pytest-5809,1,2574,667,3.8,32.0,False,NO_PATCH
pallets__flask-5014,2,7473,766,9.4,30.6,False,NO_PATCH
pytest-dev__pytest-7205,3,12621,1696,6.7,82.8,True,RESOLVED_FULL
pylint-dev__pylint-6386,3,10704,1890,7.1,90.9,False,NO_PATCH
pylint-dev__pylint-4661,3,9246,1948,8.0,94.7,False,NO_PATCH
pytest-dev__pytest-5262,3,26225,1994,7.6,98.6,False,NO_PATCH
pylint-dev__pylint-7277,2,7837,2058,8.5,99.2,False,NO_PATCH
pytest-dev__pytest-10356,2,12430,2197,6.7,108.2,False,NO_PATCH
pylint-dev__pylint-8898,3,21675,2229,7.9,107.4,False,NO_PATCH
pytest-dev__pytest-6197,3,20092,2414,6.9,116.3,False,RESOLVED_NO
pylint-dev__pylint-4970,3,24735,2767,11.6,124.4,False,NO_PATCH
pytest-dev__pytest-5840,3,15458,2816,6.3,132.2,False,NO_PATCH
pylint-dev__pylint-4551,3,16792,2638,7.9,123.9,False,RESOLVED_NO
pylint-dev__pylint-4604,2,10482,2909,6.3,134.0,False,NO_PATCH
psf__requests-1766,3,9271,2997,2.3,141.7,False,NO_PATCH
mwaskom__seaborn-3069,3,14595,2426,2.9,120.5,False,RESOLVED_NO
pytest-dev__pytest-5631,3,17431,3093,5.6,142.3,False,NO_PATCH
pytest-dev__pytest-10081,3,19540,3617,5.0,162.3,False,NO_PATCH
pytest-dev__pytest-6202,2,11267,3665,7.5,161.3,False,NO_PATCH
pylint-dev__pylint-7080,3,33860,3766,11.0,159.6,False,NO_PATCH
psf__requests-1724,3,20127,3979,4.3,174.3,False,NO_PATCH
psf__requests-2931,3,10206,4098,3.3,178.4,False,NO_PATCH
psf__requests-5414,3,18399,4201,3.5,181.0,False,NO_PATCH
pylint-dev__pylint-6528,3,12145,4681,9.7,185.9,False,NO_PATCH
pylint-dev__pylint-6903,3,17993,4723,9.8,186.8,False,NO_PATCH
mwaskom__seaborn-3187,3,19865,4961,4.4,199.8,False,NO_PATCH
psf__requests-1142,3,13322,6317,2.1,235.4,True,RESOLVED_FULL
pytest-dev__pytest-10051,3,24066,7684,5.7,264.3,False,NO_PATCH
pytest-dev__pytest-5787,3,27511,10480,7.0,327.9,False,NO_PATCH
psf__requests-1921,3,13891,12974,2.8,384.4,False,NO_PATCH
psf__requests-6028,3,18226,16311,4.3,450.9,False,NO_PATCH
psf__requests-2317,3,14062,3135,3.7,145.5,False,RESOLVED_NO
