instance_id,turns,prompt_tokens,gen_tokens,prefill_s,decode_s,resolved,status
pallets__flask-5014,3,19554,1273,11.3,48.7,False,NO_PATCH
psf__requests-1766,2,5081,1470,5.1,63.0,False,NO_PATCH
pytest-dev__pytest-6202,2,11267,1544,8.1,63.7,False,NO_PATCH
pytest-dev__pytest-7205,3,12336,1445,7.7,59.7,True,RESOLVED_FULL
pylint-dev__pylint-4970,2,10351,1615,9.7,63.4,False,NO_PATCH
psf__requests-1921,2,7395,3096,5.4,125.7,False,NO_PATCH
pytest-dev__pytest-5631,5,31846,3121,7.4,124.9,True,RESOLVED_FULL
pylint-dev__pylint-7277,5,23108,3201,11.0,123.8,False,RESOLVED_NO
pylint-dev__pylint-4551,3,16682,3413,10.7,131.5,False,RESOLVED_NO
psf__requests-1724,4,29816,3266,5.0,133.0,False,RESOLVED_NO
psf__requests-2931,2,7678,5170,4.6,211.7,False,NO_PATCH
pytest-dev__pytest-10356,3,22707,5826,5.2,236.6,False,NO_PATCH
psf__requests-1142,3,17803,6414,5.3,260.9,False,NO_PATCH
pylint-dev__pylint-6903,5,33515,6332,8.0,254.2,False,RESOLVED_NO
mwaskom__seaborn-3187,6,39121,7556,6.0,306.5,False,NO_PATCH
pylint-dev__pylint-7080,6,70694,7901,10.8,314.2,False,NO_PATCH
psf__requests-5414,4,34591,8066,5.4,327.3,False,NO_PATCH
pytest-dev__pytest-6197,8,117807,12126,8.2,480.1,False,RESOLVED_NO
psf__requests-6028,4,36339,13133,6.3,519.3,False,NO_PATCH
pytest-dev__pytest-10081,9,75377,13983,7.2,548.5,False,RESOLVED_NO
pylint-dev__pylint-4604,10,139230,15749,12.8,607.0,False,NO_PATCH
pytest-dev__pytest-5262,13,299303,15913,12.6,614.4,False,NO_PATCH
pytest-dev__pytest-5840,4,41311,18142,7.1,693.9,False,NO_PATCH
pylint-dev__pylint-8898,29,645863,32080,14.7,1178.3,False,NO_PATCH
pytest-dev__pytest-5809,8,91286,35238,6.6,1301.3,False,NO_PATCH
pytest-dev__pytest-10051,8,86893,35298,6.2,1303.6,False,NO_PATCH
psf__requests-2317,3,14495,5126,5.6,209.2,False,RESOLVED_NO
pylint-dev__pylint-4661,30,549949,43700,14.7,1550.4,False,NO_PATCH
pytest-dev__pytest-5787,26,684052,47875,16.4,1680.5,False,NO_PATCH
pylint-dev__pylint-6528,48,1230048,57883,20.7,1966.7,False,NO_PATCH
pylint-dev__pylint-6386,50,1108048,57972,19.1,1968.7,False,NO_PATCH
mwaskom__seaborn-3069,49,1221199,57027,17.6,1885.3,False,RESOLVED_NO
