t_s,kv_perc,running,waiting,prefix_hit_cum,preemptions
0.09,0.00,0,0,90.32,0
0.60,0.00,0,0,90.32,0
1.11,0.00,0,0,90.32,0
1.70,0.00,0,0,90.32,0
2.21,0.00,0,0,90.32,0
2.80,0.00,0,0,90.32,0
3.30,0.00,0,0,90.32,0
3.90,0.00,0,0,90.32,0
4.41,0.00,0,0,90.32,0
5.00,0.00,0,0,90.32,0
5.51,0.00,0,0,90.32,0
6.10,0.00,0,0,90.32,0
6.69,0.00,0,0,90.32,0
7.20,0.00,0,0,90.32,0
7.80,0.00,0,0,90.32,0
8.39,0.00,0,0,90.32,0
8.90,0.00,0,0,90.32,0
9.41,0.00,0,0,90.32,0
10.00,0.00,0,0,90.32,0
10.59,0.00,0,0,90.32,0
11.10,0.00,0,0,90.32,0
11.61,0.00,0,0,90.32,0
12.19,0.00,0,0,90.32,0
12.70,0.00,0,0,90.32,0
13.21,0.00,0,0,90.32,0
13.80,0.00,0,0,90.32,0
14.30,0.00,0,0,90.32,0
14.90,0.00,0,0,90.32,0
15.41,0.00,0,0,90.32,0
15.91,0.00,0,0,90.32,0
16.50,0.00,0,0,90.32,0
17.00,0.00,0,0,90.32,0
25.30,26.38,30,0,89.83,0
25.81,29.57,34,0,89.73,0
26.40,29.57,34,0,89.73,0
26.90,32.74,38,34,89.63,0
27.49,32.74,38,34,89.63,0
28.00,35.92,41,39,89.55,0
28.59,39.11,45,35,89.45,0
29.10,39.11,45,35,89.45,0
29.61,42.29,48,32,89.37,0
30.20,42.29,48,32,89.37,0
30.71,45.45,51,29,89.28,0
31.22,48.62,54,26,89.19,0
31.79,48.62,54,26,89.19,0
32.30,51.80,57,23,89.12,0
32.81,51.80,57,23,89.12,0
33.32,54.99,61,19,89.01,0
33.90,58.15,64,16,88.93,0
34.41,58.15,64,16,88.93,0
34.91,61.37,67,13,88.85,0
35.50,61.37,67,13,88.85,0
36.01,64.57,70,10,88.77,0
36.59,67.76,74,6,88.67,0
37.10,67.76,74,6,88.67,0
37.61,76.02,79,1,88.60,0
38.19,77.29,80,0,88.59,0
38.71,77.42,80,0,88.59,0
39.21,77.65,80,0,88.59,0
39.80,77.78,80,0,88.59,0
40.31,77.91,80,0,88.59,0
40.90,78.15,80,0,88.59,0
41.41,78.31,80,0,88.59,0
41.91,78.41,80,0,88.59,0
42.42,78.65,80,0,88.59,0
43.00,78.78,80,0,88.59,0
43.51,78.91,80,0,88.59,0
44.01,79.14,80,0,88.59,0
44.52,79.27,80,0,88.59,0
45.03,79.38,80,0,88.59,0
45.53,79.67,80,0,88.59,0
46.09,79.90,80,0,88.59,0
46.60,80.32,80,0,88.59,0
47.11,80.66,80,0,88.59,0
47.62,80.86,80,0,88.59,0
48.12,81.25,80,0,88.59,0
48.63,81.54,80,0,88.59,0
49.14,81.83,80,0,88.59,0
49.71,82.16,80,0,88.59,0
50.21,82.30,80,0,88.59,0
50.72,82.42,80,0,88.59,0
51.22,82.65,80,0,88.59,0
51.80,82.77,80,0,88.59,0
52.31,82.91,80,0,88.59,0
52.81,83.14,80,0,88.59,0
53.32,83.26,80,0,88.59,0
53.90,83.36,80,0,88.59,0
54.41,83.64,80,0,88.59,0
54.91,83.79,80,0,88.59,0
55.50,83.90,80,0,88.59,0
56.00,84.14,80,0,88.59,0
56.51,84.29,80,0,88.59,0
57.10,84.40,80,0,88.59,0
57.60,83.62,79,0,88.59,0
58.11,83.76,79,0,88.59,0
58.62,83.87,79,0,88.59,0
59.12,85.03,80,0,88.60,0
59.70,85.17,80,0,88.60,0
60.21,85.49,80,0,88.60,0
60.72,84.66,79,0,88.60,0
61.22,87.71,80,0,88.54,0
61.73,88.06,80,0,88.54,0
62.23,88.43,80,0,88.54,0
62.81,88.74,80,0,88.54,0
63.31,89.03,80,0,88.54,0
63.82,89.16,80,0,88.54,0
64.40,89.26,80,0,88.54,0
64.91,89.53,80,0,88.54,0
65.41,88.75,79,0,88.54,0
66.00,88.85,79,0,88.54,0
66.51,89.11,79,0,88.54,0
67.10,88.21,78,0,88.54,0
67.69,88.34,78,0,88.54,0
68.30,87.19,77,0,88.54,0
68.81,88.36,78,0,88.54,0
69.40,87.24,77,0,88.54,0
70.10,87.29,77,0,88.54,0
70.60,90.60,78,0,88.48,0
71.20,90.60,78,0,88.48,0
71.70,96.07,80,0,88.37,0
72.30,95.67,78,0,88.37,0
72.81,94.78,77,0,88.37,0
73.40,95.00,77,0,88.37,0
74.00,95.15,77,0,88.37,0
74.51,95.29,77,0,88.37,0
75.40,95.59,77,0,88.37,0
76.00,95.66,77,0,88.37,0
76.70,99.23,79,0,88.30,0
77.29,98.43,78,1,88.13,0
77.89,98.58,78,1,87.76,0
78.40,98.69,78,1,87.43,0
79.00,98.95,78,1,87.01,0
79.60,99.10,78,1,86.57,0
80.20,99.24,78,1,86.13,0
80.80,98.45,77,1,85.70,0
81.40,95.26,74,1,85.56,0
82.10,98.10,75,0,85.49,0
82.70,98.30,75,0,85.49,0
83.40,97.40,74,0,85.49,0
84.00,96.22,73,0,85.49,0
84.69,96.46,73,0,85.49,0
85.21,95.50,72,0,85.49,0
85.80,95.62,72,0,85.49,0
86.40,95.82,72,0,85.49,0
87.19,94.93,71,0,85.49,0
87.79,94.12,70,0,85.49,0
88.40,92.58,68,0,85.49,0
89.00,91.42,67,0,85.49,0
89.60,91.62,67,0,85.49,0
90.20,90.39,66,0,85.49,0
90.71,90.58,66,0,85.49,0
91.30,90.71,66,0,85.49,0
91.91,90.03,65,0,85.49,0
92.50,90.09,65,0,85.49,0
93.10,91.73,66,0,85.45,0
93.69,91.86,66,0,85.45,0
94.21,90.57,65,0,85.45,0
94.80,90.69,65,0,85.45,0
95.40,90.70,65,0,85.43,0
96.00,90.81,65,0,85.43,0
96.69,89.81,64,0,85.43,0
97.29,89.94,64,0,85.43,0
