t_s,kv_perc,running,waiting,prefix_hit_cum,preemptions
0.01,0.00,0,0,0.00,0
0.52,0.00,0,0,0.00,0
1.02,0.00,0,0,0.00,0
1.53,0.00,0,0,0.00,0
2.04,0.00,0,0,0.00,0
2.54,0.00,0,0,0.00,0
3.05,0.00,0,0,0.00,0
3.55,0.00,0,0,0.00,0
4.06,0.00,0,0,0.00,0
7.92,2.79,6,0,18.13,0
8.43,2.79,6,0,18.13,0
8.94,5.97,11,13,15.89,0
9.44,9.16,14,66,13.94,0
9.95,9.16,14,66,13.94,0
10.45,12.33,17,63,13.24,0
10.96,12.33,17,63,13.24,0
11.47,15.52,21,59,13.16,0
11.97,15.52,21,59,13.16,0
12.48,18.70,23,57,12.04,0
12.99,21.87,25,55,11.91,0
13.50,21.87,25,55,11.91,0
14.01,25.04,29,51,12.05,0
14.52,25.04,29,51,12.05,0
15.03,28.21,33,47,12.02,0
15.54,28.21,33,47,12.02,0
16.05,31.39,36,44,11.91,0
16.56,34.59,39,41,11.91,0
17.07,34.59,39,41,11.91,0
17.58,37.77,43,37,11.83,0
18.09,37.77,43,37,11.83,0
18.60,40.94,46,34,11.87,0
19.11,44.11,49,31,11.87,0
19.62,44.11,49,31,11.87,0
20.14,47.29,53,27,11.85,0
20.65,47.29,53,27,11.85,0
21.16,50.47,56,24,11.81,0
21.67,50.47,56,24,11.81,0
22.18,53.65,59,21,11.81,0
22.69,56.84,63,17,11.79,0
23.20,56.84,63,17,11.79,0
23.71,60.01,66,14,11.79,0
24.22,60.01,66,14,11.79,0
24.73,63.20,69,11,11.77,0
25.23,63.20,69,11,11.77,0
25.74,66.38,72,8,11.74,0
26.25,69.58,75,5,11.69,0
26.75,69.58,75,5,11.69,0
27.26,72.74,77,3,11.24,0
27.76,72.74,77,3,11.24,0
28.27,75.92,79,1,11.21,0
28.78,77.37,80,0,11.30,0
29.28,77.77,80,0,11.30,0
29.79,78.17,80,0,11.30,0
30.30,78.53,80,0,11.30,0
30.80,78.92,80,0,11.30,0
31.31,79.30,80,0,11.30,0
31.81,79.69,80,0,11.30,0
32.32,80.11,80,0,11.30,0
32.83,80.44,80,0,11.30,0
33.33,80.81,80,0,11.30,0
33.84,81.23,80,0,11.30,0
34.35,81.61,80,0,11.30,0
34.85,81.95,80,0,11.30,0
