t_s,kv_perc,running,waiting,prefix_hit_cum,preemptions
0.01,0.00,0,0,0.00,0
0.52,0.00,0,0,0.00,0
1.02,0.00,0,0,0.00,0
1.53,0.00,0,0,0.00,0
2.04,0.00,0,0,0.00,0
2.54,0.00,0,0,0.00,0
3.05,0.00,0,0,0.00,0
3.58,0.00,0,0,0.00,0
6.59,0.74,1,0,0.00,0
7.10,0.74,1,0,0.00,0
7.60,3.93,8,61,16.80,0
8.11,3.93,8,61,16.80,0
8.61,7.11,13,67,15.64,0
9.12,7.11,13,67,15.64,0
9.63,10.31,16,64,13.89,0
10.14,13.49,19,61,13.23,0
10.64,13.49,19,61,13.23,0
11.15,16.67,22,58,12.16,0
11.65,16.67,22,58,12.16,0
12.16,19.85,23,57,12.00,0
12.67,19.85,23,57,12.00,0
13.17,23.02,27,53,12.06,0
13.68,26.21,30,50,12.02,0
14.18,26.21,30,50,12.02,0
14.69,29.40,34,46,12.01,0
15.19,29.40,34,46,12.01,0
15.70,32.57,37,43,12.03,0
16.21,32.57,37,43,12.03,0
16.71,35.74,40,40,11.85,0
17.22,38.92,43,37,11.81,0
17.72,38.92,43,37,11.81,0
18.23,42.11,47,33,11.85,0
18.73,42.11,47,33,11.85,0
19.24,45.27,51,29,11.87,0
19.75,48.48,54,26,11.88,0
20.25,48.48,54,26,11.88,0
20.76,51.65,57,23,11.88,0
21.27,51.65,57,23,11.88,0
21.77,54.84,60,20,11.80,0
22.28,54.84,60,20,11.80,0
22.79,58.02,64,16,11.82,0
23.29,61.20,67,13,11.81,0
23.80,61.20,67,13,11.81,0
24.31,64.37,70,10,11.68,0
24.81,64.37,70,10,11.68,0
25.32,67.58,73,7,11.71,0
25.82,67.58,73,7,11.71,0
26.33,70.76,76,4,11.27,0
26.83,70.76,76,4,11.27,0
27.34,73.93,77,3,11.30,0
27.85,73.93,77,3,11.30,0
28.35,77.53,80,0,11.30,0
28.86,77.88,80,0,11.30,0
29.37,78.31,80,0,11.30,0
29.87,78.71,80,0,11.30,0
30.38,79.06,80,0,11.30,0
30.89,79.42,80,0,11.30,0
31.39,79.81,80,0,11.30,0
31.90,80.19,80,0,11.30,0
32.40,80.56,80,0,11.30,0
32.91,80.93,80,0,11.30,0
33.42,81.33,80,0,11.30,0
33.92,81.72,80,0,11.30,0
34.43,82.05,80,0,11.30,0
34.93,82.42,80,0,11.30,0
35.44,82.81,80,0,11.30,0
35.95,83.20,80,0,11.30,0
36.45,83.54,80,0,11.30,0
36.96,83.90,80,0,11.30,0
37.46,84.30,80,0,11.30,0
37.97,84.69,80,0,11.30,0
38.47,84.95,80,0,12.35,0
38.98,85.31,80,0,12.35,0
39.49,85.71,80,0,12.35,0
39.99,86.10,80,0,12.35,0
40.50,85.83,79,0,12.35,0
41.00,88.32,80,0,12.45,0
41.51,88.70,80,0,12.45,0
42.02,89.11,80,0,12.45,0
42.52,89.47,80,0,12.45,0
43.03,88.53,79,0,12.45,0
43.54,91.77,80,0,13.12,0
44.04,92.16,80,0,13.12,0
44.55,91.34,79,0,13.12,0
45.06,94.27,80,0,13.72,0
45.57,91.70,78,0,14.73,0
46.07,95.10,79,0,15.40,0
46.58,95.10,79,0,15.40,0
47.09,98.63,80,0,16.20,0
47.60,98.20,79,0,16.20,0
48.10,95.76,77,1,16.50,0
48.61,98.21,78,0,16.80,0
49.11,99.98,79,0,16.94,0
49.62,99.16,78,2,16.94,0
50.13,98.98,77,3,16.94,0
50.63,99.34,77,3,16.94,0
51.14,99.20,77,2,16.88,1
51.65,99.19,77,3,16.35,1
52.15,98.45,76,3,15.49,1
52.66,99.01,76,4,14.94,1
53.16,98.25,75,4,14.07,1
53.67,99.89,76,4,13.70,1
54.18,97.50,74,5,13.43,1
54.68,99.36,75,5,12.26,2
55.19,98.56,74,6,11.21,2
55.70,97.84,73,7,10.35,2
56.21,96.82,72,7,10.24,2
56.71,96.82,72,7,10.24,2
57.22,99.61,73,7,10.19,3
57.73,98.68,71,8,10.19,3
58.23,98.91,71,8,9.82,3
58.74,99.26,71,9,9.16,3
59.24,99.56,71,9,8.66,3
59.75,97.12,68,11,8.22,3
60.26,95.10,66,12,7.94,3
60.76,95.10,66,12,7.94,3
61.27,98.24,67,13,7.89,3
61.77,98.62,67,13,7.89,3
62.28,97.87,66,14,7.89,3
62.79,98.18,66,14,7.89,3
63.29,96.79,65,14,7.89,3
63.80,99.84,66,14,7.83,4
64.31,96.15,64,15,7.62,4
64.81,96.80,63,15,7.50,5
65.32,96.80,63,15,7.50,5
65.82,97.46,62,17,7.44,6
66.33,96.42,61,18,7.24,6
66.84,96.42,61,18,7.24,6
67.34,99.31,62,18,7.20,6
67.85,98.82,61,19,7.20,6
68.36,98.01,60,20,7.20,6
68.87,96.37,59,20,7.20,6
69.38,99.57,61,18,7.19,7
69.88,99.70,60,20,7.19,7
70.39,99.99,60,20,7.19,7
70.90,99.05,59,21,7.19,8
71.41,99.34,59,21,7.19,8
71.91,99.64,59,21,7.19,8
72.42,96.74,56,22,7.19,8
72.92,96.74,56,22,7.19,8
73.43,98.88,56,24,7.18,9
73.93,96.90,54,25,7.18,9
74.44,96.90,54,25,7.18,9
74.95,98.32,54,26,7.09,10
75.45,98.59,54,26,6.99,10
75.96,97.66,53,26,6.92,10
76.47,97.66,53,26,6.92,10
76.98,97.90,53,27,6.88,10
77.48,96.62,52,27,6.80,11
77.99,96.62,52,27,6.80,11
78.49,99.50,53,27,6.79,11
79.00,95.17,52,27,6.79,11
79.51,97.49,53,27,6.78,12
80.01,97.73,53,27,6.78,12
80.52,96.46,52,27,6.78,12
81.02,99.43,53,27,6.73,13
81.53,98.49,52,28,6.58,13
82.04,98.77,52,28,6.46,13
82.55,97.80,51,29,6.34,13
83.05,98.03,51,29,6.23,13
83.56,94.54,50,29,6.20,13
84.06,94.54,50,29,6.20,13
84.57,97.71,51,29,6.18,13
85.08,97.93,51,29,6.18,13
85.58,98.24,51,29,6.18,13
86.09,98.49,51,29,6.18,13
86.59,98.72,51,29,6.18,13
87.10,98.97,51,29,6.18,13
87.61,97.45,50,29,6.18,13
88.11,96.20,49,30,6.18,13
88.62,96.20,49,30,6.18,13
89.12,98.10,49,30,6.19,14
89.63,99.34,50,30,6.22,15
90.13,98.24,49,30,6.24,15
90.64,99.85,50,30,6.20,15
91.15,95.94,48,30,6.14,16
91.65,95.94,48,30,6.14,16
92.16,99.34,49,31,6.11,16
92.66,99.57,49,31,6.02,16
93.17,99.83,49,31,5.95,16
93.68,96.73,48,32,5.89,16
94.18,96.96,48,32,5.89,16
94.69,97.20,48,32,5.89,16
95.20,99.37,48,32,5.88,17
95.70,99.61,48,32,5.81,17
96.21,99.84,48,32,5.74,17
96.71,98.64,47,33,5.68,17
97.22,97.21,46,34,5.63,17
97.73,95.42,45,34,5.60,17
98.23,95.42,45,34,5.60,17
98.74,98.63,46,34,5.60,17
99.24,98.85,46,34,5.60,17
99.75,99.08,46,34,5.60,17
100.26,99.32,46,34,5.60,17
100.76,99.55,46,34,5.60,17
101.27,98.40,45,34,5.60,17
101.78,98.66,45,35,5.60,17
102.28,95.60,44,35,5.60,17
102.79,95.60,44,35,5.60,17
103.29,99.42,46,34,5.60,18
103.80,96.19,45,34,5.60,18
104.31,96.19,45,34,5.60,18
104.81,95.38,45,34,5.59,18
105.32,95.38,45,34,5.59,18
105.83,97.28,45,35,5.59,19
106.33,97.51,45,35,5.59,19
106.84,97.74,45,35,5.59,19
107.34,96.37,44,35,5.59,19
107.85,99.49,45,34,5.59,20
108.36,97.97,44,36,5.58,20
108.86,96.51,43,36,5.56,20
109.37,96.51,43,36,5.56,20
109.88,98.92,44,36,5.56,20
110.39,97.37,43,36,5.56,20
110.89,99.50,44,36,5.54,21
111.40,99.72,44,36,5.52,21
111.90,98.52,43,37,5.50,21
112.41,98.71,43,37,5.49,21
112.92,98.93,43,37,5.47,21
113.42,97.91,42,38,5.45,21
113.93,98.10,42,38,5.43,21
114.43,98.31,42,38,5.42,21
114.94,95.25,41,38,5.42,21
115.44,97.82,42,38,5.41,21
115.95,98.03,42,38,5.41,21
116.46,98.28,42,38,5.41,21
116.96,96.41,41,38,5.41,21
117.47,99.44,42,38,5.41,22
117.98,96.11,41,38,5.41,22
118.48,98.30,42,38,5.41,22
118.99,98.52,42,38,5.41,22
119.50,95.25,41,38,5.41,22
120.01,95.25,41,38,5.41,22
120.51,98.80,42,37,5.43,23
121.02,99.91,43,37,5.40,23
121.53,99.19,42,38,5.39,23
122.04,98.70,42,37,5.38,24
122.54,98.91,42,38,5.35,24
123.05,99.14,42,38,5.32,24
123.56,99.32,42,38,5.29,24
124.06,99.52,42,38,5.26,24
124.58,96.16,41,38,5.23,24
125.08,96.16,41,38,5.23,24
125.59,99.21,42,38,5.23,24
126.09,99.44,42,38,5.23,24
126.60,99.65,42,38,5.23,24
127.11,99.87,42,38,5.23,24
127.61,97.50,41,39,5.23,24
128.12,95.54,40,39,5.23,24
128.62,95.54,40,39,5.23,24
129.13,98.46,41,39,5.23,25
129.63,98.66,41,39,5.23,25
130.14,98.87,41,39,5.23,25
