t_s,kv_perc,running,waiting,prefix_hit_cum,preemptions
0.01,0.00,0,0,6.90,21
0.51,0.00,0,0,6.90,21
1.02,0.00,0,0,6.90,21
1.53,0.00,0,0,6.90,21
2.03,0.00,0,0,6.90,21
2.54,32.64,23,15,8.30,21
3.04,62.93,64,5,9.23,21
3.55,77.00,80,0,9.32,21
4.05,77.36,80,0,9.32,21
4.56,77.75,80,0,9.32,21
5.07,78.14,80,0,9.32,21
5.57,78.53,80,0,9.32,21
6.08,78.87,80,0,9.32,21
6.58,79.23,80,0,9.32,21
7.09,79.63,80,0,9.32,21
7.59,80.01,80,0,9.32,21
8.10,80.36,80,0,9.32,21
8.61,80.72,80,0,9.32,21
9.12,81.08,80,0,9.39,21
9.63,81.46,80,0,9.39,21
10.13,81.81,80,0,9.39,21
10.64,82.17,80,0,9.39,21
11.14,82.57,80,0,9.39,21
11.65,81.67,79,0,9.39,21
12.16,81.67,79,0,9.39,21
12.66,85.86,80,0,9.44,21
13.17,86.20,80,0,9.44,21
13.68,86.57,80,0,9.44,21
14.18,86.94,80,0,9.44,21
14.69,87.31,80,0,9.44,21
15.19,86.40,79,0,9.44,21
15.70,87.93,79,0,9.50,21
16.20,87.93,79,0,9.50,21
16.71,91.68,79,0,9.57,21
17.21,94.03,80,0,9.59,21
17.72,93.31,78,0,9.59,21
18.23,93.31,78,0,9.59,21
18.73,95.98,79,0,9.64,21
19.24,96.65,78,1,9.70,21
19.75,96.65,78,1,9.70,21
20.25,99.88,77,2,9.77,21
20.76,97.67,75,3,9.77,21
21.26,99.85,76,2,9.77,21
21.77,98.82,74,4,9.70,22
22.28,99.08,73,7,9.65,22
22.79,99.46,73,7,9.65,22
23.29,97.10,71,8,9.65,22
23.80,97.10,71,8,9.65,22
24.30,98.26,71,9,9.65,22
24.81,97.38,69,9,9.65,22
25.32,98.26,70,10,9.65,22
25.82,97.20,69,10,9.65,22
26.33,99.29,70,10,9.61,22
26.84,99.60,69,11,9.56,22
27.34,98.35,67,13,9.56,22
27.85,96.51,65,13,9.56,22
28.35,99.60,65,14,9.55,22
28.86,98.14,65,15,9.53,22
29.36,97.41,64,15,9.53,22
29.87,99.61,65,15,9.53,23
30.38,95.58,64,15,9.53,23
30.88,99.16,65,15,9.49,23
31.39,99.49,65,15,9.49,23
31.89,97.23,63,16,9.49,23
32.40,99.18,64,16,9.49,23
32.91,98.60,63,16,9.49,23
33.41,97.97,62,18,9.49,23
33.92,96.63,61,18,9.49,23
34.43,96.63,61,18,9.49,23
34.93,99.10,60,20,9.42,23
35.44,98.29,59,21,9.42,23
35.95,96.91,58,21,9.42,23
36.45,99.89,60,20,9.39,23
36.96,98.30,59,21,9.33,23
37.46,98.60,59,21,9.33,23
37.97,99.56,59,20,9.32,24
38.47,98.47,56,23,9.19,24
38.98,97.19,56,23,9.19,24
39.49,99.56,57,23,9.18,24
39.99,95.96,55,23,9.15,24
40.50,99.17,55,25,9.14,24
41.00,96.85,53,25,9.14,24
41.51,99.87,54,25,9.14,24
42.02,96.36,53,27,9.14,24
42.52,99.25,53,27,9.14,25
43.03,97.61,51,28,9.14,25
43.54,97.61,51,28,9.14,25
44.05,99.39,53,27,9.14,25
44.56,98.48,52,27,9.14,25
45.06,98.84,52,27,9.13,26
45.57,99.27,51,29,9.10,26
46.08,98.58,51,28,8.99,26
46.58,99.58,51,29,8.93,26
47.09,98.19,50,30,8.93,26
47.59,97.06,48,30,8.93,26
48.10,98.05,49,31,8.78,26
48.60,97.03,48,32,8.49,26
49.11,99.83,47,32,8.40,26
49.62,97.15,46,33,8.40,26
50.13,99.05,46,32,8.40,27
50.63,99.28,46,33,8.40,27
51.14,99.53,46,33,8.40,27
51.64,99.75,46,33,8.40,27
52.15,97.35,44,34,8.40,27
52.66,97.35,44,34,8.40,27
53.16,99.64,45,35,8.31,27
53.67,99.84,45,35,8.22,27
54.18,94.00,44,36,8.17,27
54.68,94.25,44,36,8.17,27
55.19,94.48,44,36,8.17,27
55.70,94.69,44,36,8.17,27
56.20,94.90,44,36,8.17,27
56.71,93.87,43,36,8.17,27
57.21,99.92,44,36,8.16,28
57.72,94.10,43,37,8.13,28
58.22,94.09,42,38,8.12,29
58.73,94.30,42,38,8.12,29
59.23,94.50,42,38,8.12,29
59.74,94.71,42,38,8.12,29
60.25,94.92,42,38,8.12,29
60.75,95.15,42,38,8.12,29
61.26,93.88,41,38,8.12,29
61.76,94.07,41,39,8.12,30
62.27,94.27,41,39,8.12,30
62.78,94.47,41,39,8.12,30
63.28,94.69,41,39,8.12,30
63.79,94.89,41,39,8.12,30
64.29,95.11,41,39,8.12,30
64.80,94.32,40,39,8.12,30
65.31,94.51,40,39,8.12,30
65.81,94.68,40,39,8.12,30
66.32,94.89,40,39,8.12,30
66.82,95.06,40,39,8.12,30
67.33,99.18,40,39,8.12,30
67.83,99.35,40,39,8.12,30
68.34,97.75,39,39,8.12,30
68.85,99.91,40,39,8.12,31
69.35,93.90,39,39,8.12,31
69.86,99.64,40,39,8.10,31
70.36,98.47,39,39,8.10,31
70.87,99.53,40,39,8.10,31
71.38,99.75,40,39,8.10,31
71.88,99.94,40,39,8.10,31
72.39,98.51,39,41,8.10,31
72.90,98.70,39,41,8.10,31
73.40,98.89,39,41,8.10,31
73.91,99.08,39,41,8.10,31
74.41,99.28,39,41,8.10,31
74.92,99.48,39,41,8.10,31
75.43,99.70,39,41,8.10,31
75.93,99.89,39,41,8.10,31
76.44,96.88,38,42,8.10,31
76.94,97.07,38,42,8.10,31
77.45,95.30,37,42,8.10,31
77.95,99.33,38,42,8.10,32
78.46,98.08,37,42,8.10,32
78.96,99.18,38,42,8.10,33
79.47,99.36,38,42,8.10,33
79.97,99.54,38,42,8.10,33
80.48,99.75,38,42,8.10,33
80.98,99.96,38,42,8.10,33
81.49,98.45,37,43,8.10,33
82.00,98.65,37,43,8.10,33
82.50,98.84,37,43,8.10,33
83.01,99.02,37,43,8.10,33
83.51,99.20,37,43,8.10,33
84.02,99.39,37,43,8.10,33
84.52,99.59,37,43,8.10,33
85.03,98.80,36,43,8.10,33
85.54,99.64,35,43,8.10,33
86.04,96.47,35,43,8.10,33
86.55,99.65,38,40,8.10,34
87.05,98.65,37,42,8.10,34
87.56,97.29,36,43,8.10,34
88.07,97.50,36,43,8.10,34
88.57,99.89,37,42,8.09,34
89.08,98.97,36,43,8.09,34
