t_s,kv_perc,running,waiting,prefix_hit_cum,preemptions
0.01,0.00,0,0,0.00,0
0.51,0.00,0,0,0.00,0
1.02,0.00,0,0,0.00,0
1.52,0.00,0,0,0.00,0
2.03,0.00,0,0,0.00,0
2.54,0.00,0,0,0.00,0
3.04,0.00,0,0,0.00,0
3.55,0.00,0,0,0.00,0
6.61,0.00,0,0,0.00,0
7.12,0.00,0,0,0.00,0
7.62,2.99,3,0,7.47,0
8.13,2.99,3,0,7.47,0
8.63,6.18,7,73,8.36,0
9.14,9.36,10,70,10.04,0
9.65,9.36,10,70,10.04,0
10.15,12.53,14,66,10.81,0
10.66,12.53,14,66,10.81,0
11.16,15.71,19,61,11.79,0
11.67,15.71,19,61,11.79,0
12.17,18.89,23,57,12.50,0
12.68,22.06,27,53,12.67,0
13.19,22.06,27,53,12.67,0
13.69,25.25,30,50,12.42,0
14.20,25.25,30,50,12.42,0
14.71,28.42,34,46,12.18,0
15.21,28.42,34,46,12.18,0
15.72,31.58,37,43,12.05,0
16.22,34.74,40,40,11.98,0
16.73,34.74,40,40,11.98,0
17.24,37.93,43,37,11.95,0
17.74,37.93,43,37,11.95,0
18.25,41.12,47,33,12.00,0
18.75,41.12,47,33,12.00,0
19.26,44.30,50,30,11.88,0
19.76,47.48,53,27,11.88,0
20.27,47.48,53,27,11.88,0
20.78,50.64,56,24,11.81,0
21.29,50.64,56,24,11.81,0
21.79,53.82,59,21,11.79,0
22.30,53.82,59,21,11.79,0
22.80,56.99,63,17,11.79,0
23.31,60.16,66,14,11.81,0
23.82,60.16,66,14,11.81,0
24.32,63.32,70,10,11.68,0
24.83,63.32,70,10,11.68,0
25.33,66.51,73,7,11.71,0
25.84,66.51,73,7,11.71,0
26.34,69.73,75,5,11.62,0
26.85,72.90,79,1,11.21,0
27.36,72.90,79,1,11.21,0
27.86,76.07,79,1,11.21,0
28.37,77.27,80,0,11.30,0
28.87,77.63,80,0,11.30,0
29.38,78.06,80,0,11.30,0
29.89,78.39,80,0,11.30,0
30.39,78.78,80,0,11.30,0
30.90,79.13,80,0,11.30,0
31.40,79.55,80,0,11.30,0
31.91,79.88,80,0,11.30,0
32.42,80.28,80,0,11.30,0
32.93,80.67,80,0,11.30,0
33.43,81.06,80,0,11.30,0
33.94,81.38,80,0,11.30,0
34.44,81.77,80,0,11.30,0
34.95,82.15,80,0,11.30,0
35.46,82.55,80,0,11.30,0
35.96,82.86,80,0,11.30,0
36.47,83.25,80,0,11.30,0
36.97,83.64,80,0,11.30,0
37.48,84.03,80,0,11.30,0
37.99,83.43,79,0,11.30,0
38.49,83.43,79,0,11.30,0
39.00,86.00,79,0,11.97,0
39.51,87.63,80,0,12.33,0
40.01,87.98,80,0,12.33,0
40.52,88.34,80,0,12.33,0
41.02,88.76,80,0,12.33,0
41.53,88.57,79,0,12.33,0
42.03,90.97,80,0,12.43,0
42.54,91.32,80,0,12.43,0
43.05,91.75,80,0,12.43,0
43.55,92.06,80,0,12.43,0
44.06,92.43,80,0,12.43,0
44.56,92.80,80,0,12.43,0
45.07,93.14,80,0,12.43,0
45.58,93.52,80,0,12.43,0
46.08,91.43,78,0,12.43,0
46.59,91.45,78,0,12.43,0
47.10,96.75,80,0,13.97,0
