t_s,kv_perc,running,waiting,prefix_hit_cum,preemptions
0.01,0.00,0,0,13.35,7
0.52,0.00,0,0,13.35,7
1.02,0.00,0,0,13.35,7
1.53,0.00,0,0,13.35,7
2.03,0.00,0,0,13.35,7
2.54,0.00,0,0,13.35,7
3.05,0.00,0,0,13.35,7
3.55,0.00,0,0,13.35,7
4.06,0.00,0,0,13.35,7
4.56,1.25,1,0,13.34,7
5.07,1.25,1,0,13.34,7
5.57,4.43,8,61,13.38,7
6.08,4.43,8,61,13.38,7
6.58,7.99,13,65,13.43,7
7.09,15.23,20,60,13.86,7
7.60,15.23,20,60,13.86,7
8.10,18.40,22,58,13.83,7
8.61,18.40,22,58,13.83,7
9.12,22.78,27,53,13.95,7
9.62,22.78,27,53,13.95,7
10.13,27.64,32,48,14.13,7
10.63,31.71,37,43,14.22,7
11.14,31.71,37,43,14.22,7
11.64,35.76,41,39,14.31,7
12.15,35.76,41,39,14.31,7
12.65,42.88,48,32,14.71,7
13.16,42.88,48,32,14.71,7
13.67,46.98,53,27,14.80,7
14.17,52.23,58,22,14.99,7
14.68,52.23,58,22,14.99,7
15.18,55.39,61,19,14.98,7
15.69,55.39,61,19,14.98,7
16.19,59.48,65,15,15.07,7
16.70,59.48,65,15,15.07,7
17.21,62.66,69,11,15.05,7
17.71,68.65,74,6,15.32,7
18.22,68.65,74,6,15.32,7
18.72,71.84,75,5,15.27,7
19.23,71.84,75,5,15.27,7
19.74,76.16,79,1,15.37,7
20.24,77.28,80,0,15.37,7
20.75,77.70,80,0,15.37,7
21.25,78.08,80,0,15.37,7
21.76,78.48,80,0,15.37,7
22.27,78.80,80,0,15.37,7
22.77,79.20,80,0,15.37,7
23.28,79.60,80,0,15.37,7
23.79,79.98,80,0,15.37,7
24.30,80.32,80,0,15.37,7
24.80,80.69,80,0,15.37,7
25.31,81.11,80,0,15.37,7
25.82,81.51,80,0,15.37,7
26.32,81.85,80,0,15.37,7
26.83,82.21,80,0,15.37,7
27.33,82.62,80,0,15.37,7
27.84,82.99,80,0,15.37,7
28.35,83.33,80,0,15.37,7
28.88,83.71,80,0,15.37,7
29.39,84.13,80,0,15.37,7
29.89,84.51,80,0,15.37,7
30.40,84.87,80,0,15.37,7
30.91,85.19,80,0,15.37,7
31.41,85.62,80,0,15.37,7
31.92,85.99,80,0,15.37,7
32.42,86.35,80,0,15.37,7
32.93,86.68,80,0,15.37,7
33.44,87.10,80,0,15.37,7
33.95,86.72,79,0,15.47,7
34.45,89.23,80,0,15.47,7
34.96,89.55,80,0,15.47,7
35.47,87.67,78,0,15.47,7
35.97,87.67,78,0,15.47,7
36.48,92.34,80,0,15.62,7
36.99,92.70,80,0,15.62,7
37.49,92.41,79,0,15.62,7
38.00,92.43,79,0,15.62,7
38.50,93.96,79,0,15.72,7
39.01,93.96,79,0,15.72,7
39.52,96.28,79,0,15.81,7
40.02,97.17,78,0,15.86,7
40.53,97.51,78,2,16.45,7
41.04,97.85,78,2,17.02,7
41.54,98.24,78,2,17.59,7
42.05,96.92,77,2,17.73,7
42.55,99.94,78,2,17.50,7
43.06,99.24,77,3,17.07,7
43.57,96.09,74,4,16.83,7
44.08,96.09,74,4,16.83,7
44.59,99.21,75,5,16.78,7
45.09,99.57,75,5,16.78,7
45.60,99.91,75,5,16.78,7
46.10,99.16,74,6,16.78,8
46.61,98.26,73,6,16.78,8
47.12,98.52,73,7,16.65,9
47.62,98.90,73,7,16.65,9
48.13,99.21,73,7,16.65,9
48.64,98.57,72,7,16.56,10
49.14,97.87,71,9,16.21,10
49.65,96.75,70,9,16.15,10
50.16,99.89,72,7,16.10,10
50.67,99.87,71,9,16.10,10
51.18,96.25,69,10,16.10,10
51.68,98.26,69,11,16.10,11
52.19,98.61,69,11,16.10,11
52.69,96.32,67,12,16.10,11
53.20,96.32,67,12,16.10,11
53.71,98.11,67,12,16.08,12
54.21,98.72,67,12,16.07,13
54.72,98.53,67,12,15.84,13
55.23,96.32,65,13,15.66,13
55.74,96.32,65,13,15.66,13
56.24,99.29,66,14,15.61,13
56.75,97.94,64,15,15.61,13
57.26,96.96,63,16,15.61,13
57.76,99.60,64,16,15.57,14
58.27,99.89,64,16,15.50,14
58.78,96.43,62,17,15.48,14
59.28,98.11,62,17,15.46,15
59.79,98.88,62,18,15.28,15
60.30,96.41,61,18,15.25,15
60.81,98.40,62,18,15.22,15
61.32,98.65,62,18,15.22,15
61.82,98.99,62,18,15.22,15
62.33,99.31,62,18,15.22,15
62.84,97.24,60,18,15.22,15
63.34,98.53,60,19,15.17,16
63.85,98.81,60,20,14.86,16
64.36,99.15,60,20,14.55,16
64.86,97.92,59,21,14.28,16
65.37,98.23,59,21,14.02,16
65.88,97.82,58,22,13.76,16
66.38,98.10,58,22,13.52,16
66.89,98.37,58,22,13.30,16
67.40,98.70,58,22,13.07,16
67.90,99.00,58,22,12.87,16
68.41,98.07,57,23,12.68,16
68.91,96.36,56,23,12.66,16
69.43,99.54,58,21,12.65,16
69.93,99.56,57,23,12.65,16
70.44,99.83,57,23,12.65,16
70.95,97.24,56,24,12.65,16
71.45,99.07,56,23,12.65,17
71.96,96.10,55,24,12.65,17
72.46,96.10,55,24,12.65,17
72.97,99.83,57,23,12.62,18
73.48,99.32,56,24,12.60,18
73.98,99.57,56,24,12.58,18
74.49,99.85,56,24,12.56,18
75.00,97.71,55,25,12.55,18
75.50,96.46,54,25,12.55,18
76.01,99.13,55,25,12.53,19
76.51,99.42,55,25,12.53,19
77.02,99.38,55,25,12.49,20
77.53,93.81,51,25,12.42,20
78.03,93.81,51,25,12.42,20
78.54,96.98,53,25,12.39,20
79.04,99.88,53,27,12.37,20
79.55,97.17,52,28,12.28,20
80.06,97.39,52,28,12.28,20
80.56,97.64,52,28,12.28,20
81.07,97.92,52,28,12.28,20
81.58,99.57,52,28,12.22,21
82.08,99.81,52,28,12.03,21
82.59,97.09,51,29,11.93,21
83.10,93.91,50,29,11.93,21
83.60,93.91,50,29,11.93,21
84.11,97.01,51,29,11.92,22
84.61,95.76,50,29,11.92,22
85.12,96.06,49,30,11.80,23
85.63,96.06,49,30,11.80,23
86.13,99.47,50,30,11.76,23
86.64,99.71,50,30,11.61,23
87.14,99.98,50,30,11.45,23
87.65,96.83,49,31,11.44,23
88.16,97.06,49,31,11.44,23
88.66,97.29,49,31,11.44,23
89.17,97.54,49,31,11.44,23
89.67,96.48,48,31,11.44,23
90.18,98.29,48,32,11.35,25
90.69,98.54,48,32,11.20,25
91.19,98.77,48,32,11.06,25
91.70,99.00,48,32,10.92,25
92.20,99.24,48,32,10.79,25
92.71,99.50,48,32,10.66,25
93.22,99.75,48,32,10.54,25
93.73,99.99,48,32,10.42,25
94.23,98.75,47,33,10.36,26
94.74,99.00,47,33,10.25,26
95.25,99.23,47,33,10.14,26
95.75,99.47,47,33,10.04,26
96.26,99.72,47,33,9.94,26
96.77,98.53,46,34,9.84,26
97.27,97.31,45,35,9.74,26
97.78,97.52,45,35,9.65,26
98.29,97.75,45,35,9.56,26
98.79,96.23,44,35,9.50,26
99.30,96.23,44,35,9.50,26
99.80,99.43,45,35,9.49,26
100.31,99.67,45,35,9.49,26
100.82,99.88,45,35,9.49,26
101.33,96.97,44,36,9.49,26
101.83,97.18,44,36,9.49,26
102.34,97.38,44,36,9.49,26
102.85,97.61,44,36,9.49,26
103.35,95.78,43,36,9.49,26
103.86,99.04,44,36,9.49,27
104.36,99.25,44,36,9.49,27
104.87,99.47,44,36,9.49,27
105.37,99.69,44,36,9.49,27
105.88,96.56,43,36,9.49,27
106.38,99.73,45,34,9.48,28
106.89,98.90,44,36,9.48,28
107.39,99.14,44,36,9.48,28
107.90,99.36,44,36,9.48,28
108.41,96.35,43,36,9.48,28
108.91,96.35,43,36,9.48,28
109.42,98.66,44,36,9.48,29
109.92,98.88,44,36,9.48,29
110.43,99.10,44,36,9.48,29
110.93,97.71,43,37,9.48,29
111.44,97.95,43,37,9.48,29
111.94,98.17,43,37,9.48,29
112.45,98.40,43,37,9.48,29
112.96,98.62,43,37,9.48,29
113.46,95.31,42,37,9.48,29
113.97,98.48,44,35,9.47,30
114.48,98.26,43,37,9.47,30
114.98,98.47,43,37,9.47,30
115.49,98.71,43,37,9.47,30
115.99,98.92,43,37,9.47,30
116.50,99.15,43,37,9.47,30
117.00,97.71,42,38,9.47,30
117.51,97.92,42,38,9.47,30
118.02,98.15,42,38,9.47,30
118.52,94.55,41,38,9.47,30
119.03,97.89,43,36,9.47,31
119.53,97.89,43,36,9.47,31
120.04,99.91,43,37,9.41,31
120.54,97.48,42,38,9.40,31
121.05,97.72,42,38,9.40,31
121.56,97.93,42,38,9.40,31
122.07,98.16,42,38,9.40,31
122.57,98.37,42,38,9.40,31
123.08,98.58,42,38,9.40,31
123.59,96.77,41,38,9.40,31
124.09,99.61,42,38,9.34,32
124.60,98.26,41,39,9.28,32
125.10,95.60,40,39,9.25,32
125.61,95.60,40,39,9.25,32
126.12,98.13,41,39,9.24,32
126.62,98.32,41,39,9.24,32
127.13,98.55,41,39,9.24,32
127.64,98.76,41,39,9.24,32
128.15,98.96,41,39,9.24,32
128.65,99.18,41,39,9.24,32
129.16,99.39,41,39,9.24,32
129.67,99.59,41,39,9.24,32
130.17,99.81,41,39,9.24,32
130.68,97.56,40,40,9.24,32
131.19,97.76,40,40,9.24,32
131.69,95.19,39,39,9.24,33
132.20,95.19,39,39,9.24,33
132.70,98.37,41,38,9.24,34
133.21,97.69,40,40,9.22,34
133.72,97.88,40,40,9.22,34
134.22,98.08,40,40,9.22,34
134.73,98.91,40,39,9.22,35
135.24,99.10,40,40,9.17,35
135.74,99.29,40,40,9.13,35
136.25,99.53,40,40,9.09,35
136.76,99.72,40,40,9.05,35
