t_s,kv_perc,running,waiting,prefix_hit_cum,preemptions
0.01,0.00,0,0,4.87,140
0.51,0.00,0,0,4.87,140
1.02,0.00,0,0,4.87,140
1.53,0.00,0,0,4.87,140
2.03,0.00,0,0,4.87,140
2.54,0.00,0,0,4.87,140
3.05,0.00,0,0,4.87,140
3.56,0.00,0,0,4.87,140
4.07,0.00,0,0,4.87,140
4.57,0.43,1,0,4.87,140
5.08,3.02,7,0,4.88,140
5.59,3.02,7,0,4.88,140
6.10,7.73,13,67,4.89,140
6.60,7.73,13,67,4.89,140
7.11,12.13,17,63,4.90,140
7.61,15.31,20,60,4.90,140
8.12,15.31,20,60,4.90,140
8.63,19.34,24,56,4.91,140
9.13,19.34,24,56,4.91,140
9.64,23.35,29,51,4.92,140
10.15,23.35,29,51,4.92,140
10.66,28.23,33,47,4.93,140
11.16,31.40,36,44,4.93,140
11.68,31.40,36,44,4.93,140
12.18,35.44,41,39,4.94,140
12.69,35.44,41,39,4.94,140
13.19,41.42,47,33,4.97,140
13.70,44.59,50,30,4.97,140
14.21,44.59,50,30,4.97,140
14.72,47.76,53,27,4.97,140
15.22,47.76,53,27,4.97,140
15.73,50.94,57,23,4.97,140
16.24,50.94,57,23,4.97,140
16.74,54.09,60,20,4.97,140
17.25,57.27,63,17,4.97,140
17.75,57.27,63,17,4.97,140
18.26,60.46,66,14,4.97,140
18.77,60.46,66,14,4.97,140
19.28,63.66,70,10,4.98,140
19.78,63.66,70,10,4.98,140
20.29,68.22,74,6,4.99,140
20.80,74.00,80,0,5.01,140
21.30,74.00,80,0,5.01,140
21.81,77.09,80,0,5.01,140
22.31,77.43,80,0,5.01,140
22.82,77.77,80,0,5.01,140
23.33,78.18,80,0,5.01,140
23.83,78.57,80,0,5.01,140
24.34,78.92,80,0,5.01,140
24.85,79.26,80,0,5.01,140
25.35,79.66,80,0,5.01,140
25.86,80.06,80,0,5.01,140
26.37,80.36,80,0,5.01,140
26.87,80.72,80,0,5.01,140
27.38,81.11,80,0,5.01,140
27.89,81.50,80,0,5.01,140
28.40,81.85,80,0,5.01,140
28.91,82.20,80,0,5.01,140
29.42,82.59,80,0,5.01,140
29.93,82.99,80,0,5.01,140
30.44,83.28,80,0,5.01,140
30.94,83.66,80,0,5.01,140
31.45,84.06,80,0,5.01,140
31.96,84.44,80,0,5.01,140
32.46,84.76,80,0,5.01,140
32.97,84.15,79,0,5.01,140
33.48,84.15,79,0,5.01,140
33.99,87.33,80,0,5.01,140
34.49,87.69,80,0,5.01,140
35.00,88.02,80,0,5.01,140
35.51,88.42,80,0,5.01,140
36.01,88.82,80,0,5.01,140
36.52,88.68,79,0,5.01,140
37.03,88.68,79,0,5.01,140
37.53,91.42,80,0,5.02,140
38.04,89.50,78,0,5.02,140
38.55,92.20,79,0,5.02,140
39.06,92.20,79,0,5.02,140
39.56,93.77,78,0,5.03,140
40.07,96.30,79,0,5.03,140
40.58,99.18,80,0,5.04,140
41.09,98.19,79,1,5.10,140
41.59,97.34,78,2,5.20,140
42.10,96.05,77,2,5.22,140
42.61,98.45,77,2,5.23,140
43.11,96.42,75,3,5.22,140
43.62,96.42,75,3,5.22,140
44.13,99.88,76,4,5.22,140
44.63,96.90,75,5,5.22,140
45.14,96.18,74,5,5.22,140
45.65,98.65,74,6,5.22,141
46.15,96.32,72,7,5.22,141
46.66,96.32,72,7,5.22,141
47.17,99.73,73,7,5.21,141
47.67,96.81,72,8,5.21,141
48.18,95.81,71,8,5.21,141
48.69,98.02,70,7,5.21,142
49.19,95.18,67,7,5.21,142
49.70,95.18,67,7,5.21,142
50.21,96.83,67,6,5.21,142
50.71,96.83,67,6,5.21,142
51.22,97.06,67,6,5.20,143
51.73,97.39,67,6,5.20,143
52.23,99.51,67,5,5.20,144
52.74,99.84,67,5,5.20,144
53.25,99.02,66,5,5.20,144
53.76,98.27,65,5,5.19,144
54.27,96.05,63,5,5.19,144
54.77,96.05,63,5,5.19,144
55.28,99.31,64,4,5.19,144
55.79,98.22,63,4,5.19,144
56.29,99.90,64,3,5.19,145
56.80,98.78,63,4,5.19,145
57.31,99.07,63,4,5.19,145
57.81,99.61,63,3,5.19,146
58.32,98.30,62,3,5.18,146
58.82,98.63,62,3,5.18,146
59.33,98.92,62,3,5.18,146
59.84,96.65,60,3,5.18,146
60.34,96.65,60,3,5.18,146
60.85,99.69,61,2,5.18,146
61.36,99.30,60,2,5.18,146
61.86,98.50,59,2,5.18,146
62.37,97.72,58,2,5.18,146
62.87,96.57,57,2,5.18,146
63.38,99.74,58,1,5.18,146
63.89,99.10,57,1,5.17,147
64.39,99.36,57,1,5.17,147
64.90,95.56,55,1,5.17,147
65.41,95.56,55,1,5.17,147
65.92,98.60,56,0,5.17,147
66.43,98.84,56,0,5.17,147
66.93,97.42,54,0,5.17,147
67.44,97.42,54,0,5.17,147
67.95,98.77,54,2,5.17,147
68.45,98.99,54,2,5.18,147
68.96,99.26,54,2,5.18,147
69.47,99.56,54,2,5.19,147
69.97,99.82,54,2,5.19,147
70.48,98.85,53,2,5.19,148
70.98,99.09,53,2,5.20,148
71.49,99.11,53,1,5.20,148
72.00,99.35,53,2,5.20,148
72.51,99.61,53,2,5.21,148
73.01,99.91,53,2,5.21,148
73.52,98.78,52,3,5.21,148
74.03,99.03,52,3,5.21,148
74.53,95.66,51,3,5.21,148
75.04,98.18,53,1,5.22,149
75.55,98.44,53,1,5.22,149
76.05,98.68,53,1,5.22,149
76.56,98.94,53,1,5.22,149
77.06,99.25,53,2,5.22,149
77.57,99.47,53,2,5.22,149
78.08,98.29,52,2,5.22,149
78.58,96.76,51,2,5.22,149
79.09,96.76,51,2,5.22,149
79.60,99.98,53,0,5.22,150
80.11,98.58,52,0,5.22,151
80.61,97.43,51,0,5.22,151
81.12,95.02,50,0,5.22,151
81.62,95.26,50,0,5.22,151
82.13,95.37,50,0,5.22,151
82.63,95.37,50,0,5.22,151
83.14,98.60,51,2,5.22,151
83.65,98.83,51,2,5.22,151
84.16,97.45,50,2,5.22,151
84.67,99.80,51,1,5.22,152
85.17,97.71,50,2,5.22,152
85.68,97.97,50,2,5.22,152
86.19,98.19,50,2,5.22,152
86.69,97.58,49,2,5.22,152
87.20,97.76,49,2,5.22,153
87.71,97.95,50,0,5.23,154
88.21,95.12,49,0,5.23,154
88.72,90.96,47,0,5.23,154
89.23,91.18,47,0,5.23,154
89.73,91.42,47,0,5.23,154
90.24,90.47,46,0,5.23,154
90.75,90.47,46,0,5.23,154
91.25,93.67,47,0,5.23,154
91.76,92.47,46,0,5.23,154
92.27,92.55,46,0,5.23,154
92.78,92.55,46,0,5.23,154
93.28,95.71,48,0,5.23,154
93.79,97.86,48,2,5.23,154
94.30,96.55,47,2,5.23,154
94.80,99.92,49,0,5.23,155
95.31,99.21,48,1,5.23,155
95.81,99.47,48,1,5.23,155
96.32,99.70,48,1,5.23,155
96.83,99.94,48,1,5.23,155
97.33,94.07,46,2,5.23,155
97.84,96.05,47,0,5.23,157
98.34,96.26,47,0,5.23,157
98.85,96.48,47,0,5.23,157
99.36,93.65,45,0,5.24,157
99.86,93.87,45,0,5.24,157
100.37,94.08,45,0,5.24,157
100.88,94.31,45,0,5.24,157
101.38,94.53,45,0,5.24,157
101.89,94.76,45,0,5.24,157
102.39,94.76,45,0,5.24,157
102.90,97.93,47,0,5.24,157
103.41,98.99,47,0,5.24,157
103.91,97.63,46,0,5.24,157
104.42,97.87,46,0,5.24,157
104.93,96.28,45,0,5.24,157
105.43,96.51,45,0,5.24,157
105.95,96.73,45,0,5.24,157
106.45,96.92,45,0,5.24,157
106.96,97.13,45,0,5.24,157
107.46,98.42,46,0,5.24,157
107.97,98.66,46,0,5.24,157
108.48,98.89,46,0,5.24,157
108.98,97.47,45,0,5.24,157
109.49,95.97,44,0,5.24,157
109.99,96.18,44,0,5.24,157
110.50,96.41,44,0,5.24,157
111.01,96.42,44,0,5.25,157
111.52,95.10,43,0,5.25,157
112.02,91.55,42,0,5.25,157
112.53,91.55,42,0,5.25,157
113.03,92.82,42,0,5.25,157
113.54,88.36,41,0,5.25,157
114.05,88.57,41,0,5.25,157
114.55,88.79,41,0,5.25,157
115.06,89.00,41,0,5.25,157
115.57,87.69,40,0,5.25,157
116.07,84.74,39,0,5.25,157
116.58,84.93,39,0,5.25,157
117.09,85.08,39,0,5.25,157
117.59,85.08,39,0,5.25,157
118.10,88.25,41,2,5.25,157
118.61,88.25,41,2,5.25,157
119.11,91.41,42,1,5.25,157
119.62,91.41,42,1,5.25,157
120.13,94.57,43,0,5.25,157
120.63,95.85,43,0,5.25,157
121.14,96.06,43,0,5.25,157
121.65,95.13,42,0,5.25,157
122.15,96.33,43,0,5.25,157
122.66,96.53,43,0,5.25,157
123.17,96.76,43,0,5.25,157
123.67,96.97,43,0,5.25,157
124.18,97.19,43,0,5.25,157
124.68,97.41,43,0,5.25,157
125.19,97.61,43,0,5.25,157
125.70,97.83,43,0,5.25,157
126.21,98.05,43,0,5.25,157
126.71,93.54,41,0,5.25,157
127.22,94.61,42,0,5.25,157
127.73,94.82,42,0,5.25,157
128.23,95.05,42,0,5.25,157
128.74,95.26,42,0,5.25,157
129.25,95.49,42,0,5.25,157
129.75,95.68,42,0,5.25,157
130.26,95.91,42,0,5.25,157
130.77,92.68,41,0,5.25,157
131.27,91.28,40,0,5.25,157
131.78,91.51,40,0,5.25,157
132.29,91.56,40,0,5.25,157
132.80,91.56,40,0,5.25,157
133.30,93.73,40,0,5.25,157
133.81,93.91,40,0,5.25,157
134.31,92.65,39,0,5.25,157
134.82,90.93,38,0,5.25,157
135.33,91.11,38,0,5.25,157
135.83,91.30,38,0,5.25,157
136.34,91.50,38,0,5.25,157
136.85,89.94,37,0,5.25,157
137.35,89.98,37,0,5.25,157
137.86,89.98,37,0,5.25,157
138.37,94.12,39,0,5.26,157
138.87,96.15,39,0,5.26,157
139.38,95.08,38,0,5.26,157
