t_s,kv_perc,running,waiting,prefix_hit_cum,preemptions
0.01,0.00,0,0,0.00,0
0.51,0.00,0,0,0.00,0
1.02,0.00,0,0,0.00,0
1.59,0.00,0,0,0.00,0
4.76,0.00,0,0,0.00,0
5.27,1.35,1,0,0.00,0
5.77,1.35,1,0,0.00,0
6.28,4.53,5,75,8.59,0
6.78,4.53,5,75,8.59,0
7.29,7.71,8,72,9.49,0
7.79,10.88,12,68,10.32,0
8.30,10.88,12,68,10.32,0
8.81,14.04,15,65,10.54,0
9.31,14.04,15,65,10.54,0
9.82,17.22,19,61,11.18,0
10.32,20.42,23,57,11.59,0
10.83,20.42,23,57,11.59,0
11.33,23.60,26,54,11.45,0
11.84,23.60,26,54,11.45,0
12.35,26.77,30,50,11.36,0
12.85,26.77,30,50,11.36,0
13.36,29.94,32,48,11.32,0
13.87,29.94,32,48,11.32,0
14.37,33.12,36,44,11.52,0
14.88,36.32,41,39,11.87,0
15.38,36.32,41,39,11.87,0
15.89,39.48,44,36,11.86,0
16.40,39.48,44,36,11.86,0
16.90,42.65,48,32,11.93,0
17.41,42.65,48,32,11.93,0
17.92,45.83,50,30,11.60,0
18.42,49.00,53,27,11.62,0
18.93,49.00,53,27,11.62,0
19.44,52.18,57,23,11.68,0
19.94,52.18,57,23,11.68,0
20.45,55.36,61,19,11.72,0
20.95,55.36,61,19,11.72,0
21.46,58.53,64,16,11.76,0
21.96,61.68,67,13,11.72,0
22.47,61.68,67,13,11.72,0
22.98,64.84,71,9,11.71,0
23.48,64.84,71,9,11.71,0
23.99,68.00,74,6,11.66,0
24.50,68.00,74,6,11.66,0
25.00,71.23,78,2,11.37,0
25.51,71.23,78,2,11.37,0
26.02,74.40,78,2,11.37,0
26.53,77.17,80,0,11.30,0
27.03,77.51,80,0,11.30,0
27.54,77.88,80,0,11.30,0
28.05,78.29,80,0,11.30,0
28.56,78.70,80,0,11.30,0
29.06,79.03,80,0,11.30,0
29.57,79.39,80,0,11.30,0
30.08,79.81,80,0,11.30,0
30.58,80.19,80,0,11.30,0
31.09,80.56,80,0,11.30,0
31.60,80.88,80,0,11.30,0
32.10,81.29,80,0,11.30,0
32.61,81.67,80,0,11.30,0
33.12,82.04,80,0,11.30,0
33.62,82.37,80,0,11.30,0
34.13,82.26,79,0,11.30,0
34.63,84.73,80,0,11.43,0
35.14,85.13,80,0,11.43,0
35.65,85.47,80,0,11.43,0
36.15,85.84,80,0,11.43,0
36.66,86.22,80,0,11.43,0
37.17,85.97,79,0,11.43,0
37.68,86.58,79,0,11.80,0
38.18,89.38,80,0,12.45,0
38.69,89.78,80,0,12.45,0
39.20,90.07,80,0,12.45,0
39.70,90.47,80,0,12.45,0
40.21,89.95,79,0,12.45,0
40.72,91.29,80,0,13.24,0
41.22,91.66,80,0,13.24,0
41.73,92.02,80,0,13.24,0
42.24,91.08,79,0,13.24,0
42.75,93.14,79,0,13.86,0
43.25,94.58,80,0,14.85,0
43.76,94.95,80,0,14.85,0
44.27,95.28,80,0,14.85,0
44.77,95.63,80,0,14.85,0
45.28,91.53,76,0,14.85,0
45.78,94.29,77,0,15.44,0
46.29,94.29,77,0,15.44,0
46.79,98.10,78,2,19.96,0
47.30,96.07,76,2,20.97,0
