t_s,kv_perc,running,waiting,prefix_hit_cum,preemptions
0.01,0.00,0,0,0.00,0
0.51,0.00,0,0,0.00,0
1.02,0.00,0,0,0.00,0
1.52,0.00,0,0,0.00,0
2.03,0.00,0,0,0.00,0
5.04,0.74,1,0,0.00,0
5.55,0.74,1,0,0.00,0
6.05,3.93,8,72,17.16,0
6.56,3.93,8,72,17.16,0
7.06,7.10,13,67,15.15,0
7.57,10.29,16,64,14.16,0
8.08,10.29,16,64,14.16,0
8.58,13.47,19,61,12.33,0
9.09,13.47,19,61,12.33,0
9.60,16.64,20,60,12.18,0
10.10,16.64,20,60,12.18,0
10.61,19.81,24,56,12.09,0
11.11,22.99,27,53,12.00,0
11.62,22.99,27,53,12.00,0
12.13,26.15,30,50,12.02,0
12.63,26.15,30,50,12.02,0
13.14,29.34,34,46,11.98,0
13.65,29.34,34,46,11.98,0
14.15,32.50,37,43,12.02,0
14.66,35.68,41,39,12.02,0
15.16,35.68,41,39,12.02,0
15.67,38.86,44,36,11.98,0
16.18,38.86,44,36,11.98,0
16.68,42.03,48,32,11.99,0
17.19,42.03,48,32,11.99,0
17.70,45.21,51,29,11.91,0
18.20,48.39,54,26,11.89,0
18.71,48.39,54,26,11.89,0
19.21,51.56,57,23,11.80,0
19.72,51.56,57,23,11.80,0
20.23,54.72,61,19,11.80,0
20.73,54.72,61,19,11.80,0
21.24,57.91,64,16,11.79,0
21.74,61.09,67,13,11.79,0
22.25,61.09,67,13,11.79,0
22.76,64.28,70,10,11.68,0
23.26,64.28,70,10,11.68,0
23.77,67.47,74,6,11.67,0
24.28,67.47,74,6,11.67,0
24.78,70.66,77,3,11.69,0
25.29,70.66,77,3,11.69,0
25.79,73.82,78,2,11.26,0
26.30,73.82,78,2,11.26,0
26.81,77.39,80,0,11.30,0
27.31,77.77,80,0,11.30,0
27.82,78.16,80,0,11.30,0
28.33,78.57,80,0,11.30,0
28.83,78.92,80,0,11.30,0
29.34,79.29,80,0,11.30,0
29.84,79.64,80,0,11.30,0
30.35,80.06,80,0,11.30,0
30.86,80.45,80,0,11.30,0
31.37,80.79,80,0,11.30,0
31.87,81.17,80,0,11.30,0
32.38,81.54,80,0,11.30,0
32.88,81.93,80,0,11.30,0
33.39,82.27,80,0,11.30,0
33.90,82.65,80,0,11.30,0
34.41,83.02,80,0,11.30,0
34.91,83.41,80,0,11.30,0
35.42,83.75,80,0,11.30,0
35.92,83.12,79,0,11.30,0
36.43,84.43,80,0,12.35,0
36.94,84.82,80,0,12.35,0
37.44,85.16,80,0,12.35,0
37.95,83.14,78,0,12.35,0
38.46,86.39,80,0,14.48,0
38.96,86.34,79,0,14.48,0
39.47,86.37,79,0,14.48,0
39.98,89.05,80,0,14.52,0
40.48,89.41,80,0,14.52,0
40.99,89.73,80,0,14.52,0
41.49,90.09,80,0,14.52,0
42.00,89.14,79,0,14.52,0
42.51,91.96,80,0,15.29,0
43.01,90.92,79,0,15.29,0
43.52,90.92,79,0,15.29,0
44.02,93.01,79,0,16.06,0
44.53,93.01,79,0,16.06,0
45.04,96.62,80,0,16.86,0
45.54,96.17,79,0,16.86,0
46.05,96.17,79,0,16.86,0
46.56,98.90,80,0,17.15,0
47.06,98.19,79,0,17.87,0
