t_s,kv_perc,running,waiting,prefix_hit_cum,preemptions
0.01,0.00,0,0,0.00,0
0.52,0.00,0,0,0.00,0
1.03,0.00,0,0,0.00,0
1.53,0.00,0,0,0.00,0
2.04,0.00,0,0,0.00,0
5.04,0.96,1,0,0.00,0
5.55,0.96,1,0,0.00,0
6.06,4.13,5,75,10.36,0
6.56,7.31,10,70,12.90,0
7.07,7.31,10,70,12.90,0
7.57,10.50,15,65,13.97,0
8.08,10.50,15,65,13.97,0
8.58,13.67,18,62,13.21,0
9.09,13.67,18,62,13.21,0
9.59,16.85,21,59,12.52,0
10.10,20.03,25,55,12.70,0
10.60,20.03,25,55,12.70,0
11.11,23.21,27,53,11.93,0
11.61,23.21,27,53,11.93,0
12.12,26.38,30,50,11.94,0
12.62,26.38,30,50,11.94,0
13.13,29.55,34,46,11.80,0
13.63,29.55,34,46,11.80,0
14.14,32.72,37,43,11.85,0
14.64,35.89,41,39,11.88,0
15.15,35.89,41,39,11.88,0
15.65,39.07,44,36,11.89,0
16.16,39.07,44,36,11.89,0
16.67,42.23,47,33,11.88,0
17.17,45.41,51,29,11.91,0
17.68,45.41,51,29,11.91,0
18.19,48.57,54,26,11.86,0
18.69,48.57,54,26,11.86,0
19.20,51.77,57,23,11.80,0
19.70,51.77,57,23,11.80,0
20.21,54.96,61,19,11.80,0
20.72,54.96,61,19,11.80,0
21.23,58.13,64,16,11.81,0
21.73,61.32,67,13,11.77,0
22.24,61.32,67,13,11.77,0
22.74,64.50,70,10,11.73,0
23.25,64.50,70,10,11.73,0
23.76,67.69,74,6,11.26,0
24.27,67.69,74,6,11.26,0
24.77,70.84,74,6,11.26,0
25.28,70.84,74,6,11.26,0
25.78,74.02,76,4,11.18,0
26.30,77.16,80,0,11.30,0
26.80,77.54,80,0,11.30,0
27.31,77.88,80,0,11.30,0
27.82,78.26,80,0,11.30,0
28.33,78.66,80,0,11.30,0
28.83,79.06,80,0,11.30,0
29.34,79.41,80,0,11.30,0
29.85,79.78,80,0,11.30,0
30.36,80.19,80,0,11.30,0
30.86,80.56,80,0,11.30,0
31.37,80.93,80,0,11.30,0
31.88,81.27,80,0,11.30,0
32.38,81.68,80,0,11.30,0
32.89,82.05,80,0,11.30,0
33.40,82.42,80,0,11.30,0
33.91,82.75,80,0,11.30,0
34.41,83.16,80,0,11.30,0
34.92,83.56,80,0,11.30,0
35.43,83.96,80,0,11.30,0
35.94,84.29,80,0,11.30,0
36.44,84.64,80,0,11.30,0
36.95,85.05,80,0,11.30,0
37.46,84.19,79,0,11.30,0
37.96,87.16,80,0,12.03,0
38.47,86.50,79,0,12.03,0
38.98,86.50,79,0,12.03,0
39.48,89.81,80,0,12.71,0
39.99,89.56,79,0,12.71,0
40.50,92.07,80,0,12.79,0
41.01,92.42,80,0,12.79,0
41.51,92.80,80,0,12.79,0
42.02,91.88,79,0,12.79,0
42.53,95.09,80,0,13.45,0
43.04,95.45,80,0,13.45,0
43.54,94.84,79,0,13.45,0
44.05,95.52,79,0,14.24,0
44.56,96.91,80,0,14.96,0
45.07,95.88,79,0,14.96,0
45.58,95.94,79,0,14.96,0
46.08,99.35,80,0,15.78,0
46.59,99.19,79,1,17.86,0
47.10,99.54,79,1,19.85,0
47.60,98.55,78,1,20.75,0
48.11,98.79,78,2,20.64,0
48.62,99.34,78,2,20.21,1
49.12,99.70,78,2,19.30,1
49.63,98.74,77,3,18.72,1
50.13,99.04,77,3,18.72,1
50.64,99.57,77,3,18.26,2
51.15,98.77,76,3,17.84,2
51.66,97.08,74,3,17.06,2
52.16,97.08,74,3,17.06,2
52.67,97.28,74,6,16.01,2
53.18,98.69,73,7,15.69,3
53.68,97.87,72,8,13.97,3
54.19,98.18,72,8,12.69,3
54.70,98.50,72,8,11.76,3
55.20,97.81,71,8,10.96,3
55.71,96.34,70,8,10.80,3
56.22,96.34,70,8,10.80,3
56.72,99.72,71,7,10.71,3
57.23,97.43,69,7,10.71,3
57.74,97.43,69,7,10.71,3
58.24,98.36,68,6,10.40,4
58.75,96.60,66,6,10.12,4
59.26,96.60,66,6,10.12,4
59.76,98.91,67,5,10.05,4
60.27,99.25,67,5,10.05,4
60.78,95.81,64,5,10.05,4
61.28,95.81,64,5,10.05,4
61.79,99.06,65,4,10.01,5
62.30,99.41,65,4,10.01,5
62.80,99.72,65,4,10.01,5
63.31,99.99,65,4,10.01,5
63.82,97.21,64,5,10.01,5
64.33,97.88,63,4,10.01,6
64.83,96.43,62,4,10.01,6
65.34,96.43,62,4,10.01,6
65.85,99.81,63,3,9.94,7
66.35,98.89,62,3,9.53,7
66.86,96.70,60,3,9.20,7
67.37,96.70,60,3,9.20,7
67.87,99.54,61,2,9.15,7
68.38,98.74,60,2,9.15,7
68.89,96.33,59,2,9.15,7
69.39,96.33,59,2,9.15,7
69.90,98.93,60,2,9.07,8
70.41,99.25,60,2,8.88,8
70.91,96.33,58,2,8.79,8
71.42,96.33,58,2,8.79,8
71.93,98.89,59,0,8.78,8
72.43,98.00,58,0,8.78,8
72.94,95.88,56,0,8.78,8
73.45,96.13,56,0,8.78,8
73.95,93.87,54,0,8.78,8
74.46,94.09,54,0,8.78,8
74.96,94.22,54,0,8.78,8
75.47,94.22,54,0,8.78,8
75.98,97.38,56,1,8.75,8
76.49,99.28,56,1,8.74,8
76.99,99.54,56,1,8.74,8
77.50,98.60,55,1,8.74,8
78.01,98.76,55,1,8.74,8
78.51,99.07,55,0,8.74,9
79.02,98.11,54,0,8.74,9
79.53,98.35,54,0,8.74,9
80.04,97.09,53,1,8.63,9
80.55,97.09,53,1,8.63,9
81.05,99.82,54,0,8.62,9
81.56,97.50,53,1,8.62,9
82.07,99.06,53,0,8.62,10
82.57,99.30,53,0,8.62,10
83.08,98.27,52,0,8.62,10
83.59,98.49,52,0,8.62,10
84.09,98.72,52,0,8.62,10
84.60,98.95,52,0,8.62,10
85.11,99.24,52,1,8.65,10
85.61,98.24,51,1,8.71,10
86.12,99.32,52,0,8.71,10
86.63,99.58,52,0,8.71,10
87.14,94.06,48,0,8.71,10
87.64,94.30,48,0,8.71,10
88.15,91.85,46,0,8.71,10
88.66,92.10,46,0,8.71,10
89.17,89.30,45,0,8.71,10
89.67,87.78,44,0,8.71,10
90.18,87.82,44,0,8.71,10
90.69,90.89,45,0,8.69,10
91.19,90.89,45,0,8.69,10
91.70,94.05,47,1,8.65,10
92.21,94.05,47,1,8.65,10
92.71,97.22,48,0,8.63,10
93.22,97.22,48,0,8.63,10
93.72,98.79,47,0,8.63,10
94.23,98.99,47,0,8.63,10
94.74,99.23,47,0,8.63,10
95.24,98.19,46,1,9.71,10
95.75,98.44,46,1,11.11,10
96.25,96.98,45,1,12.36,10
96.76,97.20,45,1,13.48,10
97.27,95.61,44,1,14.13,10
97.77,95.61,44,1,14.13,10
98.28,99.22,45,0,14.19,10
98.79,99.44,45,0,14.19,10
99.29,99.64,45,0,14.19,10
99.80,98.37,44,0,14.19,10
100.31,99.49,45,0,14.18,10
100.81,99.72,45,0,14.18,10
101.32,99.93,45,0,14.18,10
101.83,99.18,44,1,14.18,10
102.33,99.42,44,1,14.18,10
102.84,99.45,44,1,14.43,11
103.35,99.69,44,1,14.57,11
103.85,99.90,44,1,14.39,11
104.36,99.14,43,2,14.26,11
104.87,98.06,42,2,14.26,11
105.37,99.23,43,1,13.95,12
105.88,97.77,42,1,13.60,12
106.39,98.00,42,1,13.27,12
106.89,97.41,41,1,12.94,12
107.46,94.48,40,1,12.92,12
107.97,97.48,41,0,12.90,12
108.47,94.43,40,0,12.90,12
108.98,93.20,39,0,12.90,12
109.49,91.92,38,0,12.90,12
109.99,90.51,37,0,12.90,12
110.50,90.51,37,0,12.90,12
111.01,93.68,39,2,12.85,12
111.51,93.68,39,2,12.85,12
112.02,96.87,40,1,12.84,12
112.53,99.54,41,0,12.84,12
113.03,99.73,41,0,12.84,12
113.54,98.12,40,0,12.84,12
114.04,96.77,39,0,12.84,12
114.55,94.91,38,0,12.84,12
115.06,94.99,38,0,12.84,12
115.56,94.99,38,0,12.84,12
116.07,98.65,40,0,12.82,12
116.58,98.83,40,0,12.82,12
117.09,99.04,40,0,12.82,12
117.59,99.24,40,0,12.82,12
118.10,99.46,40,0,12.82,12
118.60,99.64,40,0,12.82,12
119.11,99.86,40,0,12.82,12
119.61,99.16,39,1,12.82,12
120.12,99.35,39,1,12.82,12
120.63,98.91,39,0,12.82,13
121.14,99.10,39,0,12.82,13
121.64,99.28,39,0,12.82,13
122.15,99.47,39,0,12.82,13
122.66,99.67,39,0,12.82,13
123.16,99.89,39,0,12.82,13
123.67,99.15,38,1,12.82,13
124.18,97.32,38,0,12.82,14
124.68,94.69,37,0,12.82,14
125.19,94.74,37,0,12.82,14
125.70,96.09,37,0,12.80,14
126.20,96.25,37,0,12.80,14
126.71,92.80,36,0,12.80,14
127.21,92.99,36,0,12.80,14
127.72,93.17,36,0,12.80,14
128.23,93.38,36,0,12.80,14
128.73,93.54,36,0,12.80,14
129.24,93.72,36,0,12.80,14
129.74,93.91,36,0,12.80,14
130.25,93.91,36,0,12.80,14
