t_s,kv_perc,running,waiting,prefix_hit_cum,preemptions
0.01,0.00,0,0,0.00,0
0.51,0.00,0,0,0.00,0
1.02,0.00,0,0,0.00,0
1.53,0.00,0,0,0.00,0
2.04,0.00,0,0,0.00,0
5.04,0.43,1,0,0.00,0
5.55,0.43,1,0,0.00,0
6.06,3.62,6,20,13.34,0
6.56,3.62,6,20,13.34,0
7.07,6.79,10,70,13.76,0
7.57,9.97,14,66,13.08,0
8.08,9.97,14,66,13.08,0
8.58,13.15,18,62,13.72,0
9.09,13.15,18,62,13.72,0
9.59,16.32,21,59,13.09,0
10.10,16.32,21,59,13.09,0
10.60,19.49,23,57,12.11,0
11.11,22.66,26,54,11.84,0
11.61,22.66,26,54,11.84,0
12.12,25.82,30,50,11.83,0
12.62,25.82,30,50,11.83,0
13.13,29.01,33,47,11.91,0
13.64,29.01,33,47,11.91,0
14.14,32.20,36,44,11.83,0
14.65,35.39,40,40,11.89,0
15.15,35.39,40,40,11.89,0
15.66,38.57,43,37,11.82,0
16.16,38.57,43,37,11.82,0
16.67,41.74,46,34,11.75,0
17.17,41.74,46,34,11.75,0
17.68,44.91,50,30,11.70,0
18.18,48.08,53,27,11.70,0
18.69,48.08,53,27,11.70,0
19.20,51.26,56,24,11.73,0
19.70,51.26,56,24,11.73,0
20.21,54.44,60,20,11.73,0
20.71,54.44,60,20,11.73,0
21.22,57.61,63,17,11.74,0
21.72,60.77,66,14,11.72,0
22.23,60.77,66,14,11.72,0
22.73,63.94,70,10,11.69,0
23.24,63.94,70,10,11.69,0
23.74,67.11,72,8,11.21,0
24.25,67.11,72,8,11.21,0
24.76,70.28,73,7,11.14,0
25.26,70.28,73,7,11.14,0
25.77,73.45,75,5,11.10,0
26.28,73.45,75,5,11.10,0
26.78,77.37,80,0,11.30,0
27.29,77.76,80,0,11.30,0
27.80,78.10,80,0,11.30,0
28.30,78.49,80,0,11.30,0
28.81,78.86,80,0,11.30,0
29.32,79.29,80,0,11.30,0
29.83,79.67,80,0,11.30,0
30.34,80.01,80,0,11.30,0
30.84,80.36,80,0,11.30,0
31.35,80.79,80,0,11.30,0
31.85,81.19,80,0,11.30,0
32.36,81.53,80,0,11.30,0
32.87,81.87,80,0,11.30,0
33.38,82.28,80,0,11.30,0
33.88,82.70,80,0,11.30,0
34.39,83.05,80,0,11.30,0
34.90,83.41,80,0,11.30,0
35.40,83.80,80,0,11.30,0
35.91,84.19,80,0,11.30,0
36.42,83.47,79,0,11.30,0
36.92,86.31,80,0,11.99,0
37.43,86.66,80,0,11.99,0
37.94,85.62,79,0,11.99,0
38.44,88.90,80,0,13.02,0
38.95,89.21,80,0,13.02,0
39.46,89.56,80,0,13.02,0
39.97,89.41,79,0,14.08,0
40.47,89.41,79,0,14.08,0
40.98,92.16,80,0,14.12,0
41.49,90.36,78,0,14.12,0
41.99,94.12,80,0,15.59,0
42.50,94.51,80,0,15.59,0
43.01,94.88,80,0,15.59,0
43.52,95.21,80,0,15.59,0
44.02,94.38,79,0,15.59,0
44.53,97.50,80,0,16.08,0
45.04,97.89,80,0,16.08,0
45.55,98.47,80,0,16.79,0
46.05,96.76,78,0,16.79,0
46.56,99.73,79,1,17.82,0
47.06,97.20,78,2,18.20,0
