t_s,kv_perc,running,waiting,prefix_hit_cum,preemptions
0.01,0.00,0,0,0.00,0
0.51,0.00,0,0,0.00,0
1.02,0.00,0,0,0.00,0
1.53,0.00,0,0,0.00,0
2.04,0.00,0,0,0.00,0
5.62,0.00,0,0,0.00,0
6.13,0.67,1,0,0.00,0
6.64,3.85,5,70,8.86,0
7.15,3.85,5,70,8.86,0
7.66,7.03,8,67,10.38,0
8.17,7.03,8,67,10.38,0
8.68,10.20,12,63,10.85,0
9.19,10.20,12,63,10.85,0
9.70,13.38,14,61,10.39,0
10.21,16.56,18,57,10.81,0
10.72,16.56,18,57,10.81,0
11.23,19.73,21,54,10.80,0
11.74,19.73,21,54,10.80,0
12.25,22.91,26,50,11.63,0
12.76,22.91,26,50,11.63,0
13.27,26.11,29,47,11.61,0
13.78,29.28,33,44,11.87,0
14.29,29.28,33,44,11.87,0
14.80,32.45,37,41,11.98,0
15.31,32.45,37,41,11.98,0
15.82,35.61,40,38,11.90,0
16.33,38.80,44,34,11.89,0
16.84,38.80,44,34,11.89,0
17.35,41.96,47,31,11.92,0
17.86,41.96,47,31,11.92,0
18.36,45.13,50,28,11.84,0
18.87,45.13,50,28,11.84,0
19.38,48.31,53,25,11.77,0
19.88,51.50,57,21,11.78,0
20.39,51.50,57,21,11.78,0
20.89,54.68,61,17,11.84,0
21.40,54.68,61,17,11.84,0
21.91,57.85,64,14,11.84,0
22.41,57.85,64,14,11.84,0
22.92,61.03,67,11,11.78,0
23.42,64.20,70,8,11.29,0
23.93,64.20,70,8,11.29,0
24.43,64.20,70,8,11.29,0
24.94,67.38,70,8,11.29,0
25.45,70.55,73,5,11.19,0
25.95,70.55,73,5,11.19,0
26.46,73.72,76,2,11.13,0
26.97,76.11,78,0,11.18,0
27.47,76.46,78,0,11.18,0
27.98,76.84,78,0,11.18,0
28.48,77.20,78,0,11.18,0
28.99,77.59,78,0,11.18,0
29.50,77.95,78,0,11.18,0
30.00,78.32,78,0,11.18,0
30.51,78.71,78,0,11.18,0
31.02,79.08,78,0,11.18,0
31.52,79.46,78,0,11.18,0
32.03,79.79,78,0,11.18,0
32.54,80.18,78,0,11.18,0
33.04,80.54,78,0,11.18,0
33.55,79.90,77,0,11.18,0
34.06,79.90,77,0,11.18,0
34.56,83.04,78,0,12.03,0
35.07,83.43,78,0,12.03,0
35.58,83.41,77,0,12.03,0
36.08,83.46,77,0,12.03,0
36.59,85.12,77,0,12.20,0
37.10,87.75,78,0,12.57,0
37.60,88.10,78,0,12.57,0
38.11,88.42,78,0,12.57,0
38.62,87.71,77,0,12.57,0
39.12,90.58,78,0,13.18,0
39.63,89.77,77,0,13.18,0
40.14,92.70,78,0,13.79,0
40.65,93.04,78,0,13.79,0
41.16,93.44,78,0,13.79,0
41.66,93.80,78,0,13.79,0
42.17,94.12,78,0,13.79,0
42.68,94.48,78,0,13.79,0
43.18,93.67,77,0,13.79,0
43.69,95.86,78,0,14.53,0
44.20,96.23,78,0,14.53,0
44.70,95.18,77,0,14.53,0
45.21,95.25,77,0,14.53,0
45.72,96.61,76,1,16.83,0
46.22,96.61,76,1,16.83,0
46.73,99.00,76,2,15.67,0
47.24,99.36,76,2,13.29,0
47.75,99.66,76,2,11.83,0
