t_s,kv_perc,running,waiting,prefix_hit_cum,preemptions
0.01,0.00,0,0,0.00,0
0.52,0.00,0,0,0.00,0
1.02,0.00,0,0,0.00,0
1.53,0.00,0,0,0.00,0
2.04,0.00,0,0,0.00,0
5.05,0.43,1,0,0.00,0
5.56,0.43,1,0,0.00,0
6.06,3.61,6,20,13.97,0
6.57,6.80,12,68,14.87,0
7.08,6.80,12,68,14.87,0
7.58,9.98,15,65,13.93,0
8.09,9.98,15,65,13.93,0
8.59,13.15,18,62,13.24,0
9.10,16.33,21,59,12.79,0
9.61,16.33,21,59,12.79,0
10.12,19.50,24,56,12.60,0
10.62,19.50,24,56,12.60,0
11.13,22.67,26,54,11.84,0
11.63,22.67,26,54,11.84,0
12.14,25.86,30,50,11.90,0
12.65,25.86,30,50,11.90,0
13.15,29.02,33,47,11.90,0
13.66,32.19,37,43,11.94,0
14.16,32.19,37,43,11.94,0
14.67,35.37,40,40,11.93,0
15.18,35.37,40,40,11.93,0
15.68,38.55,44,36,11.83,0
16.19,41.73,47,33,11.85,0
16.70,41.73,47,33,11.85,0
17.20,44.89,50,30,11.85,0
17.71,44.89,50,30,11.85,0
18.22,48.05,53,27,11.82,0
18.72,48.05,53,27,11.82,0
19.23,51.24,56,24,11.75,0
19.74,54.40,60,20,11.76,0
20.24,54.40,60,20,11.76,0
20.75,57.58,63,17,11.70,0
21.26,57.58,63,17,11.70,0
21.76,60.79,66,14,11.69,0
22.27,60.79,66,14,11.69,0
22.78,63.98,70,10,11.74,0
23.28,63.98,70,10,11.74,0
23.79,67.17,73,7,11.21,0
24.30,70.33,73,7,11.21,0
24.80,70.33,73,7,11.21,0
25.31,73.50,75,5,11.10,0
25.82,73.50,75,5,11.10,0
26.32,77.12,80,0,11.30,0
26.83,77.55,80,0,11.30,0
27.34,77.85,80,0,11.30,0
27.84,78.24,80,0,11.30,0
28.35,78.66,80,0,11.30,0
28.85,79.07,80,0,11.30,0
29.36,79.39,80,0,11.30,0
29.87,79.74,80,0,11.30,0
30.38,80.14,80,0,11.30,0
30.88,80.57,80,0,11.30,0
31.39,80.94,80,0,11.30,0
31.89,81.27,80,0,11.30,0
32.40,81.66,80,0,11.30,0
32.91,82.05,80,0,11.30,0
33.41,82.42,80,0,11.30,0
33.92,82.76,80,0,11.30,0
34.42,83.14,80,0,11.30,0
34.93,83.54,80,0,11.30,0
35.44,83.97,80,0,11.30,0
35.95,84.17,80,0,12.35,0
36.45,84.55,80,0,12.35,0
36.96,84.95,80,0,12.35,0
37.47,83.68,79,0,12.35,0
37.97,87.08,80,0,13.38,0
38.48,86.37,79,0,13.38,0
39.00,88.47,79,0,14.00,0
39.50,88.52,79,0,14.00,0
40.01,91.60,80,0,14.56,0
40.52,91.87,80,0,14.56,0
41.03,92.26,80,0,14.56,0
41.53,92.66,80,0,14.56,0
42.04,93.02,80,0,14.56,0
42.55,88.97,76,0,14.56,0
43.05,88.97,76,0,14.56,0
43.56,94.45,79,0,16.81,0
44.07,97.69,80,0,17.26,0
44.57,98.07,80,0,17.26,0
45.08,98.01,79,1,17.17,0
45.59,97.06,78,1,16.91,0
46.10,97.06,78,1,16.91,0
46.60,99.75,79,1,17.87,0
47.11,97.74,78,2,17.65,0
47.62,98.14,78,2,17.65,0
48.12,98.44,78,2,17.65,0
48.63,98.79,78,2,17.65,0
49.14,97.07,76,3,17.65,0
49.64,99.64,77,3,17.04,1
50.15,97.63,76,4,16.07,1
50.66,97.74,75,4,15.62,2
51.16,99.52,76,4,14.95,2
51.67,98.63,75,5,13.75,2
52.18,97.83,74,6,12.80,2
52.69,96.86,73,6,12.53,2
53.19,98.50,73,5,12.46,2
53.70,99.82,74,5,11.94,2
54.21,97.98,72,5,11.37,3
54.71,97.26,71,5,10.68,3
55.22,94.47,70,5,10.50,3
55.73,94.47,70,5,10.50,3
56.23,96.56,71,3,10.44,3
56.74,99.74,72,2,10.38,3
57.25,98.18,71,3,10.38,3
57.75,92.93,69,3,10.38,3
58.26,92.93,69,3,10.38,3
58.77,96.88,70,1,10.32,4
59.28,97.84,69,1,10.14,4
59.78,96.88,68,1,9.93,4
60.29,96.88,68,1,9.93,4
60.80,96.49,66,0,9.89,4
61.31,96.83,66,0,9.89,4
61.81,95.77,65,0,9.89,4
62.32,96.03,65,0,9.89,4
62.83,96.35,65,0,9.89,4
63.33,95.50,64,0,9.89,4
63.84,93.41,62,0,9.89,4
64.35,88.40,57,0,9.89,4
64.86,88.70,57,0,9.89,4
65.36,86.15,55,0,9.89,4
65.87,85.24,54,0,9.89,4
66.38,84.41,53,0,9.89,4
66.88,84.65,53,0,9.89,4
67.39,84.94,53,0,9.89,4
67.90,83.76,52,0,9.89,4
68.41,84.03,52,0,9.89,4
68.91,83.01,51,0,9.89,4
69.42,80.98,49,0,9.89,4
69.93,81.20,49,0,9.89,4
70.43,80.28,48,0,9.89,4
70.94,79.42,47,0,9.89,4
71.44,79.68,47,0,9.89,4
71.95,77.38,45,0,9.89,4
72.46,77.62,45,0,9.89,4
72.96,72.66,42,0,9.89,4
73.47,72.90,42,0,9.89,4
73.98,68.64,40,0,9.89,4
74.48,67.50,39,0,9.89,4
74.99,66.33,38,0,9.89,4
75.50,66.55,38,0,9.89,4
76.00,66.75,38,0,9.89,4
76.51,65.73,37,0,9.89,4
77.02,64.68,36,0,9.89,4
77.52,64.89,36,0,9.89,4
78.03,64.30,35,0,9.89,4
78.54,64.50,35,0,9.89,4
79.04,64.70,35,0,9.89,4
79.55,64.89,35,0,9.89,4
80.06,63.77,34,0,9.89,4
80.56,63.98,34,0,9.89,4
81.07,64.17,34,0,9.89,4
81.58,64.35,34,0,9.89,4
82.08,64.55,34,0,9.89,4
82.59,64.74,34,0,9.89,4
83.09,64.92,34,0,9.89,4
83.60,65.12,34,0,9.89,4
84.11,61.68,33,0,9.89,4
84.61,61.89,33,0,9.89,4
85.12,62.08,33,0,9.89,4
85.62,62.25,33,0,9.89,4
86.13,62.44,33,0,9.89,4
86.64,62.64,33,0,9.89,4
87.14,62.83,33,0,9.89,4
87.65,63.03,33,0,9.89,4
88.16,61.28,32,0,9.89,4
88.66,61.46,32,0,9.89,4
89.17,61.63,32,0,9.89,4
89.68,61.82,32,0,9.89,4
90.18,62.00,32,0,9.89,4
90.69,62.19,32,0,9.89,4
91.20,62.37,32,0,9.89,4
91.70,62.54,32,0,9.89,4
92.21,62.73,32,0,9.89,4
92.71,61.49,31,0,9.89,4
93.23,60.28,30,0,9.89,4
93.73,60.46,30,0,9.89,4
94.24,60.64,30,0,9.89,4
94.74,60.80,30,0,9.89,4
95.25,60.97,30,0,9.89,4
95.76,61.16,30,0,9.89,4
96.26,61.31,30,0,9.89,4
96.77,61.48,30,0,9.89,4
97.28,61.66,30,0,9.89,4
97.79,61.84,30,0,9.89,4
98.29,62.02,30,0,9.89,4
98.80,62.20,30,0,9.89,4
99.31,62.38,30,0,9.89,4
99.81,57.21,28,0,9.89,4
100.32,55.52,27,0,9.89,4
100.83,52.02,26,0,9.89,4
101.34,52.18,26,0,9.89,4
101.84,50.78,25,0,9.89,4
102.35,49.36,24,0,9.89,4
102.85,49.52,24,0,9.89,4
103.36,47.54,23,0,9.89,4
103.87,47.69,23,0,9.89,4
104.38,47.83,23,0,9.89,4
104.88,47.98,23,0,9.89,4
105.39,48.13,23,0,9.89,4
105.90,48.27,23,0,9.89,4
106.40,48.41,23,0,9.89,4
106.91,48.55,23,0,9.89,4
107.41,48.70,23,0,9.89,4
107.92,48.84,23,0,9.89,4
108.43,48.98,23,0,9.89,4
108.94,49.12,23,0,9.89,4
109.44,49.26,23,0,9.89,4
109.95,45.89,22,0,9.89,4
110.46,46.02,22,0,9.89,4
110.96,46.17,22,0,9.89,4
111.47,46.30,22,0,9.89,4
111.98,46.44,22,0,9.89,4
112.49,44.77,21,0,9.89,4
112.99,44.90,21,0,9.89,4
113.50,45.03,21,0,9.89,4
114.00,45.17,21,0,9.89,4
114.51,45.31,21,0,9.89,4
115.02,45.45,21,0,9.89,4
115.52,45.59,21,0,9.89,4
116.03,45.72,21,0,9.89,4
116.53,45.85,21,0,9.89,4
117.04,44.27,20,0,9.89,4
117.55,44.40,20,0,9.89,4
118.05,44.54,20,0,9.89,4
118.56,44.67,20,0,9.89,4
119.07,41.05,19,0,9.89,4
119.57,41.17,19,0,9.89,4
120.08,41.29,19,0,9.89,4
120.58,41.41,19,0,9.89,4
121.09,41.54,19,0,9.89,4
121.60,41.67,19,0,9.89,4
122.10,41.79,19,0,9.89,4
122.61,41.90,19,0,9.89,4
123.12,42.03,19,0,9.89,4
123.63,42.15,19,0,9.89,4
124.13,40.03,18,0,9.89,4
124.64,40.15,18,0,9.89,4
125.15,38.39,17,0,9.89,4
125.65,38.51,17,0,9.89,4
126.16,36.77,16,0,9.89,4
126.67,36.89,16,0,9.89,4
127.17,37.00,16,0,9.89,4
127.68,35.86,15,0,9.89,4
128.18,35.96,15,0,9.89,4
128.69,36.07,15,0,9.89,4
129.20,36.19,15,0,9.89,4
129.71,36.30,15,0,9.89,4
130.21,36.41,15,0,9.89,4
