t_s,kv_perc,running,waiting,prefix_hit_cum,preemptions
0.01,0.00,0,0,0.00,0
0.51,0.00,0,0,0.00,0
1.02,0.00,0,0,0.00,0
1.53,0.00,0,0,0.00,0
2.03,0.00,0,0,0.00,0
5.04,0.67,1,0,0.00,0
5.55,0.67,1,0,0.00,0
6.05,3.85,5,75,10.93,0
6.56,7.04,10,70,13.02,0
7.06,7.04,10,70,13.02,0
7.57,10.22,13,67,12.39,0
8.07,10.22,13,67,12.39,0
8.58,13.38,17,63,12.65,0
9.08,16.57,21,59,12.68,0
9.59,16.57,21,59,12.68,0
10.10,19.75,26,54,13.13,0
10.60,19.75,26,54,13.13,0
11.11,22.93,29,51,12.76,0
11.61,22.93,29,51,12.76,0
12.12,26.10,33,47,12.84,0
12.63,29.27,36,44,12.69,0
13.13,29.27,36,44,12.69,0
13.64,32.44,39,41,12.63,0
14.15,32.44,39,41,12.63,0
14.65,35.61,42,38,12.36,0
15.16,35.61,42,38,12.36,0
15.66,38.81,45,35,12.26,0
16.17,41.97,47,33,11.86,0
16.68,41.97,47,33,11.86,0
17.18,45.14,50,30,11.74,0
17.69,45.14,50,30,11.74,0
18.20,48.32,53,27,11.77,0
18.70,48.32,53,27,11.77,0
19.21,51.49,57,23,11.79,0
19.71,54.67,61,19,11.83,0
20.22,54.67,61,19,11.83,0
20.72,57.87,64,16,11.76,0
21.23,57.87,64,16,11.76,0
21.74,61.04,67,13,11.80,0
22.24,61.04,67,13,11.80,0
22.75,64.19,70,10,11.68,0
23.25,64.19,70,10,11.68,0
23.76,67.38,73,7,11.71,0
24.27,70.56,76,4,11.19,0
24.78,70.56,76,4,11.19,0
25.28,73.72,76,4,11.19,0
25.79,73.72,76,4,11.19,0
26.29,77.16,80,0,11.30,0
26.80,77.56,80,0,11.30,0
27.30,77.93,80,0,11.30,0
27.81,78.32,80,0,11.30,0
28.32,78.70,80,0,11.30,0
28.82,79.08,80,0,11.30,0
29.33,79.42,80,0,11.30,0
29.84,79.81,80,0,11.30,0
30.34,80.22,80,0,11.30,0
30.85,80.61,80,0,11.30,0
31.35,80.96,80,0,11.30,0
31.86,81.32,80,0,11.30,0
32.37,81.71,80,0,11.30,0
32.88,82.09,80,0,11.30,0
33.38,82.44,80,0,11.30,0
33.89,82.81,80,0,11.30,0
34.40,83.19,80,0,11.30,0
34.91,83.57,80,0,11.30,0
35.41,83.93,80,0,11.30,0
35.92,84.29,80,0,11.30,0
36.42,84.03,79,0,11.30,0
36.93,84.59,79,0,11.68,0
37.44,87.48,80,0,12.35,0
37.94,87.87,80,0,12.35,0
38.45,88.25,80,0,12.35,0
38.96,88.60,80,0,12.35,0
39.46,88.97,80,0,12.35,0
39.97,89.31,80,0,12.35,0
40.47,88.63,79,0,12.35,0
40.98,91.44,80,0,13.02,0
41.49,91.79,80,0,13.02,0
41.99,90.52,78,0,13.02,0
42.50,93.69,79,0,13.64,0
43.01,93.69,79,0,13.64,0
43.51,95.50,79,0,13.70,0
44.02,98.13,80,0,14.01,0
44.53,98.47,80,0,14.01,0
45.03,97.81,79,1,14.58,0
45.54,96.77,78,1,19.56,0
46.04,96.77,78,1,19.56,0
46.55,99.88,79,1,18.27,0
47.06,97.40,78,2,17.30,0
