t_s,kv_perc,running,waiting,prefix_hit_cum,preemptions
0.01,0.00,0,0,0.00,0
0.51,0.00,0,0,0.00,0
1.02,0.00,0,0,0.00,0
1.53,0.00,0,0,0.00,0
2.03,0.00,0,0,0.00,0
5.04,0.88,2,0,12.39,0
5.55,0.88,2,0,12.39,0
6.06,4.06,8,72,14.88,0
6.56,4.06,8,72,14.88,0
7.07,7.24,11,69,12.98,0
7.58,10.43,16,64,14.16,0
8.08,10.43,16,64,14.16,0
8.59,13.60,19,61,13.45,0
9.10,13.60,19,61,13.45,0
9.60,16.77,22,58,12.96,0
10.11,16.77,22,58,12.96,0
10.62,19.94,24,56,11.90,0
11.12,23.12,27,53,11.84,0
11.63,23.12,27,53,11.84,0
12.13,26.29,30,50,11.96,0
12.64,26.29,30,50,11.96,0
13.15,29.46,34,46,11.95,0
13.65,29.46,34,46,11.95,0
14.16,32.65,37,43,11.91,0
14.66,35.82,40,40,11.77,0
15.17,35.82,40,40,11.77,0
15.68,39.00,44,36,11.78,0
16.18,39.00,44,36,11.78,0
16.69,42.17,47,33,11.81,0
17.20,42.17,47,33,11.81,0
17.70,45.33,51,29,11.85,0
18.21,48.51,54,26,11.86,0
18.72,48.51,54,26,11.86,0
19.22,51.68,57,23,11.85,0
19.73,51.68,57,23,11.85,0
20.28,54.87,61,19,11.82,0
20.79,54.87,61,19,11.82,0
21.30,58.05,64,16,11.74,0
21.81,61.22,67,13,11.75,0
22.33,61.22,67,13,11.75,0
22.84,64.41,70,10,11.68,0
23.34,64.41,70,10,11.68,0
23.85,67.61,73,7,11.62,0
24.35,67.61,73,7,11.62,0
24.86,70.78,77,3,11.74,0
25.37,73.95,80,0,11.30,0
25.87,73.95,80,0,11.30,0
26.38,77.13,80,0,11.30,0
26.89,77.53,80,0,11.30,0
27.39,77.85,80,0,11.30,0
27.90,78.24,80,0,11.30,0
28.41,78.61,80,0,11.30,0
28.91,79.04,80,0,11.30,0
29.42,79.39,80,0,11.30,0
29.93,79.73,80,0,11.30,0
30.43,80.12,80,0,11.30,0
30.94,80.52,80,0,11.30,0
31.45,80.87,80,0,11.30,0
31.95,81.21,80,0,11.30,0
32.46,81.61,80,0,11.30,0
32.96,82.00,80,0,11.30,0
33.47,82.36,80,0,11.30,0
33.98,82.24,79,0,11.30,0
34.49,84.64,80,0,11.43,0
34.99,85.05,80,0,11.43,0
35.50,85.44,80,0,11.43,0
36.01,85.78,80,0,11.43,0
36.51,86.17,80,0,11.43,0
37.02,86.54,80,0,11.43,0
37.53,86.92,80,0,11.43,0
38.04,87.26,80,0,11.43,0
38.55,86.66,79,0,11.43,0
39.05,86.66,79,0,11.43,0
39.56,89.83,80,0,13.21,0
40.07,90.17,80,0,13.21,0
40.57,89.42,79,0,13.21,0
41.08,89.42,79,0,13.21,0
41.58,92.89,80,0,13.81,0
42.09,91.02,78,0,13.81,0
42.60,93.83,79,0,14.39,0
43.10,93.83,79,0,14.39,0
43.61,97.30,80,0,14.97,0
44.12,96.63,79,0,14.97,0
44.62,96.63,79,0,14.97,0
45.13,99.73,80,0,15.51,0
45.64,95.92,78,1,15.51,0
46.14,98.99,79,1,20.21,1
46.65,99.39,79,1,21.75,1
47.16,98.74,78,1,20.70,1
