t_s,kv_perc,running,waiting,prefix_hit_cum,preemptions
0.01,0.00,0,0,0.00,0
0.52,0.00,0,0,0.00,0
1.02,0.00,0,0,0.00,0
1.53,0.00,0,0,0.00,0
2.03,0.00,0,0,0.00,0
5.04,0.67,1,0,0.00,0
5.56,0.67,1,0,0.00,0
6.07,3.85,6,74,11.40,0
6.58,3.85,6,74,11.40,0
7.09,7.03,10,70,12.03,0
7.60,10.22,12,68,11.40,0
8.11,10.22,12,68,11.40,0
8.62,13.41,17,63,12.70,0
9.13,13.41,17,63,12.70,0
9.63,16.58,21,59,12.94,0
10.14,16.58,21,59,12.94,0
10.65,19.75,23,57,11.91,0
11.16,22.91,26,54,11.85,0
11.66,22.91,26,54,11.85,0
12.17,26.10,30,50,11.91,0
12.68,26.10,30,50,11.91,0
13.19,29.27,34,46,11.96,0
13.70,29.27,34,46,11.96,0
14.20,32.43,37,43,11.88,0
14.71,35.60,40,40,11.81,0
15.22,35.60,40,40,11.81,0
15.73,38.78,43,37,11.71,0
16.23,38.78,43,37,11.71,0
16.74,41.95,46,34,11.66,0
17.25,41.95,46,34,11.66,0
17.75,45.12,49,31,11.61,0
18.26,48.29,53,27,11.65,0
18.77,48.29,53,27,11.65,0
19.28,51.50,56,24,11.68,0
19.78,51.50,56,24,11.68,0
20.29,54.69,60,20,11.71,0
20.79,54.69,60,20,11.71,0
21.30,57.86,63,17,11.73,0
21.81,61.05,67,13,11.74,0
22.31,61.05,67,13,11.74,0
22.82,64.22,70,10,11.68,0
23.33,64.22,70,10,11.68,0
23.84,67.41,74,6,11.79,0
24.34,67.41,74,6,11.79,0
24.85,70.57,77,3,11.69,0
25.36,73.73,79,1,11.21,0
25.87,73.73,79,1,11.21,0
26.37,76.91,80,0,11.30,0
26.88,77.47,80,0,11.30,0
27.39,77.83,80,0,11.30,0
27.89,78.21,80,0,11.30,0
28.40,78.60,80,0,11.30,0
28.90,79.00,80,0,11.30,0
29.41,79.35,80,0,11.30,0
29.92,79.69,80,0,11.30,0
30.42,80.09,80,0,11.30,0
30.93,80.48,80,0,11.30,0
31.44,80.83,80,0,11.30,0
31.94,81.18,80,0,11.30,0
32.45,81.58,80,0,11.30,0
32.97,81.99,80,0,11.30,0
33.47,82.32,80,0,11.30,0
33.98,82.66,80,0,11.30,0
34.49,83.06,80,0,11.30,0
35.00,83.45,80,0,11.30,0
35.50,83.80,80,0,11.30,0
36.01,84.14,80,0,11.30,0
36.51,84.54,80,0,11.30,0
37.02,84.94,80,0,11.30,0
37.53,85.25,80,0,11.30,0
38.04,84.64,79,0,11.30,0
38.54,84.68,79,0,11.30,0
39.05,87.77,80,0,11.99,0
39.55,87.59,79,0,11.99,0
40.06,90.05,80,0,12.10,0
40.57,90.35,80,0,12.10,0
41.08,90.76,80,0,12.10,0
41.58,89.77,79,0,12.10,0
42.09,93.08,80,0,12.80,0
42.60,93.41,80,0,12.80,0
43.11,92.84,79,0,12.80,0
43.61,95.56,80,0,13.14,0
44.12,96.15,80,0,13.94,0
44.63,96.56,80,0,13.94,0
45.13,95.53,79,0,13.94,0
45.64,95.53,79,0,13.94,0
46.15,98.97,80,0,14.80,0
46.65,99.34,80,0,14.80,0
47.16,97.57,78,0,14.80,0
47.67,96.41,77,1,15.33,0
48.17,98.11,77,3,13.40,0
48.68,95.13,74,4,12.27,0
49.19,95.13,74,4,12.27,0
49.69,99.29,76,4,12.03,0
50.20,99.63,76,4,11.44,0
50.71,98.89,75,4,10.97,0
51.22,99.27,75,5,10.59,0
51.73,99.64,75,5,10.28,0
52.23,97.45,73,5,10.16,0
52.74,99.39,74,6,10.16,0
53.25,99.69,74,6,10.19,0
53.76,97.77,72,7,10.21,0
54.26,98.57,72,6,10.22,1
54.77,98.78,72,5,9.62,1
55.28,96.89,70,5,9.39,1
55.79,96.89,70,5,9.39,1
56.29,98.54,70,4,9.38,1
56.80,98.63,70,3,9.39,1
57.31,97.93,69,2,9.40,1
57.81,98.53,69,1,9.39,1
58.32,98.68,69,1,9.39,1
58.83,99.07,69,1,9.39,1
59.34,99.41,69,2,9.39,1
59.84,98.53,68,1,9.27,2
60.35,98.06,67,1,8.98,2
60.87,98.38,67,1,8.75,2
61.37,97.27,66,1,8.63,2
61.88,99.57,67,0,8.61,2
62.39,99.89,67,1,8.71,2
62.89,96.92,65,2,8.63,2
63.40,96.69,65,1,8.55,3
63.91,96.69,65,1,8.55,3
64.41,99.93,66,0,8.52,3
64.92,99.02,65,0,8.52,4
65.43,99.32,65,1,8.31,4
65.93,99.69,65,1,8.04,4
66.44,96.41,62,1,7.83,4
66.95,96.41,62,1,7.83,4
67.45,99.41,63,0,7.81,4
67.96,99.70,63,0,7.81,4
68.47,96.30,60,1,7.65,4
68.97,96.30,60,1,7.65,4
69.48,99.11,61,0,7.64,4
69.99,99.41,61,0,7.64,4
70.49,99.69,61,0,7.64,4
71.00,99.95,61,0,7.64,4
71.51,96.33,59,3,7.64,4
72.01,99.29,60,2,7.65,5
72.52,98.04,59,2,7.66,5
73.03,99.62,60,1,7.67,5
73.53,99.91,60,1,7.68,5
74.04,98.83,59,2,7.68,5
74.54,99.12,59,3,7.68,5
75.05,99.46,59,2,7.68,6
75.56,96.84,58,2,7.68,6
76.06,99.32,60,0,7.69,6
76.57,98.98,59,0,7.69,6
77.07,97.85,58,0,7.69,6
77.58,99.36,59,1,7.70,6
78.09,98.05,58,1,7.71,6
78.60,99.58,59,0,7.71,6
79.10,99.86,59,0,7.71,6
79.61,98.85,58,1,7.71,6
80.11,96.96,58,1,7.70,7
80.62,95.50,57,1,7.59,7
81.13,95.50,57,1,7.59,7
81.63,98.79,58,0,7.57,7
82.14,99.04,58,0,7.57,7
82.65,99.31,58,0,7.57,7
83.15,98.18,57,0,7.71,7
83.66,98.47,57,0,7.71,7
84.16,98.75,57,0,7.71,7
84.67,99.02,57,0,7.71,7
85.18,99.26,57,0,7.71,7
85.69,98.04,56,0,7.71,7
86.19,98.29,56,1,7.69,7
86.70,98.58,56,1,7.61,7
87.20,98.82,56,1,7.54,7
87.71,97.77,55,1,7.48,7
88.22,97.77,55,1,7.48,7
88.72,98.00,55,1,7.47,7
89.23,98.85,55,0,7.60,8
89.73,99.12,55,0,7.60,8
90.24,99.38,55,0,7.60,8
90.75,99.64,55,0,7.60,8
91.26,96.78,53,0,7.92,8
91.77,94.90,52,0,8.07,8
92.28,95.04,52,0,8.07,8
92.78,93.49,51,0,8.07,8
93.29,93.75,51,0,8.07,8
93.80,93.97,51,0,8.07,8
94.30,94.23,51,0,8.19,8
94.81,93.09,50,0,8.19,8
95.32,93.26,50,0,8.19,8
95.83,97.30,52,0,8.38,8
96.33,97.50,52,0,8.38,8
96.84,96.15,51,0,8.38,8
97.34,95.04,50,0,8.38,8
97.85,95.26,50,0,8.38,8
98.36,94.00,49,0,8.38,8
98.86,94.25,49,0,8.38,8
99.37,94.51,49,0,8.38,8
99.88,94.76,49,0,8.54,8
100.38,94.96,49,0,8.54,8
100.89,92.33,47,0,8.54,8
101.40,93.71,48,0,8.68,8
101.90,93.71,48,0,8.68,8
102.41,96.93,49,0,8.67,8
102.92,93.71,48,0,8.67,8
103.42,98.89,49,0,8.98,8
103.93,99.13,49,0,8.98,8
104.44,97.80,48,0,8.98,8
104.94,98.01,48,0,8.98,8
105.45,98.22,48,0,8.98,8
105.96,98.47,48,0,8.98,8
106.46,95.71,47,0,8.98,8
106.97,94.23,46,0,8.98,8
107.48,92.80,45,0,8.98,8
107.98,95.86,46,0,9.07,8
108.49,96.09,46,0,9.07,8
109.00,93.31,45,0,9.07,8
109.51,93.50,45,0,9.07,8
110.01,92.50,44,0,9.07,8
110.52,92.57,44,0,9.07,8
111.03,96.15,46,0,9.16,8
111.53,96.33,46,0,9.16,8
112.04,96.53,46,0,9.16,8
112.54,96.76,46,0,9.16,8
113.05,97.01,46,0,9.16,8
113.56,96.33,45,0,9.16,8
114.07,96.52,45,0,9.16,8
114.57,96.75,45,0,9.16,8
115.08,96.97,45,0,9.16,8
115.59,97.18,45,0,9.16,8
116.09,95.97,44,0,9.16,8
116.60,91.40,42,0,9.16,8
117.10,91.61,42,0,9.16,8
117.61,90.25,41,0,9.16,8
118.12,88.61,40,0,9.16,8
118.62,88.81,40,0,9.16,8
119.13,89.02,40,0,9.16,8
119.64,89.71,40,0,9.34,8
120.14,89.88,40,0,9.34,8
120.65,90.08,40,0,9.34,8
121.16,88.84,39,0,9.34,8
121.67,89.07,39,0,9.34,8
122.17,89.28,39,0,9.34,8
122.68,89.28,39,0,9.34,8
123.19,92.44,40,0,9.31,8
123.70,93.74,40,0,9.31,8
124.20,93.96,40,0,9.31,8
124.71,94.16,40,0,9.31,8
125.22,94.32,40,0,9.31,8
125.72,94.32,40,0,9.31,8
126.23,97.43,41,0,9.29,8
126.74,94.08,39,0,9.29,8
127.24,94.27,39,0,9.29,8
127.76,92.94,38,0,9.29,8
128.27,91.50,37,0,9.29,8
128.77,91.50,37,0,9.29,8
129.28,94.77,38,0,9.27,8
129.79,94.98,38,0,9.27,8
130.29,93.49,37,0,9.27,8
