t_s,kv_perc,running,waiting,prefix_hit_cum,preemptions
0.01,0.00,0,0,0.00,0
0.51,0.00,0,0,0.00,0
1.02,0.00,0,0,0.00,0
1.53,0.00,0,0,0.00,0
2.03,0.00,0,0,0.00,0
5.04,0.00,0,0,0.00,0
5.54,2.41,12,68,16.21,0
6.06,4.65,19,61,13.63,0
6.56,8.00,26,54,11.96,0
7.07,10.23,33,47,11.92,0
7.57,13.58,44,36,11.91,0
8.08,16.94,54,26,11.86,0
8.59,19.17,60,20,11.85,0
9.09,22.53,70,10,11.68,0
9.60,24.77,77,3,11.39,0
10.11,27.17,80,0,11.30,0
10.62,27.42,80,0,11.30,0
11.13,27.65,80,0,11.30,0
11.63,27.88,80,0,11.30,0
12.14,28.72,80,0,12.09,0
12.65,28.51,77,0,17.02,0
13.15,29.80,76,0,19.92,0
13.66,32.44,79,0,23.10,0
14.17,32.91,78,0,23.60,0
14.68,34.13,75,0,26.15,0
15.18,35.83,77,0,27.59,0
15.69,37.97,76,0,31.37,0
16.19,40.67,77,0,31.96,0
16.70,42.39,79,0,34.26,0
17.21,43.68,78,0,35.98,0
17.72,44.72,76,2,38.31,0
18.23,45.84,77,0,38.70,0
18.73,48.93,78,0,40.14,0
19.24,49.20,75,0,40.75,0
19.74,51.73,77,0,41.91,0
20.25,53.03,76,0,42.27,0
20.76,55.43,76,0,42.19,0
21.26,54.80,73,0,43.45,0
21.77,59.08,75,3,44.18,0
22.28,60.94,78,0,44.55,0
22.78,58.93,75,0,45.32,0
23.29,65.49,79,1,46.42,0
23.80,60.67,76,0,46.71,0
24.30,61.01,73,0,47.84,0
24.81,65.43,74,1,48.59,0
25.32,64.85,73,0,50.44,0
25.83,70.21,75,0,52.30,0
26.33,70.75,73,0,53.17,0
26.84,71.84,76,0,53.61,0
27.35,74.17,76,0,55.02,0
27.86,74.96,77,0,55.20,0
28.36,74.75,75,0,55.57,0
28.87,78.67,76,0,56.66,0
29.38,80.06,77,0,57.41,0
29.88,85.02,79,0,57.84,0
30.39,83.28,78,0,57.83,0
30.90,81.24,76,0,57.98,0
31.40,85.77,76,0,58.94,0
31.91,82.02,71,0,59.05,0
32.42,90.45,78,1,59.75,0
32.92,85.58,76,0,60.25,0
33.43,85.73,75,0,60.84,0
33.94,92.50,79,0,61.32,0
34.44,89.37,75,0,61.43,0
34.95,91.54,76,0,61.79,0
35.46,91.18,76,0,62.18,0
35.96,96.79,77,0,62.58,0
36.47,95.41,76,0,62.52,0
36.98,97.77,77,0,62.74,0
37.48,91.99,73,0,62.49,0
37.99,96.05,76,0,62.39,0
38.50,97.52,75,1,61.73,0
39.01,92.54,74,0,62.12,0
39.51,90.16,73,0,62.20,0
40.02,87.55,72,0,62.33,0
40.53,89.41,73,0,62.66,0
41.03,90.08,73,0,62.67,0
41.54,96.22,75,0,63.10,0
42.05,97.92,76,1,63.32,0
42.56,95.79,75,0,63.33,0
43.06,92.47,74,0,63.31,0
43.57,95.99,75,0,63.12,0
44.08,97.82,76,0,62.82,0
44.58,96.86,73,0,62.84,0
45.09,92.41,72,0,63.06,0
45.60,99.12,75,0,63.43,0
46.11,94.05,73,0,63.49,0
46.62,96.69,73,1,63.73,0
47.12,94.59,71,0,64.03,0
