t_s,kv_perc,running,waiting,prefix_hit_cum,preemptions
0.01,0.00,0,0,0.00,0
0.51,0.00,0,0,0.00,0
1.02,0.00,0,0,0.00,0
1.53,0.00,0,0,0.00,0
2.04,0.00,0,0,0.00,0
5.05,0.00,0,0,0.00,0
5.55,2.68,13,67,15.35,0
6.06,4.92,19,61,13.27,0
6.56,8.27,27,53,11.81,0
7.07,10.50,33,47,11.71,0
7.57,13.85,44,36,11.75,0
8.08,17.20,54,26,11.72,0
8.59,19.44,61,19,11.69,0
9.09,22.80,70,10,11.68,0
9.60,25.04,74,6,11.25,0
10.10,27.19,80,0,11.30,0
10.61,27.44,80,0,11.30,0
11.12,27.68,80,0,11.30,0
11.63,27.36,78,0,11.88,0
12.14,29.16,79,0,14.08,0
12.64,29.53,77,0,15.18,0
13.15,30.22,77,0,18.62,0
13.66,32.30,77,0,21.06,0
14.17,33.20,77,0,23.64,0
14.67,34.06,74,0,26.00,0
15.18,37.41,79,1,28.11,0
15.69,37.22,75,0,31.13,0
16.20,41.30,79,0,32.87,0
16.71,40.89,77,0,34.24,0
17.21,43.28,76,0,35.70,0
17.72,44.84,76,0,37.37,0
18.23,44.53,74,0,37.76,0
18.73,45.26,73,0,39.19,0
19.24,49.60,77,1,41.05,0
19.74,50.95,76,0,41.91,0
20.26,47.58,73,0,42.35,0
20.76,53.79,75,0,45.23,0
21.27,56.31,76,0,45.48,0
21.78,55.44,75,0,46.27,0
22.28,59.00,76,0,47.76,0
22.79,57.75,73,0,48.73,0
23.30,59.70,75,2,49.34,0
23.80,64.45,77,2,50.01,0
24.31,63.42,75,0,50.18,0
24.81,65.83,76,0,50.36,0
25.32,70.28,77,0,51.17,0
25.83,70.45,76,0,51.60,0
26.34,68.56,76,0,51.76,0
26.84,69.07,74,0,53.72,0
27.35,68.18,71,0,54.75,0
27.86,73.67,77,0,55.10,0
28.36,78.22,79,0,55.36,0
28.87,77.10,78,0,56.08,0
29.37,77.61,73,0,56.11,0
29.88,74.06,73,0,56.32,0
30.39,80.10,75,2,57.13,0
30.89,84.02,78,0,58.37,0
31.40,84.01,77,0,58.47,0
31.91,86.53,75,0,58.49,0
32.41,83.37,77,0,58.84,0
32.92,86.43,76,0,59.98,0
33.43,89.72,77,0,60.50,0
33.93,84.15,75,0,60.48,0
34.44,89.67,75,0,61.14,0
34.95,95.09,78,0,61.86,0
35.45,95.82,77,0,62.03,0
35.96,86.92,71,0,62.01,0
36.47,92.12,75,0,62.35,0
36.97,87.51,72,0,62.50,0
37.48,92.23,76,0,63.21,0
37.99,92.07,74,0,63.22,0
38.50,89.92,73,0,63.22,0
39.00,90.15,71,0,63.29,0
39.51,93.92,75,0,63.52,0
40.02,94.73,74,0,64.02,0
40.52,91.61,74,0,64.65,0
41.04,93.99,75,0,64.71,0
41.54,94.24,75,0,64.64,0
42.05,91.79,72,0,64.62,0
42.55,91.69,71,0,64.64,0
43.06,88.65,71,0,64.88,0
43.57,82.14,65,0,65.02,0
44.07,83.98,67,2,64.50,0
44.58,86.21,68,7,64.32,0
45.09,86.40,67,7,64.08,0
45.59,87.15,67,6,64.12,0
46.10,88.56,68,6,63.98,0
46.61,91.99,71,3,63.81,0
47.11,97.10,73,3,63.83,0
