t_s,kv_perc,running,waiting,prefix_hit_cum,preemptions
0.01,0.00,0,0,0.00,0
0.51,0.00,0,0,0.00,0
1.02,0.00,0,0,0.00,0
1.53,0.00,0,0,0.00,0
2.03,0.00,0,0,0.00,0
5.04,0.74,1,0,0.00,0
5.55,0.74,1,0,0.00,0
6.05,3.91,5,75,10.61,0
6.56,3.91,5,75,10.61,0
7.06,7.10,9,71,10.94,0
7.57,10.27,12,68,10.66,0
8.07,10.27,12,68,10.66,0
8.58,13.44,13,67,9.68,0
9.08,13.44,13,67,9.68,0
9.59,16.62,18,62,10.78,0
10.09,16.62,18,62,10.78,0
10.60,19.81,23,57,11.71,0
11.10,22.98,26,54,11.80,0
11.61,22.98,26,54,11.80,0
12.12,26.16,30,50,11.86,0
12.62,26.16,30,50,11.86,0
13.13,29.34,33,47,11.86,0
13.64,29.34,33,47,11.86,0
14.14,32.51,37,43,11.85,0
14.65,35.68,40,40,11.89,0
15.16,35.68,40,40,11.89,0
15.66,38.85,44,36,11.89,0
16.17,38.85,44,36,11.89,0
16.67,42.02,47,33,11.75,0
17.18,42.02,47,33,11.75,0
17.69,45.19,50,30,11.61,0
18.19,48.36,53,27,11.65,0
18.70,48.36,53,27,11.65,0
19.21,51.54,56,24,11.68,0
19.72,51.54,56,24,11.68,0
20.22,54.74,60,20,11.65,0
20.73,54.74,60,20,11.65,0
21.23,57.92,63,17,11.68,0
21.74,61.09,66,14,11.63,0
22.25,61.09,66,14,11.63,0
22.75,64.27,70,10,11.68,0
23.26,64.27,70,10,11.68,0
23.76,67.44,73,7,11.21,0
24.27,67.44,73,7,11.21,0
24.78,70.62,73,7,11.21,0
25.28,70.62,73,7,11.21,0
25.79,73.80,77,3,11.25,0
26.29,76.99,80,0,11.30,0
26.80,77.46,80,0,11.30,0
27.31,77.85,80,0,11.30,0
27.81,78.20,80,0,11.30,0
28.32,78.63,80,0,11.30,0
28.83,78.97,80,0,11.30,0
29.33,79.37,80,0,11.30,0
29.84,79.71,80,0,11.30,0
30.34,80.12,80,0,11.30,0
30.85,80.49,80,0,11.30,0
31.36,80.87,80,0,11.30,0
31.86,81.22,80,0,11.30,0
32.37,81.63,80,0,11.30,0
32.88,82.01,80,0,11.30,0
33.38,82.36,80,0,11.30,0
33.89,82.71,80,0,11.30,0
34.40,83.11,80,0,11.30,0
34.90,83.49,80,0,11.30,0
35.41,83.84,80,0,11.30,0
35.91,84.19,80,0,11.30,0
36.42,83.48,79,0,11.30,0
36.93,86.41,80,0,11.99,0
37.43,86.75,80,0,11.99,0
37.94,87.12,80,0,11.99,0
38.45,87.46,80,0,11.99,0
38.95,87.90,80,0,11.99,0
39.46,88.24,80,0,11.99,0
39.96,88.60,80,0,11.99,0
40.47,87.74,79,0,11.99,0
40.98,90.40,80,0,12.71,0
41.49,90.24,79,0,12.71,0
41.99,92.68,80,0,12.80,0
42.50,93.04,80,0,12.80,0
43.01,93.35,80,0,12.80,0
43.51,93.77,80,0,12.80,0
44.02,93.01,79,0,13.63,0
44.52,93.01,79,0,13.63,0
45.03,95.31,79,0,14.53,0
45.54,96.94,79,0,15.17,0
46.04,98.83,80,0,16.11,0
46.55,99.15,80,0,16.11,0
47.06,97.20,78,2,16.56,0
