t_s,kv_perc,running,waiting,prefix_hit_cum,preemptions
0.01,0.00,0,0,0.00,0
0.52,0.00,0,0,0.00,0
1.02,0.00,0,0,0.00,0
1.53,0.00,0,0,0.00,0
2.03,0.00,0,0,0.00,0
4.52,0.00,0,0,0.00,0
5.03,0.74,1,0,0.00,0
5.54,3.92,5,75,10.59,0
6.04,3.92,5,75,10.59,0
6.55,7.09,10,70,12.20,0
7.05,7.09,10,70,12.20,0
7.56,10.28,15,65,14.19,0
8.06,10.28,15,65,14.19,0
8.57,13.46,19,61,13.80,0
9.08,16.64,23,57,13.55,0
9.58,16.64,23,57,13.55,0
10.09,19.81,26,54,13.18,0
10.59,19.81,26,54,13.18,0
11.10,22.97,29,51,12.78,0
11.60,22.97,29,51,12.78,0
12.11,26.16,32,48,12.40,0
12.62,29.34,35,45,12.30,0
13.12,29.34,35,45,12.30,0
13.63,32.50,38,42,12.23,0
14.14,32.50,38,42,12.23,0
14.64,35.69,41,39,12.07,0
15.15,35.69,41,39,12.07,0
15.65,38.87,45,35,12.08,0
16.16,42.05,48,32,12.11,0
16.66,42.05,48,32,12.11,0
17.17,45.23,50,30,11.76,0
17.67,45.23,50,30,11.76,0
18.18,48.40,54,26,11.79,0
18.69,48.40,54,26,11.79,0
19.19,51.57,57,23,11.83,0
19.70,54.72,60,20,11.80,0
20.20,54.72,60,20,11.80,0
20.71,57.90,64,16,11.80,0
21.21,57.90,64,16,11.80,0
21.72,61.07,67,13,11.82,0
22.23,61.07,67,13,11.82,0
22.73,64.25,70,10,11.72,0
23.24,67.45,72,8,11.19,0
23.75,67.45,72,8,11.19,0
24.26,67.45,72,8,11.19,0
24.76,70.61,73,7,11.17,0
25.27,73.79,76,4,11.19,0
25.77,73.79,76,4,11.19,0
26.28,77.23,80,0,11.30,0
26.79,77.64,80,0,11.30,0
27.29,78.00,80,0,11.30,0
27.80,78.32,80,0,11.30,0
28.31,78.78,80,0,11.30,0
28.81,79.13,80,0,11.30,0
29.32,79.54,80,0,11.30,0
29.83,79.88,80,0,11.30,0
30.33,80.28,80,0,11.30,0
30.84,80.65,80,0,11.30,0
31.35,81.06,80,0,11.30,0
31.85,81.40,80,0,11.30,0
32.36,81.79,80,0,11.30,0
32.87,82.18,80,0,11.30,0
33.37,82.55,80,0,11.30,0
33.88,82.28,79,0,11.30,0
34.38,84.85,80,0,11.43,0
34.89,85.26,80,0,11.43,0
35.40,85.61,80,0,11.43,0
35.90,85.98,80,0,11.43,0
36.41,86.33,80,0,11.43,0
36.91,86.06,79,0,11.43,0
37.42,86.56,79,0,11.80,0
37.93,89.59,80,0,12.43,0
38.43,88.97,79,0,12.43,0
38.94,91.04,80,0,13.24,0
39.45,90.31,79,0,13.24,0
39.96,92.10,80,0,14.05,0
40.46,92.45,80,0,14.05,0
40.97,92.81,80,0,14.05,0
41.48,93.20,80,0,14.05,0
41.99,93.56,80,0,14.05,0
42.49,93.90,80,0,14.05,0
43.00,94.27,80,0,14.05,0
43.50,94.64,80,0,14.05,0
44.01,93.61,79,0,14.05,0
44.52,97.01,80,0,14.75,0
45.02,97.33,80,0,14.75,0
45.53,96.44,79,0,14.75,0
46.04,98.34,79,0,15.25,0
46.54,97.59,78,2,19.70,0
47.05,96.91,77,3,22.31,0
47.56,97.29,77,3,23.12,0
48.06,97.61,77,3,21.98,0
48.57,97.05,76,4,19.80,0
49.07,97.38,76,4,17.90,0
49.58,96.39,75,4,16.52,0
50.09,96.39,75,4,16.52,0
50.60,98.63,75,4,16.31,0
51.10,98.95,75,5,15.25,0
51.61,99.31,75,5,14.36,0
52.11,97.26,73,6,13.60,0
52.62,96.33,72,7,13.37,0
53.13,96.33,72,7,13.37,0
53.64,99.46,73,7,13.28,0
54.14,98.62,72,7,13.28,0
54.65,97.48,71,7,13.28,0
55.15,97.67,71,7,13.25,1
55.66,97.98,71,7,13.25,1
56.17,96.98,70,7,13.25,1
56.67,98.55,70,6,13.19,2
57.18,98.68,70,5,13.06,2
57.68,97.80,69,5,12.80,2
58.19,99.47,70,4,12.74,2
58.70,97.53,68,4,12.25,2
59.20,97.86,68,4,11.78,2
59.71,98.23,68,4,11.36,2
60.22,96.75,66,4,11.12,2
60.72,96.75,66,4,11.12,2
61.23,99.07,66,3,11.06,2
61.74,96.54,64,3,11.06,2
62.24,96.54,64,3,11.06,2
62.75,97.90,64,4,11.06,3
63.25,99.35,65,3,10.84,4
63.76,98.77,64,3,10.60,4
64.27,97.40,63,3,10.58,4
64.77,98.71,63,2,10.57,4
65.28,98.58,63,3,10.58,4
65.78,99.82,64,2,10.45,4
66.29,97.98,62,3,10.35,4
66.80,97.52,61,2,10.20,5
67.30,97.52,61,2,10.20,5
67.81,98.21,61,1,10.18,5
68.32,99.18,61,2,10.19,5
68.82,96.88,60,2,10.22,5
69.33,96.88,60,2,10.22,5
69.84,98.29,61,0,10.21,5
70.34,98.58,61,0,10.21,5
70.85,97.71,60,1,10.17,5
71.36,97.71,60,1,10.17,5
71.87,96.59,59,1,10.16,5
72.37,96.94,59,0,10.16,6
72.88,94.50,58,0,10.16,6
73.38,93.07,57,0,10.16,6
73.89,93.27,57,0,10.16,6
74.40,93.27,57,0,10.16,6
74.90,95.70,58,0,10.14,6
75.41,95.70,58,0,10.14,6
75.91,97.32,58,1,10.11,6
76.42,99.98,59,0,10.11,7
76.92,98.91,58,0,10.11,8
77.43,96.51,56,0,10.11,8
77.93,96.78,56,0,10.11,8
78.44,93.33,53,0,10.11,8
78.95,89.45,51,0,10.11,8
79.46,89.64,51,0,10.22,8
79.96,89.80,51,0,10.22,8
80.47,89.80,51,0,10.22,8
80.97,92.96,53,3,10.18,8
81.48,92.96,53,3,10.18,8
81.98,96.12,54,2,10.18,8
82.49,94.97,55,0,10.18,8
83.00,95.12,55,0,10.18,8
83.50,95.12,55,0,10.18,8
84.01,98.02,56,0,10.17,8
84.52,98.27,56,0,10.17,8
85.02,98.52,56,0,10.17,8
85.53,98.82,56,0,10.17,8
86.03,99.10,56,0,10.17,8
86.54,97.32,54,0,10.17,8
87.05,94.57,52,0,10.17,8
87.55,93.38,51,0,10.17,8
88.06,93.65,51,0,10.17,8
88.57,92.26,50,0,10.17,8
89.07,92.34,50,0,10.17,8
89.58,96.23,52,0,10.55,8
90.09,96.33,52,0,10.64,8
90.59,96.55,52,0,10.64,8
91.10,93.93,50,0,10.64,8
91.61,92.83,49,0,10.64,8
92.12,92.91,49,0,10.64,8
92.62,92.91,49,0,10.64,8
93.13,95.95,50,0,10.62,8
93.64,96.21,50,0,10.62,8
94.14,96.43,50,0,10.62,8
94.65,96.65,50,0,10.62,8
95.16,96.91,50,0,10.62,8
95.66,97.17,50,0,10.62,8
96.17,95.83,49,0,10.62,8
96.68,96.02,49,0,10.62,8
97.18,94.53,48,0,10.62,8
97.69,94.79,48,0,10.62,8
98.19,96.65,49,0,10.74,8
98.70,96.83,49,0,10.74,8
99.21,97.07,49,0,10.74,8
99.71,95.94,48,0,10.74,8
100.22,96.18,48,0,10.74,8
100.73,94.75,47,0,10.74,8
101.23,94.97,47,0,10.74,8
101.74,95.19,47,0,10.74,8
102.25,95.27,47,0,10.84,8
102.76,93.96,46,0,10.84,8
103.26,94.21,46,0,10.84,8
103.77,94.42,46,0,10.84,8
104.28,94.64,46,0,10.84,8
104.78,94.88,46,0,10.84,8
105.29,93.60,45,0,10.84,8
105.80,93.86,45,0,10.84,8
106.31,94.08,45,0,10.84,8
106.81,92.81,44,0,10.84,8
107.32,92.83,44,0,10.84,8
107.83,95.52,45,0,10.83,8
108.33,94.09,44,0,10.83,8
108.85,91.16,43,0,10.83,8
109.36,91.36,43,0,10.83,8
109.86,89.76,42,0,10.83,8
110.37,89.76,42,0,10.83,8
110.88,92.93,44,0,10.79,8
111.38,94.73,44,0,10.79,8
111.89,93.57,43,0,10.79,8
112.40,96.60,44,0,10.88,8
112.93,96.86,44,0,10.88,8
113.44,97.06,44,0,10.88,8
113.95,97.24,44,0,10.88,8
114.45,97.48,44,0,10.88,8
114.96,97.71,44,0,10.88,8
115.47,97.95,44,0,10.88,8
115.97,98.15,44,0,10.88,8
116.48,96.73,43,0,10.88,8
116.98,96.98,43,0,10.88,8
117.49,97.20,43,0,10.88,8
118.00,97.41,43,0,10.88,8
118.50,97.60,43,0,10.88,8
119.01,97.80,43,0,10.88,8
119.52,98.04,43,0,10.88,8
120.02,98.25,43,0,10.88,8
120.53,98.48,43,0,10.88,8
121.04,96.91,42,0,10.88,8
121.54,94.12,41,0,10.88,8
122.05,93.93,41,0,10.98,8
122.56,94.16,41,0,10.98,8
123.06,94.35,41,0,10.98,8
123.57,94.51,41,0,10.98,8
124.08,94.74,41,0,10.98,8
124.59,94.95,41,0,10.98,8
125.10,95.18,41,0,10.98,8
125.60,95.36,41,0,10.98,8
126.11,95.52,41,0,10.98,8
126.62,95.75,41,0,10.98,8
127.12,92.55,40,0,10.98,8
127.63,92.77,40,0,10.98,8
128.13,92.84,40,0,10.98,8
128.64,95.14,41,0,10.97,8
129.15,95.37,41,0,10.97,8
129.65,92.29,39,0,10.97,8
