t_s,kv_perc,running,waiting,prefix_hit_cum,preemptions
0.01,0.00,0,0,0.00,0
0.52,0.00,0,0,0.00,0
1.02,0.00,0,0,0.00,0
1.53,0.00,0,0,0.00,0
2.04,0.00,0,0,0.00,0
4.46,0.00,0,0,0.00,0
4.97,2.48,11,69,14.49,0
5.48,5.83,22,58,13.50,0
5.99,8.06,29,51,12.84,0
6.50,11.42,38,42,12.34,0
7.01,13.66,44,36,11.78,0
7.52,17.01,54,26,11.83,0
8.04,20.35,64,16,11.78,0
8.54,22.58,70,10,11.68,0
9.06,24.82,77,3,11.69,0
9.56,27.23,80,0,11.30,0
10.07,27.46,80,0,11.30,0
10.58,27.70,80,0,11.30,0
11.08,27.93,80,0,11.30,0
11.59,28.55,79,0,13.06,0
12.10,28.92,77,0,16.26,0
12.60,30.79,78,0,19.61,0
13.11,31.96,78,0,20.68,0
13.62,32.55,75,0,21.78,0
14.12,34.62,77,0,23.56,0
14.63,34.97,73,0,26.86,0
15.14,38.66,77,0,28.98,0
15.64,38.40,75,0,30.55,0
16.15,40.09,74,0,34.74,0
16.66,44.15,77,1,35.98,0
17.16,45.16,76,0,38.47,0
17.67,46.75,77,1,38.59,0
18.18,49.45,77,0,40.10,0
18.69,49.22,76,0,40.77,0
19.19,48.70,73,0,43.27,0
19.70,49.50,74,2,43.40,0
20.21,52.05,72,1,44.73,0
20.71,54.89,73,4,45.16,0
21.22,58.17,75,2,45.05,0
21.73,62.08,79,0,45.59,0
22.24,61.79,76,0,45.96,0
22.74,61.15,73,0,46.61,0
23.25,66.46,77,0,48.16,0
23.75,66.50,75,0,49.18,0
24.27,67.99,74,0,48.99,0
24.78,70.75,77,0,49.24,0
25.29,61.60,70,0,50.12,0
25.80,64.33,71,0,50.50,0
26.31,70.38,74,3,50.98,0
26.82,77.67,78,0,53.04,0
27.32,79.35,77,0,53.77,0
27.83,78.95,76,0,54.03,0
28.34,79.53,76,0,54.94,0
28.85,72.60,72,0,55.29,0
29.39,77.31,73,1,56.10,0
29.89,83.16,74,0,57.19,0
30.40,81.57,76,0,57.64,0
30.91,85.66,74,0,58.02,0
31.41,88.48,76,0,58.62,0
31.92,91.45,79,0,58.93,0
32.43,90.58,77,0,59.21,0
32.93,92.80,77,0,59.49,0
33.44,88.34,75,0,59.73,0
33.95,95.73,78,0,60.53,0
34.45,97.46,78,0,60.89,0
34.96,94.49,76,0,60.94,0
35.47,90.11,73,0,61.50,0
35.97,89.56,74,0,61.02,0
36.48,96.41,77,0,61.59,0
36.98,97.52,78,0,61.14,0
37.49,90.95,75,0,60.82,0
38.00,86.53,71,0,61.07,0
38.51,87.47,72,1,61.18,0
39.02,96.83,76,0,62.07,0
39.53,95.76,75,0,62.28,0
40.03,96.58,74,0,62.19,0
40.54,95.19,73,0,62.30,0
41.05,99.25,75,2,61.97,0
41.56,98.80,75,0,61.42,0
42.06,88.66,68,0,61.42,0
42.57,76.62,61,0,61.42,0
43.08,69.83,55,0,61.42,0
43.58,68.26,54,0,61.42,0
44.09,71.68,55,0,61.85,0
44.60,76.32,57,17,61.51,0
45.11,84.69,61,14,61.96,0
45.61,86.94,63,12,61.67,0
46.12,89.16,64,11,61.47,0
46.63,91.40,67,8,60.97,0
47.14,93.64,69,6,60.44,0
47.65,94.76,69,6,60.44,0
48.15,98.40,73,2,60.18,0
48.66,97.00,73,1,59.61,1
49.17,94.81,72,0,59.45,1
49.67,98.98,73,1,59.66,1
50.18,96.03,72,0,59.65,2
50.69,99.78,73,0,60.08,2
51.20,91.65,68,0,60.11,2
51.71,91.19,68,0,60.26,2
52.21,86.35,63,0,60.19,2
52.72,81.93,61,0,60.36,2
53.23,83.05,62,0,60.02,2
53.73,89.15,67,5,60.05,2
54.24,91.88,68,3,60.32,2
54.75,95.31,70,1,60.36,2
55.26,92.05,67,0,60.33,2
55.76,96.55,71,0,60.39,2
56.27,84.92,63,0,60.50,2
56.79,91.65,66,0,60.95,2
57.29,91.98,65,0,61.07,2
57.80,92.60,65,0,61.30,2
58.30,92.30,64,0,61.43,2
58.81,90.46,63,0,61.41,2
59.32,92.71,65,1,61.09,2
59.82,93.83,65,2,61.09,2
60.33,96.12,68,0,61.14,2
60.84,96.23,68,0,61.21,2
61.34,91.59,66,0,61.35,2
61.85,88.38,65,0,61.20,2
62.36,94.01,68,1,60.98,2
62.86,96.25,69,1,60.71,2
63.37,95.84,68,0,60.34,2
63.88,95.05,67,0,60.34,2
64.38,91.52,64,0,60.34,2
64.89,92.24,64,0,60.37,2
65.40,98.23,67,0,60.51,2
65.91,95.59,66,0,60.70,2
66.42,96.43,65,0,60.80,2
66.92,95.10,63,0,60.87,2
67.43,90.54,61,0,60.97,2
67.94,95.32,64,0,61.03,2
68.45,93.89,62,0,61.04,2
68.99,92.18,63,0,61.10,2
69.49,93.30,64,0,60.99,2
70.00,94.13,64,0,60.79,2
70.51,91.28,62,0,60.89,2
71.02,91.38,63,0,61.26,2
71.52,93.61,65,1,60.94,2
72.03,94.89,65,2,61.23,2
72.54,93.99,63,0,61.17,2
73.04,96.75,65,0,61.43,2
73.55,98.85,66,0,61.30,2
74.06,91.57,61,0,61.30,2
74.56,97.76,63,0,61.56,2
75.07,97.88,63,0,61.51,2
75.59,99.31,64,0,61.35,2
76.10,94.55,62,0,61.35,2
76.61,97.30,64,0,61.25,2
77.11,98.56,65,0,61.11,2
77.62,93.20,61,0,61.11,2
78.13,90.48,60,0,61.14,2
78.63,90.56,60,0,61.14,2
79.14,89.11,59,0,61.29,2
79.69,86.79,57,0,61.33,2
80.20,89.92,59,0,61.43,2
80.70,92.15,61,1,60.97,2
81.21,94.38,62,0,60.83,2
81.72,92.66,61,0,60.97,2
82.22,90.82,60,0,61.05,2
82.79,88.64,58,0,61.05,2
83.30,85.64,57,0,60.88,2
83.81,86.75,57,1,60.88,2
84.32,93.63,60,0,60.98,2
84.82,94.37,60,0,61.28,2
85.38,92.87,58,0,61.28,2
85.91,84.56,53,0,61.44,2
86.42,88.15,56,0,61.43,2
86.93,90.82,58,0,61.35,2
87.43,96.84,62,0,61.33,2
87.94,99.34,63,0,61.23,2
88.49,99.45,63,0,61.23,2
89.00,90.94,59,0,61.23,2
89.51,96.80,61,0,61.37,2
90.01,95.63,60,0,61.37,2
90.52,91.72,58,0,61.37,2
91.03,93.36,58,0,61.65,2
91.54,93.62,58,0,61.76,2
92.09,95.72,58,0,62.03,2
92.60,95.80,58,0,62.19,2
93.11,98.61,59,0,62.25,2
93.62,99.60,59,0,62.22,2
94.13,97.52,58,0,62.12,2
94.64,91.87,54,0,62.12,2
95.15,98.06,57,0,62.24,2
95.66,98.10,57,0,62.24,2
96.19,98.20,57,1,62.10,2
96.69,91.89,55,1,61.95,3
97.20,93.17,55,0,61.88,3
97.71,92.38,55,0,61.95,3
98.22,88.76,53,0,61.95,3
98.73,91.37,54,0,62.09,3
99.24,94.19,55,1,61.95,3
99.74,95.30,55,2,61.95,3
100.25,98.75,56,0,61.84,3
100.79,99.55,56,0,61.84,3
101.29,96.78,54,0,61.84,3
101.80,97.88,55,0,61.80,3
102.31,97.98,55,0,61.95,3
102.81,93.50,53,0,62.17,3
103.32,94.93,54,1,62.80,3
103.83,94.90,53,0,62.88,3
104.34,94.97,53,0,63.08,3
104.84,95.05,53,0,63.08,3
105.39,94.81,52,0,63.08,3
105.90,88.65,50,0,63.08,3
106.41,90.18,51,0,63.19,3
106.92,88.21,50,0,63.19,3
107.43,88.11,51,0,63.12,3
107.94,91.61,52,0,63.17,3
108.44,90.67,52,0,63.23,3
108.99,95.56,54,0,63.40,3
109.49,96.98,55,0,63.46,3
110.00,97.30,55,1,62.59,3
110.51,94.12,54,1,62.50,3
111.02,97.77,55,0,62.50,4
111.53,96.81,54,0,62.50,4
112.04,96.16,53,0,62.50,4
112.58,88.15,50,0,62.50,4
113.09,85.40,49,0,62.50,4
113.60,86.52,50,0,62.32,4
114.11,88.74,51,8,62.13,4
114.62,89.71,51,7,62.04,4
115.12,91.95,53,5,61.79,4
115.63,93.07,54,4,61.69,4
116.14,95.30,56,2,61.46,4
116.65,97.53,57,2,61.38,4
117.16,97.93,58,0,61.37,4
117.69,96.87,57,0,61.37,4
118.20,90.32,55,0,61.37,4
118.71,87.87,54,0,61.37,4
119.21,84.83,52,0,61.37,4
119.72,87.39,53,3,61.24,4
120.23,87.48,53,3,61.03,4
120.74,88.60,53,4,61.03,4
121.25,94.12,57,1,61.00,4
121.79,96.65,57,0,61.11,4
122.29,93.05,54,0,61.17,4
122.80,94.53,54,0,61.27,4
123.31,87.81,50,0,61.27,4
123.82,85.41,48,0,61.27,4
124.32,82.34,46,0,61.34,4
124.83,87.79,50,0,61.44,4
125.34,85.36,49,0,61.44,4
125.85,89.81,51,2,61.50,4
126.35,97.51,57,1,61.83,4
126.86,97.71,56,0,62.60,4
127.39,91.13,52,0,62.60,4
127.90,85.26,49,0,62.60,4
128.40,87.74,50,0,62.71,4
128.91,92.30,53,0,62.82,4
129.42,91.26,52,0,62.82,4
129.93,98.34,56,0,63.12,4
130.44,89.67,51,0,63.15,4
