t_s,kv_perc,running,waiting,prefix_hit_cum,preemptions
0.01,0.00,0,0,0.00,0
0.52,0.00,0,0,0.00,0
1.02,0.00,0,0,0.00,0
1.53,0.00,0,0,0.00,0
2.04,0.00,0,0,0.00,0
2.54,0.00,0,0,0.00,0
5.55,1.73,6,22,10.58,0
6.06,5.08,19,61,12.61,0
6.57,7.32,25,55,11.58,0
7.07,10.68,35,45,11.93,0
7.58,12.90,41,39,11.83,0
8.09,16.25,51,29,11.76,0
8.60,18.49,58,22,11.76,0
9.10,21.86,68,12,11.71,0
9.61,24.09,75,5,11.77,0
10.12,27.15,80,0,11.30,0
10.63,27.36,80,0,11.30,0
11.13,27.59,80,0,11.30,0
11.64,27.80,80,0,11.30,0
12.15,27.68,79,0,12.34,0
12.66,27.92,77,0,14.01,0
13.17,28.49,76,0,20.29,0
13.68,28.80,74,0,22.40,0
14.19,32.38,76,2,26.02,0
14.70,32.88,75,0,27.22,0
15.20,33.89,74,1,27.64,0
15.71,36.59,76,0,30.53,0
16.22,38.01,75,0,33.06,0
16.73,41.10,78,0,33.64,0
17.24,41.84,75,0,36.35,0
17.75,40.23,71,0,37.99,0
18.26,43.91,75,5,38.65,0
18.76,46.68,74,1,39.80,0
19.27,47.31,73,3,39.76,0
19.78,49.67,75,1,41.26,0
20.29,54.29,77,1,42.47,0
20.80,55.26,77,0,43.24,0
21.31,55.17,76,0,44.33,0
21.82,57.45,77,0,44.59,0
22.32,56.68,72,0,45.76,0
22.83,57.85,72,4,45.63,0
23.34,58.82,73,3,46.32,0
23.86,62.68,74,1,47.40,0
24.37,65.59,76,0,47.88,0
24.88,60.11,70,0,48.73,0
25.38,62.02,72,1,48.55,0
25.89,68.68,76,0,49.50,0
26.40,67.36,73,0,50.44,0
26.91,72.76,76,0,52.05,0
27.41,69.76,73,0,52.26,0
27.92,74.73,76,0,53.06,0
28.43,78.72,77,0,54.36,0
28.93,70.24,73,0,54.35,0
29.44,73.79,74,0,54.81,0
29.95,84.24,78,1,56.11,0
30.45,84.72,79,0,56.41,0
30.96,83.52,77,0,56.87,0
31.47,79.47,76,0,56.99,0
31.98,80.87,76,0,57.68,0
32.48,85.77,78,0,58.46,0
32.99,86.25,75,0,58.80,0
33.49,91.19,77,0,59.21,0
34.00,90.66,77,0,59.46,0
34.51,94.63,79,0,59.58,0
35.02,92.17,74,0,59.88,0
35.53,93.14,75,0,60.18,0
36.04,84.10,72,0,60.88,0
36.55,83.84,72,0,61.04,0
37.06,83.84,74,0,61.52,0
37.57,93.04,75,0,62.78,0
38.07,90.53,72,0,62.77,0
38.58,93.62,74,0,62.94,0
39.09,96.65,76,1,62.83,0
39.60,95.79,76,0,62.65,0
40.11,87.69,69,0,62.90,0
40.62,92.87,72,2,63.13,0
41.13,97.90,74,2,62.93,0
41.63,98.42,74,1,62.74,0
42.14,96.94,73,0,62.40,1
42.65,86.35,63,0,62.40,1
43.16,76.59,57,0,62.40,1
43.67,74.25,56,0,62.40,1
44.17,69.77,52,0,62.40,1
44.68,69.84,52,0,62.40,1
45.19,79.46,57,16,62.83,1
45.70,81.81,58,15,62.72,1
46.21,89.97,66,7,62.95,1
46.72,92.20,70,3,62.41,1
47.22,92.66,70,2,62.13,1
47.73,94.86,71,1,61.77,1
48.24,95.97,71,3,61.77,1
48.75,98.01,72,1,61.66,1
49.26,91.55,70,1,61.36,1
49.76,94.33,71,0,61.40,1
50.28,89.26,66,0,61.62,1
50.78,95.18,70,0,62.13,1
51.29,93.19,68,0,62.29,1
51.80,92.41,68,0,62.27,1
52.31,91.32,68,0,62.61,1
52.82,90.50,66,0,62.91,1
53.38,94.90,67,0,63.16,1
53.89,96.44,68,0,63.12,1
54.40,95.23,68,0,62.99,1
54.91,99.55,69,2,63.20,1
55.42,99.38,70,0,62.98,1
55.93,93.41,66,0,62.92,1
56.49,91.69,65,0,62.93,1
57.00,86.90,63,0,63.00,1
57.51,90.09,63,0,63.20,1
58.01,93.50,64,0,63.47,1
58.52,86.31,60,0,63.47,1
59.04,89.91,61,0,63.71,1
59.55,85.76,59,0,63.80,1
60.06,89.25,60,0,63.90,1
60.57,95.54,65,2,63.84,1
61.09,95.31,66,0,63.72,1
61.60,91.33,64,0,63.72,1
62.18,87.91,62,0,63.72,1
62.69,86.61,61,0,63.72,1
63.20,88.83,63,0,63.38,1
63.71,91.65,64,0,63.14,1
64.21,92.76,64,2,63.14,1
64.72,93.79,64,2,62.80,1
65.23,96.02,65,1,62.55,1
65.74,94.43,65,0,62.59,1
66.25,93.28,65,0,62.58,1
66.79,96.56,66,0,62.70,1
67.30,96.64,66,0,62.70,1
67.80,92.23,65,2,62.69,1
68.31,95.87,66,0,62.53,2
68.82,92.11,64,0,62.53,2
69.33,92.75,64,0,62.65,2
69.84,90.76,62,0,62.94,2
70.34,89.79,61,0,62.94,2
70.85,95.65,63,0,63.20,2
71.39,97.72,63,0,63.26,2
71.90,98.46,64,0,63.31,2
72.40,94.68,61,0,63.31,2
72.91,82.65,57,0,63.34,2
73.42,84.28,57,0,63.44,2
73.93,83.63,56,0,63.77,2
74.49,80.78,55,0,63.77,2
75.00,80.83,55,0,63.77,2
75.51,83.06,57,4,63.41,2
76.01,86.28,61,2,62.93,2
76.52,88.51,61,3,62.93,2
77.03,89.83,62,2,62.50,2
77.54,90.51,61,2,62.50,2
78.05,94.91,63,0,62.72,2
78.58,89.70,60,0,62.72,2
79.11,86.39,59,0,62.83,2
79.62,88.75,59,0,62.98,2
80.20,87.66,58,0,62.98,2
80.71,82.51,55,0,62.98,2
81.21,84.45,56,3,62.77,2
81.72,85.57,57,2,62.56,2
82.23,95.44,62,0,62.89,2
82.73,96.89,62,0,62.79,2
83.24,94.67,62,0,63.05,2
83.75,92.39,61,0,63.23,2
84.26,94.96,61,0,63.32,2
84.80,87.02,56,0,63.32,2
85.39,87.04,56,0,63.58,2
85.90,84.90,55,0,63.55,2
86.41,85.53,55,0,63.65,2
86.99,81.48,53,0,63.65,2
87.50,90.88,57,0,64.22,2
88.01,90.92,57,0,64.22,2
88.59,92.22,58,0,64.29,2
89.10,92.29,58,0,64.38,2
89.61,91.47,58,0,64.60,2
90.11,88.32,57,0,64.60,2
90.69,84.84,55,0,64.74,2
91.19,83.61,54,0,64.78,2
91.70,80.32,52,0,64.99,2
92.21,80.36,52,0,64.99,2
92.79,74.25,48,0,64.99,2
93.30,77.68,51,0,65.33,2
93.81,81.56,52,0,65.54,2
94.32,92.81,58,0,66.04,2
94.84,90.53,57,0,66.18,2
95.40,88.38,56,0,66.31,2
95.91,85.79,54,0,66.31,2
96.42,87.42,55,0,66.14,2
96.98,89.86,56,0,66.27,2
97.50,89.94,56,0,66.27,2
98.01,90.24,56,0,66.58,2
98.52,96.10,59,0,66.78,2
99.08,93.72,57,0,66.78,2
99.60,95.91,58,0,66.91,2
100.12,94.89,58,0,66.94,2
100.62,97.75,59,0,67.06,2
101.14,94.10,57,0,67.06,2
101.69,92.47,56,0,67.06,2
102.20,94.26,57,0,67.14,2
102.71,89.66,54,0,67.21,2
103.29,83.90,51,0,67.42,2
103.80,88.94,54,0,67.68,2
104.31,89.19,54,0,67.69,2
104.81,97.69,57,1,67.94,2
105.32,99.94,59,0,67.73,2
105.83,96.18,57,1,67.96,2
106.33,99.55,58,1,67.38,2
106.84,99.18,58,0,67.13,2
107.35,91.25,55,0,67.13,2
107.85,98.44,57,0,67.27,2
108.36,97.81,57,0,67.05,2
108.89,98.12,56,0,67.05,2
109.40,95.50,55,0,67.05,2
109.91,95.55,55,0,67.05,2
110.41,94.02,54,0,67.05,2
110.92,89.54,52,0,67.05,2
111.43,90.67,53,2,66.85,2
111.94,94.49,55,1,66.80,2
112.44,95.93,55,0,66.64,2
112.99,94.58,55,0,66.54,2
113.50,90.74,53,0,66.45,2
114.09,90.83,53,0,66.45,2
114.60,94.59,55,1,66.38,2
115.11,95.50,56,0,66.37,2
115.62,95.27,56,0,66.25,2
116.12,89.86,53,0,66.25,2
116.63,86.27,51,0,66.25,2
117.19,79.67,47,0,66.25,2
117.70,80.78,48,1,66.04,2
118.20,91.46,53,0,66.53,2
118.71,87.30,52,0,66.56,2
119.22,84.28,51,0,66.64,2
119.73,84.36,51,0,66.64,2
120.23,79.18,49,0,66.70,2
120.74,83.85,51,2,66.59,2
121.25,88.09,53,0,66.69,2
121.78,90.54,53,0,66.73,2
122.29,86.16,51,0,66.73,2
122.80,81.66,49,0,66.73,2
123.31,84.43,50,0,66.77,2
123.82,85.31,51,2,66.53,2
124.33,94.11,55,0,66.85,2
124.83,87.19,52,0,66.92,2
125.38,82.91,49,0,66.92,2
125.89,79.43,48,0,66.94,2
126.41,82.77,49,0,66.99,2
126.91,84.99,50,2,66.78,2
127.42,91.34,53,0,67.12,2
127.93,89.95,52,0,67.12,2
128.49,90.01,52,0,67.12,2
129.00,88.20,51,0,67.19,2
129.51,89.50,52,0,67.24,2
130.01,85.94,50,0,67.24,2
130.52,83.45,49,0,67.35,2
131.03,81.61,48,0,67.39,2
131.59,84.13,49,0,67.54,2
132.10,84.18,49,0,67.54,2
