t_s,kv_perc,running,waiting,prefix_hit_cum,preemptions
0.01,0.00,0,0,0.00,0
0.51,0.00,0,0,0.00,0
1.02,0.00,0,0,0.00,0
1.53,0.00,0,0,0.00,0
2.04,0.00,0,0,0.00,0
5.04,1.55,7,11,11.87,0
5.55,4.90,19,61,13.12,0
6.06,7.13,24,56,12.05,0
6.56,10.49,34,46,11.95,0
7.07,13.84,45,35,11.97,0
7.58,16.07,51,29,11.93,0
8.08,19.43,61,19,11.81,0
8.59,21.65,68,12,11.77,0
9.10,25.01,76,4,11.28,0
9.61,27.16,80,0,11.30,0
10.12,27.40,80,0,11.30,0
10.62,27.63,80,0,11.30,0
11.13,27.87,80,0,11.30,0
11.63,28.34,79,0,11.84,0
12.14,28.05,75,0,12.60,0
12.66,30.12,77,0,18.81,0
13.17,31.07,78,0,22.43,0
13.68,33.14,76,0,23.70,0
14.19,33.53,76,0,24.84,0
14.69,35.81,76,0,27.30,0
15.20,38.66,78,1,29.64,0
15.71,39.08,74,0,29.99,0
16.22,39.89,77,0,32.62,0
16.72,41.00,76,0,36.75,0
17.23,42.50,74,1,37.75,0
17.74,47.24,76,0,38.94,0
18.24,47.67,77,0,41.08,0
18.75,48.10,74,0,41.91,0
19.26,52.29,77,0,42.81,0
19.77,53.72,77,0,43.15,0
20.27,50.41,71,0,44.48,0
20.78,54.18,77,0,46.97,0
21.29,54.59,73,0,47.74,0
21.79,57.35,73,1,48.40,0
22.30,60.82,74,0,48.81,0
22.81,61.10,74,0,49.04,0
23.32,53.47,68,0,49.54,0
23.83,60.14,71,2,50.96,0
24.34,65.68,74,3,51.65,0
24.84,72.17,80,0,52.43,0
25.35,63.50,71,0,52.58,0
25.86,64.93,70,0,53.13,0
26.37,73.03,75,0,54.51,0
26.88,70.85,72,0,55.48,0
27.39,76.64,76,0,56.72,0
27.89,71.43,74,0,56.81,0
28.40,77.19,77,0,57.17,0
28.91,79.56,75,0,57.74,0
29.41,84.64,78,0,58.21,0
29.92,80.55,76,0,58.31,0
30.43,79.43,72,0,58.78,0
30.93,83.43,73,0,59.51,0
31.45,86.61,75,0,60.00,0
31.95,89.74,77,2,59.95,0
32.46,93.35,79,0,60.05,0
32.97,89.21,75,0,60.13,0
33.47,81.87,73,0,60.20,0
33.98,87.53,74,0,61.27,0
34.49,88.75,74,0,61.70,0
35.00,89.79,73,0,61.79,0
35.50,86.91,70,0,61.93,0
36.01,90.33,72,3,62.09,0
36.52,99.23,77,2,62.54,0
37.03,94.50,75,0,61.53,0
37.54,95.30,75,1,61.28,0
38.04,98.15,76,1,61.32,0
38.55,97.55,75,2,60.63,0
39.06,97.75,74,1,60.11,1
39.57,96.73,73,1,60.11,1
40.08,89.10,67,0,60.11,3
40.58,71.77,58,0,60.11,3
41.09,71.84,58,0,60.36,3
41.60,77.14,60,1,60.60,3
42.11,81.39,61,11,60.51,3
42.61,83.61,63,9,60.06,3
43.12,86.21,67,6,59.63,3
43.63,89.62,69,4,59.40,3
44.13,90.73,70,3,59.21,3
44.64,98.39,75,0,59.45,3
45.21,96.49,72,0,59.52,3
45.71,84.36,64,0,59.52,3
46.22,82.48,62,0,59.65,3
46.73,87.48,64,0,59.88,3
47.24,94.59,66,2,60.33,3
