t_s,kv_perc,running,waiting,prefix_hit_cum,preemptions
0.01,0.00,0,0,0.00,0
0.51,0.00,0,0,0.00,0
1.02,0.00,0,0,0.00,0
1.53,0.00,0,0,0.00,0
2.03,0.00,0,0,0.00,0
2.54,0.00,0,0,0.00,0
4.98,0.00,0,0,0.00,0
5.48,2.99,10,70,11.09,0
5.99,5.23,20,60,12.86,0
6.50,8.58,29,51,12.29,0
7.00,10.81,35,45,12.03,0
7.51,14.16,45,35,11.73,0
8.02,16.40,51,29,11.65,0
8.53,19.75,61,19,11.67,0
9.04,23.12,72,8,11.73,0
9.54,25.35,75,5,11.20,0
10.05,27.22,80,0,11.30,0
10.56,27.47,80,0,11.30,0
11.06,27.69,80,0,11.30,0
11.57,27.59,79,0,11.30,0
12.08,28.77,80,0,12.09,0
12.59,28.90,78,0,15.96,0
13.09,29.08,76,0,17.80,0
13.60,30.45,75,0,23.20,0
14.11,33.83,78,0,25.84,0
14.61,35.08,76,1,27.54,0
15.12,35.81,77,0,28.63,0
15.63,39.50,78,0,32.17,0
16.14,40.21,76,0,32.65,0
16.64,42.84,79,0,33.85,0
17.15,40.54,71,0,34.25,0
17.66,44.85,73,5,35.67,0
18.16,47.87,77,2,36.50,0
18.67,49.38,75,0,38.27,0
19.18,49.47,75,0,40.65,0
19.68,50.66,75,1,41.05,0
20.19,55.27,77,1,41.83,0
20.70,56.29,76,0,41.89,0
21.20,56.99,75,0,42.24,0
21.71,61.81,79,0,43.30,0
22.22,60.32,75,0,44.02,0
22.73,61.60,77,0,44.23,0
23.23,61.60,77,0,44.23,0
23.74,60.05,72,0,46.71,0
24.25,63.97,74,3,47.13,0
24.76,66.89,76,0,48.82,0
25.27,61.43,70,0,49.69,0
25.77,60.69,69,0,49.71,0
26.28,69.12,74,3,51.07,0
26.79,69.61,76,0,51.66,0
27.29,73.37,76,0,53.02,0
27.80,74.87,75,0,53.42,0
28.31,73.43,74,0,53.46,0
28.82,76.21,74,0,54.18,0
29.32,77.05,75,0,55.51,0
29.84,71.92,69,1,55.77,0
30.34,72.82,69,4,56.33,0
30.85,78.05,71,6,56.87,0
31.36,81.18,75,0,58.17,0
31.87,83.15,74,0,59.17,0
32.38,88.20,77,0,59.48,0
32.88,92.64,80,0,59.70,0
33.40,88.55,74,0,60.06,0
33.91,81.43,70,0,60.13,0
34.42,88.45,74,1,60.78,0
34.93,92.25,74,2,60.99,0
35.44,93.76,78,0,61.45,0
35.94,96.19,77,1,61.85,0
36.45,96.52,77,1,62.19,0
36.96,98.87,77,0,62.31,0
37.47,98.08,76,0,61.72,0
37.97,95.36,74,1,61.15,0
38.48,96.58,76,0,60.87,0
38.98,98.32,75,0,60.44,1
39.49,90.78,70,0,60.44,1
40.00,73.85,58,0,60.44,1
40.51,63.73,49,0,60.44,1
41.01,56.79,45,0,60.44,1
41.52,57.16,45,0,60.39,1
42.03,61.21,49,13,60.12,1
42.53,68.71,57,5,60.44,1
43.04,66.54,58,0,60.47,1
43.54,69.08,59,0,60.41,1
44.05,70.87,60,0,60.33,1
44.56,75.29,62,0,61.02,1
45.06,71.43,58,0,61.05,1
45.57,75.07,60,0,61.21,1
46.08,76.87,61,0,61.54,1
46.59,75.58,60,0,61.72,1
