t_s,kv_perc,running,waiting,prefix_hit_cum,preemptions
0.01,0.00,0,0,0.00,0
0.52,0.00,0,0,0.00,0
1.02,0.00,0,0,0.00,0
1.53,0.00,0,0,0.00,0
2.04,0.00,0,0,0.00,0
5.05,2.50,11,69,14.44,0
5.55,4.74,19,61,13.71,0
6.06,8.09,27,53,11.96,0
6.57,10.32,34,46,12.00,0
7.07,13.67,44,36,12.01,0
7.58,15.91,51,29,11.86,0
8.08,19.26,60,20,11.76,0
8.59,22.62,71,9,11.82,0
9.10,24.85,75,5,11.21,0
9.61,27.18,80,0,11.30,0
10.11,27.42,80,0,11.30,0
10.62,27.66,80,0,11.30,0
11.13,27.65,79,0,11.30,0
11.63,28.36,79,0,11.84,0
12.14,28.96,78,0,14.71,0
12.65,30.06,77,0,19.52,0
13.15,31.37,76,0,21.57,0
13.66,33.72,78,0,23.45,0
14.17,35.24,76,0,24.99,0
14.67,36.54,77,0,26.59,0
15.18,38.58,77,0,30.25,0
15.69,39.21,76,0,31.39,0
16.19,42.73,78,0,32.90,0
16.70,42.71,76,0,33.69,0
17.21,41.60,72,0,34.75,0
17.72,45.61,73,1,36.55,0
18.23,48.86,75,1,37.80,0
18.73,45.85,71,0,38.50,0
19.24,51.11,77,2,40.06,0
19.74,53.16,75,0,41.51,0
20.25,55.16,75,0,42.52,0
20.76,58.88,78,0,43.39,0
21.26,59.67,76,0,44.62,0
21.78,59.98,77,0,44.22,0
22.28,60.22,74,0,45.53,0
22.79,60.16,73,0,45.95,0
23.30,64.84,76,2,46.23,0
23.80,63.78,77,0,47.60,0
24.31,66.35,76,0,48.90,0
24.82,62.51,72,0,49.10,0
25.33,68.34,74,0,50.70,0
25.83,71.16,76,0,51.43,0
26.34,75.38,77,0,52.86,0
26.85,73.53,75,1,52.82,0
27.35,74.55,73,0,53.73,0
27.86,77.45,74,0,54.19,0
28.37,79.05,77,0,54.31,0
28.88,75.02,72,0,55.15,0
29.38,76.32,73,2,55.48,0
29.89,80.24,75,3,55.37,0
30.40,86.31,77,0,56.51,0
30.90,86.99,77,0,56.78,0
31.42,82.06,74,0,57.17,0
31.93,84.29,72,0,57.63,0
32.44,84.71,75,0,58.58,0
32.94,93.79,78,0,59.82,0
33.45,85.70,75,1,60.28,0
33.95,92.80,77,2,61.08,0
34.46,90.02,75,0,61.37,0
34.97,92.17,76,0,61.99,0
35.48,93.56,77,0,62.18,0
35.98,92.51,74,0,62.33,0
36.49,76.23,67,0,62.37,0
37.00,85.94,72,1,63.05,0
37.50,87.59,72,3,63.01,0
38.01,90.28,74,4,62.57,0
38.52,90.60,75,2,62.11,0
39.02,93.73,75,0,62.86,0
39.53,93.15,73,0,63.43,0
40.04,90.27,70,0,63.75,0
40.55,95.87,73,1,64.07,0
41.05,97.39,75,0,63.70,0
41.56,95.66,73,2,63.40,0
42.07,97.16,75,1,62.80,0
42.57,96.64,74,1,62.48,0
43.08,97.35,74,2,62.16,0
43.59,97.80,73,2,61.82,0
44.10,98.64,72,2,60.81,0
44.60,95.78,71,1,60.42,0
45.11,87.96,64,0,60.42,1
45.62,77.54,58,0,60.42,1
46.12,70.36,53,0,60.42,1
46.63,65.69,50,0,60.42,1
47.14,67.17,49,0,60.54,1
47.64,76.82,54,19,61.29,1
48.15,87.02,63,10,61.71,1
48.65,90.42,65,8,61.53,1
49.16,94.44,68,5,61.45,1
49.67,98.22,72,1,61.13,1
50.17,96.16,70,0,60.94,1
50.68,97.66,70,1,61.09,1
51.18,95.37,69,0,61.70,1
51.69,92.49,67,0,61.77,1
52.20,90.78,65,0,62.00,1
52.70,91.12,65,0,61.73,1
53.21,93.65,67,3,61.89,1
53.72,94.82,68,2,61.61,1
54.22,98.80,69,0,61.71,1
54.73,98.99,68,0,61.65,1
55.24,94.72,65,0,61.84,1
55.75,93.66,65,0,61.87,1
56.25,91.04,62,0,62.49,1
56.77,91.24,62,0,62.72,1
57.27,94.26,64,0,62.70,1
57.78,92.80,62,0,62.65,1
58.29,84.20,59,0,63.08,1
58.79,78.64,58,0,63.20,1
59.30,82.67,59,5,63.21,1
59.81,84.90,61,5,62.87,1
60.32,89.20,64,2,62.57,1
60.82,89.01,63,2,62.57,1
61.33,96.89,66,0,62.80,1
61.83,93.23,64,0,62.80,1
62.34,94.36,65,1,62.54,1
62.85,93.48,66,0,62.55,1
63.35,94.23,65,0,62.79,1
63.86,90.72,63,0,62.79,1
64.37,91.98,63,0,62.91,1
64.88,92.33,64,0,63.25,1
65.38,80.84,59,0,63.43,1
65.89,76.32,57,0,63.55,1
66.40,81.16,57,0,64.01,1
66.90,86.50,59,0,64.33,1
67.41,88.52,60,0,64.32,1
67.92,87.98,59,0,64.46,1
68.43,89.10,60,3,64.24,1
68.93,91.85,63,0,64.35,1
69.48,89.92,63,0,64.39,1
69.99,93.35,64,0,64.49,1
70.50,88.03,60,0,64.49,1
71.01,93.52,62,0,64.91,1
71.51,94.44,62,0,65.00,1
72.02,94.54,62,0,65.00,1
72.58,91.12,60,0,65.06,1
73.09,80.44,57,0,65.27,1
73.59,78.89,56,0,65.36,1
74.10,83.48,58,0,65.58,1
74.61,90.49,62,0,65.60,1
75.11,93.59,61,0,65.98,1
75.62,95.68,62,0,66.02,1
76.13,95.65,61,0,66.09,1
76.63,90.11,59,0,66.15,1
77.18,92.83,61,0,66.40,1
77.68,89.88,59,0,66.52,1
78.19,93.82,61,1,66.80,1
78.70,95.31,60,1,67.16,1
79.21,99.05,61,1,66.34,1
79.72,96.39,60,1,65.86,1
80.22,97.13,59,0,65.94,1
80.78,85.84,54,0,65.94,1
81.29,83.81,52,0,65.94,1
81.79,78.50,49,0,65.94,1
82.30,78.56,49,0,65.94,1
82.81,73.64,46,0,65.94,1
83.32,73.67,46,0,65.94,1
83.82,75.90,47,14,65.68,1
84.33,77.25,47,13,65.41,1
84.84,81.28,49,11,65.35,1
85.34,82.40,50,10,65.13,1
85.85,84.62,51,9,65.02,1
86.36,87.75,54,6,64.76,1
86.86,89.02,55,5,64.67,1
87.37,91.24,57,4,64.25,1
87.88,93.48,57,4,64.25,1
88.39,95.32,59,2,64.17,1
88.89,94.61,59,0,64.26,1
89.40,94.56,60,0,64.05,1
89.91,94.63,59,0,64.05,1
90.41,87.04,54,0,64.05,1
90.92,88.98,55,0,64.10,1
91.48,82.80,52,0,64.16,1
91.99,82.86,52,0,64.16,1
92.51,90.52,56,0,64.49,1
93.02,85.18,54,0,64.60,1
93.54,90.34,56,0,64.76,1
94.04,93.94,58,0,64.71,1
94.59,93.76,58,0,64.76,1
95.09,89.96,56,0,64.82,1
95.60,92.98,58,0,64.56,1
96.11,91.93,57,0,64.56,1
96.61,90.46,57,0,64.71,1
97.12,86.68,55,0,64.71,1
97.63,85.38,54,0,64.85,1
98.14,86.61,54,0,65.01,1
98.64,89.51,56,1,64.85,1
99.15,93.32,58,0,64.83,1
99.68,98.49,61,0,65.08,1
100.19,92.38,57,0,65.08,1
100.70,93.60,58,0,65.11,1
101.20,90.99,56,0,65.11,1
101.71,91.06,56,0,65.11,1
102.22,86.09,52,0,65.11,1
102.77,87.52,53,0,65.41,1
103.29,81.38,50,0,65.48,1
103.79,85.44,52,0,65.65,1
104.30,85.55,52,0,65.88,1
104.81,86.77,53,0,65.95,1
105.31,90.56,55,0,66.18,1
105.82,87.69,53,0,66.29,1
106.38,87.29,53,0,66.35,1
106.89,91.42,55,0,66.47,1
107.40,92.00,55,0,66.46,1
107.91,88.28,53,0,66.52,1
108.41,92.66,55,0,66.70,1
108.92,88.27,53,0,66.70,1
109.43,85.79,52,0,66.79,1
109.93,84.81,51,0,66.79,1
110.44,85.75,52,0,66.95,1
110.98,94.61,56,0,67.19,1
111.49,90.59,53,0,67.19,1
112.00,87.22,51,0,67.19,1
112.50,95.28,55,0,67.39,1
113.01,89.97,53,0,67.39,1
113.52,87.40,52,1,67.24,1
114.02,89.64,53,3,67.12,1
114.53,92.56,56,0,67.03,1
115.04,96.56,56,0,67.26,1
115.59,88.87,52,0,67.26,1
116.10,90.61,53,0,67.33,1
116.60,88.20,51,0,67.33,1
117.11,87.82,50,0,67.34,1
117.61,94.90,53,0,67.62,1
118.12,95.93,54,0,67.66,1
118.63,93.38,53,0,67.70,1
119.19,90.54,52,0,67.85,1
119.69,87.99,50,0,67.93,1
120.20,89.40,51,0,68.03,1
120.78,90.89,50,0,68.11,1
121.29,90.94,50,0,68.11,1
121.79,89.63,49,0,68.20,1
122.30,90.02,48,0,68.30,1
122.81,91.22,50,0,68.44,1
123.31,89.85,49,0,68.57,1
123.82,87.10,48,0,68.58,1
124.37,85.69,47,0,68.63,1
124.89,88.28,48,0,68.84,1
125.39,89.88,49,0,68.89,1
125.90,93.28,51,0,68.73,1
126.41,96.69,52,0,68.90,1
126.98,97.14,52,0,69.02,1
127.49,97.22,52,0,69.02,1
128.00,89.34,48,0,69.02,1
128.50,88.22,48,0,69.12,1
129.01,88.97,47,0,69.17,1
129.52,89.78,48,0,69.27,1
130.02,87.88,47,0,69.36,1
130.58,89.05,48,0,69.40,1
131.09,86.50,46,0,69.45,1
