t_s,kv_perc,running,waiting,prefix_hit_cum,preemptions
0.01,0.00,0,0,0.00,0
0.52,0.00,0,0,0.00,0
1.02,0.00,0,0,0.00,0
1.53,0.00,0,0,0.00,0
2.04,0.00,0,0,0.00,0
2.54,0.00,0,0,0.00,0
4.93,0.00,0,0,0.00,0
5.44,2.48,11,69,14.26,0
5.95,5.83,20,60,12.35,0
6.46,8.06,27,53,12.05,0
6.97,11.42,38,42,12.14,0
7.47,13.65,44,36,12.07,0
7.98,17.00,54,26,11.93,0
8.49,19.24,61,19,11.86,0
8.99,22.60,71,9,11.82,0
9.50,24.83,77,3,11.65,0
10.01,27.19,80,0,11.30,0
10.52,27.43,80,0,11.30,0
11.02,27.67,80,0,11.30,0
11.53,27.91,80,0,11.84,0
12.04,29.05,80,0,13.03,0
12.55,28.39,77,0,16.06,0
13.05,29.47,77,0,18.53,0
13.56,31.62,78,0,22.20,0
14.07,33.03,76,0,23.29,0
14.57,36.43,79,0,24.86,0
15.08,36.04,77,0,25.92,0
15.59,37.58,76,0,27.95,0
16.10,39.39,76,0,31.46,0
16.61,40.66,76,0,34.18,0
17.12,39.63,73,0,36.30,0
17.63,43.85,74,0,39.59,0
18.14,42.33,72,2,39.42,0
18.64,47.48,78,1,40.74,0
19.15,47.21,73,0,42.55,0
19.66,51.07,76,2,42.74,0
20.16,54.06,77,1,44.03,0
20.67,52.99,74,0,44.73,0
21.18,56.30,76,1,45.32,0
21.68,53.69,75,0,45.93,0
22.19,58.67,75,0,48.02,0
22.70,61.03,76,1,47.78,0
23.21,65.66,79,0,48.21,0
23.72,60.73,74,0,48.55,0
24.23,60.78,73,0,48.71,0
24.73,60.95,72,0,48.90,0
25.24,63.94,73,3,49.57,0
25.75,71.34,76,0,51.88,0
26.25,71.94,77,0,52.35,0
26.76,74.29,76,0,53.09,0
27.27,69.36,72,0,53.50,0
27.80,75.50,77,0,54.33,0
28.30,71.21,74,0,54.80,0
28.81,76.90,76,0,56.26,0
29.32,76.13,73,0,57.14,0
29.82,80.24,74,1,57.48,0
30.33,80.58,76,0,57.61,0
30.84,81.43,75,0,58.58,0
31.34,84.98,76,2,58.79,0
31.85,84.29,76,0,59.04,0
32.36,91.27,79,0,59.52,0
32.86,93.76,80,0,59.39,0
33.37,91.28,76,0,59.33,0
33.88,85.34,74,0,59.30,0
34.38,87.28,75,1,59.79,0
34.89,88.46,75,0,60.40,0
35.40,90.58,74,0,60.43,0
35.90,88.68,75,0,60.75,0
36.41,90.85,75,0,61.46,0
36.92,94.18,77,0,61.71,0
37.43,88.22,72,0,61.71,0
37.93,94.29,75,0,62.10,0
38.44,96.91,76,0,62.04,0
38.95,98.21,77,0,61.68,0
39.45,95.29,73,2,61.55,0
39.96,98.15,75,2,61.22,0
40.47,97.26,75,1,60.69,0
40.98,92.78,74,1,60.52,0
41.49,92.09,74,0,59.52,0
41.99,92.88,72,1,59.52,0
42.50,96.70,74,0,59.88,0
43.01,99.42,76,0,59.97,0
43.51,96.21,75,0,59.74,1
44.02,98.45,76,0,59.51,1
44.53,94.97,73,2,59.51,1
45.03,97.58,73,0,59.01,2
45.54,93.52,70,0,59.01,2
46.05,82.80,63,0,59.01,2
46.56,74.83,58,0,59.01,2
47.07,71.81,57,0,59.01,2
47.57,70.60,56,0,59.01,2
48.08,79.83,59,4,59.59,2
48.59,84.57,62,0,59.56,2
49.09,82.67,60,0,59.56,2
49.60,82.07,59,0,59.57,2
50.11,75.09,54,0,59.65,2
50.62,72.87,54,0,59.67,2
51.13,82.22,59,3,60.08,2
51.63,84.45,60,2,59.64,2
52.14,90.79,62,0,60.09,2
52.65,90.91,62,0,60.09,2
53.16,82.42,58,0,60.09,2
53.67,88.64,60,2,60.10,2
54.18,89.75,60,3,60.10,2
54.69,84.34,59,0,60.47,2
55.20,80.38,57,0,60.68,2
55.71,76.11,55,0,60.99,2
56.22,77.94,56,0,61.25,2
56.72,84.69,58,0,61.69,2
57.23,86.92,60,3,61.23,2
57.74,89.15,61,2,60.94,2
58.30,85.29,60,0,61.23,2
58.81,88.75,61,0,61.41,2
59.32,86.54,59,0,61.41,2
59.82,87.67,60,2,61.05,2
60.33,89.89,61,2,60.75,2
60.89,96.39,63,0,61.33,2
61.39,92.78,60,0,61.33,2
61.90,92.34,60,0,61.50,2
62.41,92.39,60,0,61.50,2
62.99,90.00,58,0,61.58,2
63.50,89.81,58,0,61.64,2
64.01,83.31,55,0,61.64,2
64.52,79.56,52,0,61.64,2
65.02,84.67,54,0,61.82,2
65.53,91.99,57,0,62.26,2
66.04,93.70,58,0,62.55,2
66.60,87.68,56,0,62.55,2
67.11,91.15,56,0,62.76,2
67.61,87.71,55,0,62.72,2
68.12,84.28,54,0,62.78,2
68.63,92.49,56,0,63.28,2
69.13,94.72,57,0,62.92,2
69.69,92.96,55,0,63.14,2
70.20,91.01,54,0,63.14,2
70.71,84.47,51,0,63.31,2
71.22,80.60,50,0,63.42,2
71.72,87.59,53,1,63.39,2
72.23,88.71,53,1,63.39,2
72.74,96.30,57,0,63.52,2
73.30,96.26,57,0,63.44,2
73.81,94.79,57,0,63.53,2
74.32,87.80,55,0,63.53,2
74.82,82.29,52,0,63.72,2
75.40,82.74,52,0,63.99,2
75.91,82.75,52,0,63.99,2
76.42,96.13,56,0,64.83,2
76.99,95.02,55,0,64.83,2
77.50,91.28,52,0,64.83,2
78.01,94.14,53,0,65.18,2
78.52,92.95,52,0,65.18,2
79.09,94.21,53,0,65.26,2
79.60,90.09,52,0,65.36,2
80.11,91.30,53,0,65.44,2
80.62,89.30,51,0,65.44,2
81.12,91.89,53,0,65.61,2
81.63,87.29,51,0,65.61,2
82.14,93.07,51,0,66.06,2
82.64,90.88,51,0,66.28,2
83.19,95.59,52,0,66.54,2
83.70,92.49,51,0,66.53,2
84.21,84.51,48,0,66.53,2
84.71,82.52,49,0,66.63,2
85.29,82.55,49,0,66.63,2
85.80,81.38,48,0,66.63,2
86.31,80.03,47,0,66.63,2
86.89,81.81,48,0,66.68,2
87.40,90.29,50,0,67.00,2
87.91,86.93,48,0,67.23,2
88.49,89.39,49,0,67.38,2
89.01,88.07,48,0,67.38,2
89.59,89.03,48,0,67.46,2
90.10,89.06,48,0,67.46,2
90.61,91.30,50,0,67.11,2
91.20,92.92,51,0,67.48,2
91.71,91.31,50,0,67.48,2
92.29,91.35,50,0,67.48,2
92.80,89.71,49,0,67.48,2
93.31,87.35,48,0,67.48,2
93.82,94.08,50,0,67.86,2
94.34,95.59,51,0,67.92,2
94.89,90.30,49,0,68.01,2
95.41,87.72,48,0,68.01,2
95.91,93.13,50,0,68.15,2
96.49,93.18,50,0,68.15,2
97.00,86.31,49,0,68.21,2
97.51,90.06,49,0,68.36,2
98.02,85.14,48,0,68.40,2
98.59,83.73,47,0,68.40,2
99.10,83.35,46,0,68.40,2
99.69,80.69,45,0,68.40,2
100.20,80.73,45,0,68.40,2
100.71,79.88,44,0,68.62,2
101.22,79.92,44,0,68.62,2
101.72,81.54,44,0,68.81,2
102.23,88.74,47,0,69.19,2
102.79,89.50,47,0,69.10,2
103.31,82.69,44,0,69.10,2
103.81,86.23,46,0,69.28,2
104.32,86.83,46,0,69.39,2
104.83,86.89,46,0,69.39,2
105.34,90.14,46,0,69.58,2
105.85,88.93,46,0,69.64,2
106.39,96.07,49,0,69.97,2
106.90,97.75,49,0,70.05,2
107.49,97.78,49,0,70.05,2
108.00,96.34,48,0,70.05,2
108.50,91.98,47,0,70.05,2
109.09,91.00,46,0,70.05,2
109.60,85.14,43,0,70.22,2
110.11,84.16,42,0,70.22,2
110.70,84.21,42,0,70.22,2
111.21,81.45,41,0,70.22,2
111.71,84.40,43,2,69.95,2
112.22,89.86,45,3,69.99,2
112.73,91.01,46,1,69.73,2
113.23,99.26,49,0,69.95,2
113.79,99.30,49,0,69.95,2
114.30,97.60,48,0,69.95,2
114.81,94.44,47,0,69.95,2
115.40,93.35,47,0,70.10,2
116.00,90.94,46,0,70.10,2
116.51,90.99,46,0,70.10,2
117.01,89.27,45,0,70.18,2
117.52,90.41,46,0,69.96,2
118.09,92.91,46,0,70.06,2
118.60,92.97,46,0,70.06,2
119.11,93.00,46,0,70.06,2
119.69,90.96,45,0,70.06,2
120.20,90.47,46,0,70.24,2
120.71,93.96,46,0,70.23,2
121.21,95.89,48,0,70.37,2
121.72,94.91,47,0,70.42,2
122.23,94.99,47,0,70.55,2
122.74,88.39,44,0,70.55,2
123.29,89.87,44,0,70.79,2
123.80,87.93,44,0,70.93,2
124.39,81.20,41,0,70.93,2
124.90,78.87,40,0,70.93,2
125.49,81.18,41,0,71.05,2
126.00,79.19,40,0,71.05,2
126.50,82.38,41,0,71.23,2
127.09,80.37,39,0,71.23,2
127.60,84.75,42,0,71.41,2
128.11,84.51,41,0,71.50,2
128.62,81.20,39,0,71.57,2
129.13,93.81,46,0,71.92,2
129.63,98.19,47,1,71.91,2
130.15,92.07,46,0,71.86,2
130.70,85.03,43,0,71.86,2
131.21,85.67,43,0,72.04,2
131.72,83.30,42,0,72.16,2
132.22,84.24,42,0,72.28,2
