run,arm,policy,model,programs_in_tape,calls_total,timeline,t_warm_s,t_drain_s,wall_s_sampler,full_window_s,full_gen_tps,full_prompt_tps,full_calls_per_s,full_lat_p50,full_lat_p90,full_lat_p95,full_lat_p99,full_wait_p90,full_wait_p95,warm_window_s,warm_gen_tps,warm_prompt_tps,warm_calls_per_s,warm_lat_p50,warm_lat_p90,warm_lat_p95,warm_lat_p99,warm_wait_p90,warm_wait_p95,steady_window_s,steady_gen_tps,steady_prompt_tps,steady_calls_per_s,steady_lat_p50,steady_lat_p90,steady_lat_p95,steady_lat_p99,steady_wait_p90,steady_wait_p95
17_AB_density,A,,qwen3-32b,80,658,reconstructed,41.5,3438.2,3719.7,3718.2,305.4,2276.0,0.177,95.5,558.9,760.9,1193.5,441.2,610.4,3676.7,299.9,2232.0,0.156,108.2,595.7,807.2,1213.8,490.3,647.7,3396.7,316.8,2316.3,0.165,110.0,608.2,808.6,1217.8,501.7,649.0
17_AB_density,B,,qwen3-32b,80,695,reconstructed,40.5,3958.8,4487.2,4455.5,286.6,2294.0,0.156,96.5,713.5,911.3,1323.3,555.8,770.6,4415.0,281.8,2257.9,0.138,105.3,777.2,924.9,1408.1,606.3,806.7,3918.3,300.1,2287.8,0.147,118.7,782.1,945.0,1421.4,614.7,816.3
18_AB_fidelity_dd,A,,qwen3-32b,80,615,reconstructed,40.5,3452.3,3810.5,3808.4,297.4,2018.1,0.161,87.8,587.9,829.5,1077.8,437.1,639.0,3767.9,291.9,1972.5,0.141,98.3,642.0,862.2,1084.5,504.5,652.5,3411.8,313.6,2138.7,0.154,99.0,647.0,872.5,1085.0,504.8,654.0
18_AB_fidelity_dd,B,,qwen3-32b,80,670,reconstructed,41.0,4201.1,4296.2,4294.0,302.4,2198.5,0.156,102.1,677.5,929.8,1523.8,556.2,741.4,4253.0,297.4,2158.8,0.137,118.8,707.7,1025.5,1640.1,598.4,817.7,4160.1,301.7,2178.6,0.139,120.7,708.6,1036.4,1640.6,599.5,820.8
19_AB_fidelity_vs_size,A,,qwen3-32b,78,231,reconstructed,39.1,604.9,604.9,602.9,609.1,2091.2,0.383,68.9,367.7,398.8,447.0,174.0,281.8,563.8,598.0,1783.5,0.263,71.2,373.4,412.9,463.5,242.8,333.5,565.8,595.9,1777.1,0.262,71.2,373.4,412.9,463.5,242.8,333.5
19_AB_fidelity_vs_size,B,,qwen3-32b,80,97,reconstructed,40.0,63.8,599.9,257.2,564.8,1290.7,0.377,62.7,135.3,194.9,257.1,20.7,22.7,217.2,499.8,377.0,0.06,48.4,95.6,110.5,125.9,7.1,7.5,23.8,1386.2,3435.5,0.546,48.4,95.6,110.5,125.9,7.1,7.5
21_AB_size_vs_fidelity,A,,qwen3-32b,80,658,reconstructed,40.1,4319.1,4741.6,4732.1,280.4,1975.9,0.139,105.7,724.5,1019.2,1625.5,617.9,729.2,4692.0,275.9,1939.7,0.122,122.3,755.5,1057.0,1656.8,634.4,783.4,4279.1,295.7,2023.0,0.131,128.5,762.2,1065.8,1671.9,636.9,790.8
21_AB_size_vs_fidelity,B,,qwen3-32b,80,705,reconstructed,40.1,4122.7,5389.1,4599.4,290.0,2236.0,0.153,68.7,674.7,1258.3,1920.2,604.6,987.9,4559.3,285.3,2201.8,0.136,68.6,778.6,1379.3,1989.2,651.8,1217.2,4082.6,303.4,2302.4,0.147,70.3,797.5,1468.1,2007.3,683.2,1283.1
22_AB_size_vs_fidelity,A,size,qwen3-32b,80,668,reconstructed,39.0,3741.6,4131.9,4130.3,295.9,2365.0,0.162,88.2,626.2,775.9,1170.5,474.4,610.1,4091.3,291.2,2328.7,0.143,93.3,645.5,800.3,1187.7,500.7,614.2,3702.6,308.4,2404.5,0.152,97.8,649.3,804.7,1192.0,505.7,615.6
22_AB_size_vs_fidelity,B,fidelity,qwen3-32b,80,604,reconstructed,41.0,4291.6,5038.4,5034.8,255.5,1641.1,0.12,64.9,1555.5,1887.2,2072.5,1492.1,1811.7,4993.7,250.7,1603.0,0.104,62.4,1739.9,1921.3,2094.6,1582.3,1814.6,4250.6,270.9,1749.4,0.116,65.9,1792.0,1925.8,2100.1,1658.1,1815.4
