policy,mean_program_ct,p50_program_ct,p90_program_ct,p95_program_ct,makespan,program_throughput,mean_request_ct,completed_programs,completed_requests,warm_admits,cold_admits,recompute_service,preempt_events,preempted_requests_unique,preempted_request_ratio,memory_keep_events,memory_delete_events,evictions,deleted_from_memory_ratio,memory_violations,decision_wall_sec,decision_cpu_sec,decision_calls,mean_decision_ms,p95_decision_ms,memory_utilization,mean_active,mean_program_ct_e2e_1ms,p90_program_ct_e2e_1ms,makespan_e2e_1ms,mean_program_ct_e2e_10ms,p90_program_ct_e2e_10ms,makespan_e2e_10ms,mean_program_ct_e2e_50ms,p90_program_ct_e2e_50ms,makespan_e2e_50ms,preset,n,rep,seed,profile,prior_mix,token_cv,memory_factor,p_mean,d_mean,M,qmax_obs,total_requests_instance,mean_requests_per_program,runtime_sec,lambda_current_last,dual_updates,lambda_projected_last,lambda_present_last,lambda_future_last,lp_resolves,lp_failures,lambda_peak_last,lambda_mean,selective_skips,mean_program_ct_base,p90_program_ct_base,p95_program_ct_base,makespan_base,program_throughput_base,mean_program_ct_e2e_10ms_base,recompute_service_base,decision_wall_sec_base,mean_program_ct_impr_pct,p90_program_ct_impr_pct,p95_program_ct_impr_pct,makespan_impr_pct,mean_program_ct_e2e_10ms_impr_pct,recompute_service_impr_pct,decision_wall_sec_impr_pct,program_throughput_impr_pct
commit_many,11780.432352941176,11327.75,23628.65,24764.749999999996,27155.75,0.006260184307190927,9908.914887307235,170,1686,836,850,263393.25,536,512,0.3036773428232503,536,850,850,0.6132756132756133,0,0.02661115227965638,0.028195000000000803,1543,0.017246372183834336,0.029870896833017465,0.9344883475724367,20.877696252174953,11798.739684399308,23655.117694115128,27182.361152279656,11782.26308608699,23631.296769411514,27158.411115227966,11780.798499570341,23629.179353882304,27156.282223045593,quick,170,0,20260974,balanced,quick10,0.35,5,120.0,150.0,47645,9529,1686,9.91764705882353,0.10156679098145105,,,,,,,,,,,11780.432352941176,23628.65,24764.749999999996,27155.75,0.006260184307190927,11782.26308608699,263393.25,0.02661115227965638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
least_rounds,16420.567647058822,12740.25,38751.22499999999,47154.2,50801.0,0.0033463908190783645,11679.0290628707,170,1686,496,1190,555681.5,119,105,0.06227758007117438,119,1190,1190,0.9090909090909091,0,0.062451008619973436,0.062301999999998636,1570,0.039777712496798366,0.06314755300991237,0.9543579414707852,16.91340229523041,16464.41586930026,38813.2706029399,50863.45100861997,16424.952469282965,38757.42956029398,50807.245100862,16421.44461150365,38752.46591205879,50802.2490201724,quick,170,0,20260974,balanced,quick10,0.35,5,120.0,150.0,47645,9529,1686,9.91764705882353,0.1556304999976419,,,,,,,,,,,11780.432352941176,23628.65,24764.749999999996,27155.75,0.006260184307190927,11782.26308608699,263393.25,0.02661115227965638,-39.388497426065705,-64.00101148394,-90.40854440283064,-87.07271940565073,-39.404054630882115,-110.97028872228123,-134.6798363470935,-46.5448514793016
current_density,9931.886764705883,8517.75,22886.65,24559.649999999994,28912.25,0.005879860612716063,7292.156138790036,170,1686,1013,673,246342.25,123,112,0.066429418742586,123,673,673,0.8454773869346733,0,0.060743459180230275,0.060653000000000845,1542,0.039392645382769306,0.060874997870996594,0.9168231833568733,19.019567830244966,9973.766088367476,22947.175534115733,28972.99345918023,9936.074697072043,22892.702553411575,28918.324345918023,9932.724351179115,22887.860510682316,28913.464869183605,quick,170,0,20260974,balanced,quick10,0.35,5,120.0,150.0,47645,9529,1686,9.91764705882353,0.1309408329834696,,,,,,,,,,,11780.432352941176,23628.65,24764.749999999996,27155.75,0.006260184307190927,11782.26308608699,263393.25,0.02661115227965638,15.69166167126093,3.1402555795612526,0.828193298943063,-6.468243373871095,15.669217157398286,6.473590344475419,-128.26316779475673,-6.075279509550446
bayes_grade,9905.248529411765,8514.25,21415.45,23399.599999999984,27174.25,0.0062559224265619105,7269.115361803084,170,1686,967,719,241192.5,149,128,0.07591933570581258,149,719,719,0.8283410138248848,0,0.11908202967606485,0.11802999999999675,1541,0.07727581419601873,0.1164170098491013,0.9396643830446391,20.04645022401722,9988.232138305397,21533.402726897784,27293.332029676065,9913.546890301128,21427.24527268978,27186.158202967606,9906.908201589637,21417.809054537956,27176.63164059352,quick,170,0,20260974,balanced,quick10,0.35,5,120.0,150.0,47645,9529,1686,9.91764705882353,0.18968133299495094,,,,,,,,,,,11780.432352941176,23628.65,24764.749999999996,27155.75,0.006260184307190927,11782.26308608699,263393.25,0.02661115227965638,15.91778440170102,9.36659521386114,5.512472364954269,-0.06812553510766596,15.8604181737592,8.42874675034383,-347.4891895872557,-0.0680791558184679
dual_descent_current,6984.882352941177,5524.75,15365.449999999999,17549.699999999993,20704.0,0.00821097372488408,5181.461743772242,170,1686,1343,343,101338.5,337,251,0.14887307236061684,337,343,343,0.5044117647058823,0,0.06993553802021779,0.06950800000000368,1524,0.045889460643187524,0.06886870105518028,0.9007648409017588,19.55670401854714,7032.604162874741,15434.823499290667,20773.935538020218,6989.654533934533,15372.387349929066,20710.99355380202,6985.8367891398475,15366.837469985812,20705.398710760404,quick,170,0,20260974,balanced,quick10,0.35,5,120.0,150.0,47645,9529,1686,9.91764705882353,0.12567670800490305,0.0,1524.0,,,,,,,,,11780.432352941176,23628.65,24764.749999999996,27155.75,0.006260184307190927,11782.26308608699,263393.25,0.02661115227965638,40.70775890328603,34.97110499330263,29.13435427371568,23.75832006112886,40.67646866425669,61.52577941917646,-162.80537304535255,31.161852782071087
bayes_dual_price,6467.202941176471,5177.75,14171.349999999999,16586.149999999998,19650.25,0.00865128942379868,4902.209371293001,170,1686,1468,218,68343.5,1295,237,0.14056939501779359,1295,216,216,0.14295168762409,0,0.39944689904223196,0.3976239999999991,1510,0.26453437022664367,0.45624999766005203,0.9054882687057715,18.92647676238216,6739.486082270779,14569.205662283835,20049.696899042232,6494.431255285902,14211.135566228382,19690.194689904223,6472.648603998357,14179.307113245675,19658.238937980845,quick,170,0,20260974,balanced,quick10,0.35,5,120.0,150.0,47645,9529,1686,9.91764705882353,0.4524815829936415,,1510.0,0.0,,,,,,,,11780.432352941176,23628.65,24764.749999999996,27155.75,0.006260184307190927,11782.26308608699,263393.25,0.02661115227965638,45.10215968803701,40.02471575820033,33.02516681977407,27.63871371624794,44.87959394698282,74.05267598922903,-1401.0507431036724,38.19544280607117
mu_two_price,34870.80588235294,40838.0,66067.55,69311.59999999999,73363.5,0.0023172285946008574,33078.54789442467,170,1686,1548,138,22843.25,2489,152,0.09015421115065243,2489,138,138,0.0525314046440807,0,0.8002496670815162,0.7982120000000077,1537,0.5206569076652675,0.9386667865328491,0.2179669245711209,4.44810089485916,35392.21408611246,66862.30448163285,74163.74966708152,34922.94670272889,66147.02544816329,73443.52496670815,34881.23404642813,66083.44508963266,73379.50499334163,quick,170,0,20260974,balanced,quick10,0.35,5,120.0,150.0,47645,9529,1686,9.91764705882353,0.893501542013837,,1537.0,,0.0,4.731999033927518e-07,,,,,,11780.432352941176,23628.65,24764.749999999996,27155.75,0.006260184307190927,11782.26308608699,263393.25,0.02661115227965638,-196.00616376059304,-179.60780662458498,-179.88007147255675,-170.15825377682444,-196.40270674287885,91.32732141009689,-2907.1966019047168,-62.9846585836281
lp_dual_descent,7310.6,5959.75,16195.949999999999,18201.54999999999,23510.0,0.007230965546575925,5473.79418742586,170,1686,1242,444,114567.0,10,10,0.005931198102016607,10,390,390,0.975,0,0.22719169460469857,0.2271739999999962,1521,0.14936995043043955,0.2238329907413572,0.8035434496472498,17.785038281582306,7464.571528767793,16419.200301225927,23737.1916946047,7325.99715287678,16218.275030122591,23532.71916946047,7313.6794305753565,16200.415006024517,23514.543833892094,quick,170,0,20260974,balanced,quick10,0.35,5,120.0,150.0,47645,9529,1686,9.91764705882353,0.2862967500113882,,1521.0,,,3.093483424389171e-08,1.0,0.0,0.0,2.429113399667295e-07,,11780.432352941176,23628.65,24764.749999999996,27155.75,0.006260184307190927,11782.26308608699,263393.25,0.02661115227965638,37.94285488872749,31.456304105397482,26.50218556617777,13.42533349290666,37.82181657844971,56.503441147409816,-753.7461746005694,15.507230965546558
lp_selective,15501.460294117647,13216.75,37431.0,40038.299999999996,44839.0,0.003791342358214947,11361.42615658363,170,1686,1341,345,83288.75,0,0,0.0,0,292,292,1.0,0,0.282374590577092,0.28210600000000197,1522,0.1855286403266045,0.2339250058867038,0.3912932748268978,8.627015544503669,15693.998674860864,37704.48271973315,45121.37459057709,15520.71413219197,37458.348271973315,44867.23745905771,15505.311061732515,37436.46965439466,44844.64749181154,quick,170,0,20260974,balanced,quick10,0.35,5,120.0,150.0,47645,9529,1686,9.91764705882353,0.34895312500884756,,,,,0.0,41.0,0.0,0.0,2.541848582988142e-07,1481.0,11780.432352941176,23628.65,24764.749999999996,27155.75,0.006260184307190927,11782.26308608699,263393.25,0.02661115227965638,-31.58651422710692,-58.41362075277257,-61.67455758689267,-65.11788479419644,-31.729482008592267,68.37855563876447,-961.1137300993951,-39.4372086799438
commit_many,13385.67890625,12475.75,26378.85,27565.25,30886.0,0.010360681214789872,11009.622148148148,320,3375,1619,1756,595306.5,975,949,0.2811851851851852,975,1756,1756,0.6429879165140974,0,0.09545394152519293,0.09541200000000893,2927,0.032611527681992804,0.05644570337608455,0.915950406559766,38.947848539791494,13451.9017258167,26474.0290944644,30981.453941525193,13392.30118820667,26388.36790944644,30895.54539415252,13387.003362641335,26380.753581889287,30887.909078830504,quick,320,0,20260974,balanced,quick10,0.35,10,120.0,150.0,95290,9529,3375,10.546875,0.25572591699892655,,,,,,,,,,,13385.67890625,26378.85,27565.25,30886.0,0.010360681214789872,13392.30118820667,595306.5,0.09545394152519293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
