policy,mean_program_ct,p50_program_ct,p90_program_ct,p95_program_ct,makespan,program_throughput,mean_request_ct,completed_programs,completed_requests,warm_admits,cold_admits,recompute_service,preempt_events,preempted_requests_unique,preempted_request_ratio,memory_keep_events,memory_delete_events,evictions,deleted_from_memory_ratio,memory_violations,decision_wall_sec,decision_cpu_sec,decision_calls,mean_decision_ms,p95_decision_ms,memory_utilization,mean_active,mean_program_ct_e2e_1ms,p90_program_ct_e2e_1ms,makespan_e2e_1ms,mean_program_ct_e2e_10ms,p90_program_ct_e2e_10ms,makespan_e2e_10ms,mean_program_ct_e2e_50ms,p90_program_ct_e2e_50ms,makespan_e2e_50ms,preset,n,rep,seed,profile,prior_mix,token_cv,memory_factor,p_mean,d_mean,M,qmax_obs,total_requests_instance,mean_requests_per_program,runtime_sec,lambda_current_last,dual_updates,lambda_projected_last,lambda_present_last,lambda_future_last,lp_resolves,lp_failures,lambda_peak_last,lambda_mean,selective_skips,mean_program_ct_base,p90_program_ct_base,p95_program_ct_base,makespan_base,program_throughput_base,mean_program_ct_e2e_10ms_base,recompute_service_base,decision_wall_sec_base,mean_program_ct_impr_pct,p90_program_ct_impr_pct,p95_program_ct_impr_pct,makespan_impr_pct,mean_program_ct_e2e_10ms_impr_pct,recompute_service_impr_pct,decision_wall_sec_impr_pct,program_throughput_impr_pct
commit_many,11780.432352941176,11327.75,23628.65,24764.749999999996,27155.75,0.006260184307190927,9908.914887307235,170,1686,836,850,263393.25,536,512,0.3036773428232503,536,850,850,0.6132756132756133,0,0.031037656357511878,0.030956999999997237,1543,0.020115136978296744,0.03882979799527674,0.9344883475724367,20.877696252174953,11803.093495870306,23659.54299320709,27186.787656357512,11782.69846723409,23631.73929932071,27158.85376563575,11780.885575799759,23629.267859864143,27156.37075312715,quick,170,0,20260974,balanced,quick10,0.35,5,120.0,150.0,47645,9529,1686,9.91764705882353,0.1135474170150701,,,,,,,,,,,11780.432352941176,23628.65,24764.749999999996,27155.75,0.006260184307190927,11782.69846723409,263393.25,0.031037656357511878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
least_rounds,16420.567647058822,12740.25,38751.22499999999,47154.2,50801.0,0.0033463908190783645,11679.0290628707,170,1686,496,1190,555681.5,119,105,0.06227758007117438,119,1190,1190,0.9090909090909091,0,0.06106553031713702,0.0609629999999981,1570,0.038895242240214664,0.062129636353347444,0.9543579414707852,16.91340229523041,16463.419309565885,38811.91517581466,50862.06553031714,16424.85281330953,38757.29401758146,50807.106553031714,16421.424680308966,38752.438803516285,50802.22131060634,quick,170,0,20260974,balanced,quick10,0.35,5,120.0,150.0,47645,9529,1686,9.91764705882353,0.15244950001942925,,,,,,,,,,,11780.432352941176,23628.65,24764.749999999996,27155.75,0.006260184307190927,11782.69846723409,263393.25,0.031037656357511878,-39.388497426065705,-64.00101148394,-90.40854440283064,-87.07271940565073,-39.39805774529981,-110.97028872228123,-96.74658941301685,-46.5448514793016
bayes_grade,9905.248529411765,8514.25,21415.45,23399.599999999984,27174.25,0.0062559224265619105,7269.115361803084,170,1686,967,719,241192.5,149,128,0.07591933570581258,149,719,719,0.8283410138248848,0,0.11411323343054391,0.11382699999999524,1541,0.07405141689198178,0.11345898383297026,0.9396643830446391,20.04645022401722,9984.608297659955,21528.45274534733,27288.363233430544,9913.184506236585,21426.750274534734,27185.661323343054,9906.835724776729,21417.710054906947,27176.53226466861,quick,170,0,20260974,balanced,quick10,0.35,5,120.0,150.0,47645,9529,1686,9.91764705882353,0.18206995801301673,,,,,,,,,,,11780.432352941176,23628.65,24764.749999999996,27155.75,0.006260184307190927,11782.69846723409,263393.25,0.031037656357511878,15.91778440170102,9.36659521386114,5.512472364954269,-0.06812553510766596,15.866602766729045,8.42874675034383,-267.66059948635814,-0.0680791558184679
bayes_grade_warm_marginal,8755.5,7782.75,19077.549999999996,22994.549999999996,26636.5,0.0063822198862463165,6496.442319098458,170,1686,1130,556,201878.0,116,105,0.06227758007117438,116,556,556,0.8273809523809523,0,0.11103527079103515,0.11077300000000267,1531,0.07252467066690735,0.11350000568199903,0.9307095857561939,18.975390910968034,8832.730646061842,19187.021788318474,26747.535270791035,8763.223064606185,19088.497178831843,26647.603527079104,8757.044612921238,19079.739435766365,26638.72070541582,quick,170,0,20260974,balanced,quick10,0.35,5,120.0,150.0,47645,9529,1686,9.91764705882353,0.17565254200599156,,,,,,,,,,,11780.432352941176,23628.65,24764.749999999996,27155.75,0.006260184307190927,11782.69846723409,263393.25,0.031037656357511878,25.677600467574965,19.26093957970517,7.1480632754217215,1.912118059711111,25.626348760639257,23.354907538442994,-257.7437339728838,1.9493927505490616
current_density,9931.886764705883,8517.75,22886.65,24559.649999999994,28912.25,0.005879860612716063,7292.156138790036,170,1686,1013,673,246342.25,123,112,0.066429418742586,123,673,673,0.8454773869346733,0,0.06550000395509414,0.06284099999999948,1542,0.04247730476984056,0.06282886606641112,0.9168231833568733,19.019567830244966,9976.965739702699,22951.95262968154,28977.750003955094,9936.394662205563,22893.180262968155,28918.80000039551,9932.788344205817,22887.956052593632,28913.560000079102,quick,170,0,20260974,balanced,quick10,0.35,5,120.0,150.0,47645,9529,1686,9.91764705882353,0.1365644580218941,,,,,,,,,,,11780.432352941176,23628.65,24764.749999999996,27155.75,0.006260184307190927,11782.69846723409,263393.25,0.031037656357511878,15.69166167126093,3.1402555795612526,0.828193298943063,-6.468243373871095,15.669617703981983,6.473590344475419,-111.03398787789442,-6.075279509550446
dual_descent_current,6984.882352941177,5524.75,15365.449999999999,17549.699999999993,20704.0,0.00821097372488408,5181.461743772242,170,1686,1343,343,101338.5,337,251,0.14887307236061684,337,343,343,0.5044117647058823,0,0.06759376687114127,0.06744899999999987,1524,0.044352865401011334,0.06778571842005476,0.9007648409017588,19.55670401854714,7031.1115182916055,15432.515042865578,20771.59376687114,6989.50526947622,15372.156504286557,20710.759376687114,6985.806936248185,15366.79130085731,20705.351875337423,quick,170,0,20260974,balanced,quick10,0.35,5,120.0,150.0,47645,9529,1686,9.91764705882353,0.12119354101014324,0.0,1524.0,,,,,,,,,11780.432352941176,23628.65,24764.749999999996,27155.75,0.006260184307190927,11782.69846723409,263393.25,0.031037656357511878,40.70775890328603,34.97110499330263,29.13435427371568,23.75832006112886,40.67992753177057,61.52577941917646,-117.77986743764534,31.161852782071087
bayes_dual_price,6467.202941176471,5177.75,14171.349999999999,16586.149999999998,19650.25,0.00865128942379868,4902.209371293001,170,1686,1468,218,68343.5,1295,237,0.14056939501779359,1295,216,216,0.14295168762409,0,0.3857677128398791,0.3851289999999987,1510,0.2554753065164762,0.4442126548383385,0.9054882687057715,18.92647676238216,6730.384501786289,14555.597327828778,20036.01771283988,6493.5210972374525,14209.774732782877,19688.826771283988,6472.466572388667,14179.034946556574,19657.965354256798,quick,170,0,20260974,balanced,quick10,0.35,5,120.0,150.0,47645,9529,1686,9.91764705882353,0.4364709999936167,,1510.0,0.0,,,,,,,,11780.432352941176,23628.65,24764.749999999996,27155.75,0.006260184307190927,11782.69846723409,263393.25,0.031037656357511878,45.10215968803701,40.02471575820033,33.02516681977407,27.63871371624794,44.889355224569684,74.05267598922903,-1142.9021972418152,38.19544280607117
mu_two_price,34870.80588235294,40838.0,66067.55,69311.59999999999,73363.5,0.0023172285946008574,33078.54789442467,170,1686,1548,138,22843.25,2489,152,0.09015421115065243,2489,138,138,0.0525314046440807,0,0.7743354004051071,0.7724380000000042,1537,0.5037966170495166,0.9244081913493571,0.2179669245711209,4.44810089485916,35375.99933151344,66836.45376812662,74137.8354004051,34921.32522726899,66144.44037681266,73440.93354004051,34880.909751336156,66082.92807536254,73378.9867080081,quick,170,0,20260974,balanced,quick10,0.35,5,120.0,150.0,47645,9529,1686,9.91764705882353,0.8624229170090985,,1537.0,,0.0,4.731999033927518e-07,,,,,,11780.432352941176,23628.65,24764.749999999996,27155.75,0.006260184307190927,11782.69846723409,263393.25,0.031037656357511878,-196.00616376059304,-179.60780662458498,-179.88007147255675,-170.15825377682444,-196.37799290527497,91.32732141009689,-2394.825612751843,-62.9846585836281
area_knapsack,10143.075,8604.75,23531.324999999997,26232.049999999996,30043.75,0.00565841481173289,7402.696915776987,170,1686,984,702,258475.0,115,105,0.06227758007117438,115,702,702,0.8592411260709915,0,0.1761488540796563,0.1758550000000021,1542,0.11423401691287698,0.17873989127110673,0.9152613803509124,18.7072685666736,10260.628748024683,23704.186676194586,30219.898854079656,10154.830374802468,23548.611167619456,30061.364885407966,10145.426074960493,23534.78223352389,30047.272977081593,quick,170,0,20260974,balanced,quick10,0.35,5,120.0,150.0,47645,9529,1686,9.91764705882353,0.2479687089798972,,,,,,,,,,,11780.432352941176,23628.65,24764.749999999996,27155.75,0.006260184307190927,11782.69846723409,263393.25,0.031037656357511878,13.898958067802853,0.411894035418885,-5.92495381540294,-10.634948399510233,13.815749396952468,1.867265011536932,-467.5327159069597,-9.612648221343878
lp_update_long,8011.017647058824,6170.25,17865.85,20005.39999999999,24577.0,0.006917036253407657,5770.184015421115,170,1686,1190,496,148115.0,0,0,0.0,0,443,443,1.0,0,2.2879654892603867,2.2823259999999888,1508,1.5172184942045004,2.142360305879265,0.872379803007361,18.377609146763234,9508.253539512869,20101.12407963993,26864.965489260387,8160.741236304228,18089.37740796399,24805.79654892604,8040.962364907904,17910.555481592797,24622.759309785208,quick,170,0,20260974,balanced,quick10,0.35,5,120.0,150.0,47645,9529,1686,9.91764705882353,2.3539515839947853,,,,,0.0,1508.0,0.0,0.0,2.6031555514917453e-07,,11780.432352941176,23628.65,24764.749999999996,27155.75,0.006260184307190927,11782.69846723409,263393.25,0.031037656357511878,31.997252672490042,24.389036191233956,19.218243672962604,9.49614722480506,30.739624212585767,43.76659234813345,-7271.579422447735,10.492533669691163
lp_solve_once,180275.85294117648,197285.875,329798.125,349228.83749999997,369866.25,0.00045962560790556044,139390.56642941874,170,1686,1264,422,117619.75,0,0,0.0,0,369,369,1.0,0,0.2605018738831859,0.2598809999999636,1612,0.16160165873646767,0.25070608971873287,0.05159520484610517,1.1373902052431115,180451.55240142628,330052.7856820193,370126.7518738832,180293.42288720145,329823.59106820193,369892.3001873883,180279.36693038148,329803.2182136404,369871.46003747766,quick,170,0,20260974,balanced,quick10,0.35,5,120.0,150.0,47645,9529,1686,9.91764705882353,0.47548129098140635,,,,,3.891681144045233e-07,1.0,0.0,0.0,3.891681144045232e-07,,11780.432352941176,23628.65,24764.749999999996,27155.75,0.006260184307190927,11782.69846723409,263393.25,0.031037656357511878,-1430.2991226478007,-1295.7552589758616,-1310.1851926629586,-1262.0181729467977,-1430.153923471523,55.34443270660884,-739.3090988654433,-92.65795405771681
lp_selective,15501.460294117647,13216.75,37431.0,40038.299999999996,44839.0,0.003791342358214947,11361.42615658363,170,1686,1341,345,83288.75,0,0,0.0,0,292,292,1.0,0,0.2790036326041445,0.27835800000001854,1522,0.18331381905659955,0.23773923312546696,0.3912932748268978,8.627015544503669,15690.403603494608,37700.88792647899,45118.003632604145,15520.354625055343,37457.9887926479,44866.900363260414,15505.239160305186,37436.39775852958,44844.58007265208,quick,170,0,20260974,balanced,quick10,0.35,5,120.0,150.0,47645,9529,1686,9.91764705882353,0.34465520799858496,,,,,0.0,41.0,0.0,0.0,2.541848582988142e-07,1481.0,11780.432352941176,23628.65,24764.749999999996,27155.75,0.006260184307190927,11782.69846723409,263393.25,0.031037656357511878,-31.58651422710692,-58.41362075277257,-61.67455758689267,-65.11788479419644,-31.721563343194365,68.37855563876447,-798.9197811535753,-39.4372086799438
