policy,mean_program_ct,p90_program_ct,makespan,throughput,mean_e2e10,mean_program_impr,p90_program_impr,makespan_impr,throughput_impr,recompute_service,recompute_impr,mean_active,mean_requests_per_program,preempt_events,preempted_request_ratio,deleted_from_memory_ratio,evictions,memory_violations,decision_wall_sec,mean_decision_ms,runtime_sec,composite,rank_mean_ct,rank_e2e10
bayes_dual_price,6405.769224877451,13914.925000000003,19285.0,0.021156414418003356,6550.089136292142,47.526352820234635,40.79469003940942,30.270624620767478,43.60563346391396,172009.625,73.7244549046541,47.73860315482987,10.152979473039215,2090.0,0.11968115809096183,0.19411706072024013,529.75,0,2.124086220523168,0.5924717703122346,2.2797822395004914,41.52950507516154,1.0,1.0
dual_descent_current,6865.404963235294,14807.150000000001,20381.75,0.020058335648717736,6890.930806179746,43.7514760023386,37.02378371297156,26.34955223367305,35.88851602552899,231619.25,64.0886993780521,48.21721271946346,10.152979473039215,670.5,0.1237464061522622,0.5298378664479033,769.75,0,0.37120016881090123,0.10308176107598419,0.5306268435015227,37.71907198783045,2.0,2.0
lp_dual_descent,7232.524576822917,15898.7,21946.6875,0.018896379781366227,7302.141353095582,40.785429380483876,32.48070158367377,20.710992944566733,26.47563833039412,282980.3125,56.67113479100504,47.82923603316155,10.152979473039215,34.25,0.008089710800760147,0.9629160115984214,880.0,0,1.0221077938913368,0.28710160386228706,1.1990052707551513,33.690638322302064,3.0,3.0
mpc_short,7323.243759574142,16238.375,21923.375,0.018831587980692534,7751.160480682594,40.02487256273429,31.021640802798764,20.8143538926492,26.456997064257248,308241.875,51.962687239414706,48.81145953566306,10.152979473039215,0.0,0.0,1.0,937.75,0,6.561020311666653,1.8628586294031504,6.754828864752199,32.971434955229135,4.0,4.0
lp_update_long,7765.866423483456,17196.125,23079.3125,0.017873089758893644,8505.039461735469,36.39033711282706,26.973285323365968,16.549306716367184,20.18206280883418,337106.0,47.53840840689747,47.63339452796487,10.152979473039215,0.0,0.0,1.0,997.75,0,10.958509139876696,3.0391696619506887,11.154542562500865,29.07581656634682,5.0,5.0
bayes_grade_warm_marginal,8822.99375,19610.625,25904.5,0.015769153901692694,8862.672480315414,27.736566396532652,16.691494203598065,6.306287707267925,6.933764993585623,475905.9375,26.485843758704434,47.47074182550539,10.152979473039215,165.0,0.04316440820370626,0.8730360189493156,1267.5,0,0.5747300602815812,0.15537381924659183,0.7628081147486228,19.617728675982825,6.0,6.0
lp_selective,9450.610255821079,21317.412500000002,27369.25,0.018146528010120004,9525.915626027318,22.108115778816757,9.651169746564932,0.8272367444080198,12.387118781174006,186168.75,70.95339053985022,41.55190876899655,10.152979473039215,1.25,0.0002901484887500833,0.9981668868293487,646.0,0,1.1153526205307571,0.3182733539956889,1.2871423434844473,13.673659512151616,7.0,7.0
current_density,9641.802941176471,21663.9,27750.125,0.014752179023611423,9666.694498776818,21.0010537630291,7.824723582707546,-0.3728020865908528,-0.14259609887879998,555554.4375,13.993297966011049,47.33871888515446,10.152979473039215,172.0,0.04499118935753418,0.8839338856469785,1443.0,0,0.361475434336171,0.09675070083406051,0.555098239252402,12.363507255543723,8.0,8.0
area_knapsack,9919.01943359375,21899.868750000005,28326.0625,0.014743931583135118,9970.712295828625,18.83747473397041,6.939829326027107,-2.200237652924467,-1.9287735191341304,579096.5,9.28392259618731,48.043610768391865,10.152979473039215,152.0,0.0401370901799099,0.9018643899359263,1549.75,0,0.7601103546039667,0.20846480619696486,0.9622771142385318,10.603635285260866,9.0,9.0
bayes_grade,10019.816754748774,21767.850000000002,27756.625,0.014634106775748916,10064.229811098528,17.969678808282005,7.435744014680663,-0.3412274249157597,-0.20085794642061572,598012.5625,8.38295916418123,48.458953778106604,10.152979473039215,217.75,0.054751130202166196,0.8751900028930147,1700.5,0,0.631214830216777,0.16590337803560395,0.8387988125105039,10.75846855158223,10.0,10.0
commit_many,12220.25463771446,23565.975,27716.6875,0.014756774825254133,12232.490035792813,0.0,0.0,0.0,0.0,651106.1875,0.0,50.75177315098483,10.152979473039215,1097.25,0.27052190576593443,0.6433810438030003,2037.5,0,0.17461417256708955,0.04439661603638077,0.3925532187568024,0.0,11.0,11.0
least_rounds,16524.043181295954,39850.787500000006,50485.625,0.00816138366020264,16554.33618482394,-35.186838804428064,-69.27432228941778,-82.09616698589025,-45.066797783855186,1355431.4375,-107.96468064076853,42.30843165615319,10.152979473039215,175.5,0.0444926900912027,0.9354967107065747,2843.5,0,0.4324467173937592,0.1063188520792844,0.6971151457473752,-55.436041721041036,12.0,12.0
mu_two_price,22284.519829963236,50924.5375,75101.375,0.005534467717882576,22573.259519416264,-82.18727690559633,-111.44313814201952,-171.552349534914,-61.63949272665062,63694.875,90.54243014638743,11.010778380940552,10.152979473039215,3255.5,0.0780603003238726,0.09690625562340029,364.75,0,4.286763927266293,1.1527802227859296,4.476462812257523,-111.84251037203154,13.0,13.0
lp_infrequent,379514.67386833637,519831.7125,525720.1875,0.0007476755963929491,379636.54325204564,-3022.5316237526686,-2148.737944114477,-1819.3041812182169,-93.61295723773851,352195.375,45.225497959763835,2.029509733690542,10.152979473039215,3.5,0.0007197365277197422,0.9970493026880161,1283.0,0,1.653885807696497,0.38733843167714554,2.5506569999997737,-2503.2763432095076,14.0,14.0
lp_solve_once,439401.8638537837,798558.2875000001,889421.3125,0.00045193636039188463,439498.62870930234,-3519.9260678985634,-3368.691032133739,-3156.928076516364,-96.0166863838573,290169.5,55.81119459536975,1.1499394378141177,10.152979473039215,0.0,0.0,1.0,876.25,0,1.4275055108373635,0.3339336175053682,2.483726593738538,-3391.3678111118074,15.0,15.0
dual_threshold,495776.0551106771,859026.6937500001,949599.5625,0.0004242225317886403,495909.88157939614,-3984.944493240115,-3631.714840653672,-3377.7219429792003,-96.24979646707996,325735.4375,50.43303326494491,1.1162494344029412,10.152979473039215,0.0,0.0,1.0,1157.75,0,1.900493192995782,0.43435114335042874,3.0284629582602065,-3744.8314425282756,16.0,16.0
