policy,mean_program_ct,p90_program_ct,makespan,throughput,mean_e2e10,mean_program_impr,p90_program_impr,makespan_impr,throughput_impr,recompute_service,recompute_impr,preempt_events,preempted_request_ratio,deleted_from_memory_ratio,evictions,memory_violations,decision_wall_sec,mean_decision_ms,runtime_sec,composite,rank_mean_ct,rank_e2e10
lp_update_long,13673.458333333334,32446.300000000003,41700.25,0.0004316520884167361,13686.480041568233,35.75743773393819,19.257783678258455,7.793299023211848,8.451987697915486,34754.75,40.86210417056611,0.0,0.0,1.0,56.0,0,0.23781229730229825,0.5960207952438552,0.2586607080011163,24.641489542336668,1.0,1.0
mpc_short,13995.375,36468.475000000006,43458.5,0.0004141882485589701,14008.601603904655,34.24496364006536,9.248650928641364,3.9054942260598455,4.064222188984901,33400.75,43.166039919004916,0.0,0.0,1.0,52.0,0,0.23596425325376913,0.5899106331344228,0.2565481250057928,20.41101810870798,2.0,2.0
lp_dual_descent,14615.416666666666,38624.975000000006,45193.5,0.0003982873643333665,14616.95607030014,31.331796801996273,3.8822273457417547,0.06909933167126407,0.06914711186343236,19876.0,66.17944834861918,10.0,0.022332506203473945,0.7727272727272727,34.0,0,0.02706516403122805,0.06800292470157801,0.046947875001933426,16.653730070351394,3.0,3.0
dual_descent_current,15217.138888888889,35635.925,43383.75,0.00041490189298988675,15217.332202585834,28.50470095063088,11.320441308397028,4.0707798274175095,4.243524361079909,30361.0,48.338409705797275,40.0,0.08933002481389578,0.5,40.0,0,0.002907462709117681,0.007305182686225329,0.02183599999989383,18.100155759269075,4.0,4.0
bayes_grade_warm_marginal,16976.541666666668,38120.8,45784.0,0.00039315044557050496,16977.17292209339,20.23842772647305,5.13686059865547,-1.2366016395889419,-1.2214965926961363,46863.0,20.258980074529088,19.0,0.04714640198511166,0.7865168539325843,70.0,0,0.00972516997717321,0.024312924942933023,0.030197583022527397,11.094278603003156,5.0,5.0
bayes_dual_price,17409.333333333332,40570.725,48082.25,0.0003743585210758648,17410.06433732679,18.205025136121364,-0.9597474682748823,-6.318442888020387,-5.942941522079348,11707.75,80.07835763752999,123.0,0.05707196029776675,0.11510791366906475,16.0,0,0.011864913889439777,0.02981134143075321,0.03151845801039599,7.282964978986865,6.0,6.0
lp_infrequent,18178.430555555555,38460.325000000004,47896.5,0.0003758103410478845,18180.15760374615,14.591544553318332,4.2919568346934955,-5.907716460566394,-5.578173770526018,31870.5,45.769878677534074,1.0,0.0024813895781637717,0.9827586206896551,57.0,0,0.030989334802143276,0.07805877783915183,0.05179945798590779,6.891832370190941,7.0,7.0
mu_two_price,18259.819444444445,40575.15,53650.5,0.0003355047949226941,18261.03327944219,14.209151845142687,-0.9707590260557061,-18.630838202532907,-15.704886254554939,9356.25,84.07961680477803,192.0,0.04466501240694789,0.09004739336492891,19.0,0,0.020710250333650038,0.052166877414735614,0.04361933300970122,2.20417661542419,8.0,8.0
bayes_grade,18959.930555555555,42115.425,50411.75,0.0003570596140780671,18960.57509748058,10.919791498091948,-4.8037143166426315,-11.469383468123096,-10.289267879016295,61172.0,-4.0888904014021,19.0,0.04714640198511166,0.8303571428571429,93.0,0,0.0100606722116936,0.02521471732254035,0.03223029102082364,1.3916213028545426,9.0,9.0
current_density,19338.194444444445,42738.3,49979.0,0.0003601512635306829,19338.316451847073,9.142578971272247,-6.3537310517219705,-10.512495923139431,-9.51249524800415,50363.0,14.303459306777382,21.0,0.052109181141439205,0.7613636363636364,67.0,0,0.0018470797804184258,0.0046176994510460645,0.02153562498278916,0.3547327419207731,10.0,10.0
area_knapsack,20450.541666666668,43676.5,52056.25,0.0003457798054988594,20452.19078851076,3.9163930318390743,-8.688430150018469,-15.105666697991698,-13.123304118141432,72331.0,-23.07679218635675,18.0,0.04218362282878412,0.8656716417910447,116.0,0,0.026327033003326505,0.06581758250831626,0.04948037498979829,-3.9903276960830043,11.0,11.0
lp_solve_once,21252.277777777777,49025.875,57132.75,0.0003150557254814445,21253.823648200887,0.14956383739565202,-22.00028368759028,-26.330714929325204,-20.842686550183565,31839.5,45.82262757576273,4.0,0.009925558312655087,0.9272727272727272,51.0,0,0.026182173111010343,0.06512978385823469,0.05005104199517518,-12.007967735531045,12.0,12.0
commit_many,21284.11111111111,40185.05,45224.75,0.00039801215042648106,21284.18512598704,0.0,0.0,0.0,0.0,58769.0,0.0,83.0,0.19851116625310175,0.5513513513513514,102.0,0,0.0010747882479336113,0.002707275183711867,0.023299458000110462,0.0,13.0,13.0
dual_threshold,21512.11111111111,50527.525,58839.25,0.00030591824334946484,21513.73468710117,-1.0712216207186374,-25.737121143310755,-30.104091233229592,-23.13846624489605,17693.5,69.89314094165292,3.0,0.007444168734491315,0.9090909090909091,30.0,0,0.027916363294934854,0.07014161631893179,0.04960112500702962,-14.495913904494405,14.0,14.0
lp_selective,22095.680555555555,50657.75,57705.5,0.0003119286723102651,22098.70258195521,-3.813029542120626,-26.061184445459187,-27.59716748019613,-21.628354316312993,25789.25,56.11759601150266,7.0,0.017369727047146403,0.8541666666666666,41.0,0,0.04840633913408965,0.1213191456994728,0.07099137498880737,-15.321102752474143,15.0,15.0
least_rounds,73738.94444444444,216855.4,223221.0,8.06375744217614e-05,73739.05218676319,-246.4506648151725,-439.64198128408435,-393.58150127971965,-79.7399214231636,286661.0,-387.7758682298491,23.0,0.05459057071960298,0.9138576779026217,244.0,0,0.0016947148251347244,0.004247405576778758,0.0265106669976376,-331.53120304853724,16.0,16.0
