policy,mean_program_ct,p50_program_ct,p90_program_ct,p95_program_ct,makespan,program_throughput,mean_request_ct,completed_programs,completed_requests,warm_admits,cold_admits,recompute_service,preempt_events,preempted_requests_unique,preempted_request_ratio,memory_keep_events,memory_delete_events,evictions,deleted_from_memory_ratio,memory_violations,decision_wall_sec,decision_cpu_sec,decision_calls,mean_decision_ms,p95_decision_ms,memory_utilization,mean_active,mean_program_ct_e2e_1ms,p90_program_ct_e2e_1ms,makespan_e2e_1ms,mean_program_ct_e2e_10ms,p90_program_ct_e2e_10ms,makespan_e2e_10ms,mean_program_ct_e2e_50ms,p90_program_ct_e2e_50ms,makespan_e2e_50ms,preset,n,rep,seed,profile,prior_mix,token_cv,memory_factor,p_mean,d_mean,M,qmax_obs,total_requests_instance,runtime_sec,lambda_current_last,dual_updates,lambda_projected_last,lambda_present_last,lambda_future_last,lp_resolves,lp_failures,lambda_peak_last,lambda_mean,selective_skips
commit_many,21284.11111111111,20938.75,40185.05,42064.66249999999,45224.75,0.00039801215042648106,15774.76923076923,18,403,301,102,58769.0,83,80,0.19851116625310175,83,102,102,0.5513513513513514,0,0.0010747882479336113,0.0030140000000006273,397,0.002707275183711867,0.004050193820148706,0.9114878719902274,2.8683519532999076,21284.85125987039,40186.09145348596,45225.82478824793,21284.18512598704,40185.1541453486,45224.85747882479,21284.125914086297,40185.07082906972,45224.77149576496,smoke,18,0,20260974,balanced,mixed_long_heavy,0.35,1,120.0,150.0,14050,14050,403,0.023299458000110462,,,,,,,,,,
least_rounds,73738.94444444444,28823.125,216855.4,219473.5625,223221.0,8.06375744217614e-05,43800.748759305214,18,403,159,244,286661.0,23,22,0.05459057071960298,23,244,244,0.9138576779026217,0,0.0016947148251347244,0.0016820000000002944,399,0.004247405576778758,0.0059210869949311,0.7260603829079526,1.6019796524520542,73740.02186763192,216857.06491022682,223222.69471482513,73739.05218676319,216855.56649102268,223221.1694714825,73738.96599290818,216855.43329820453,223221.0338942965,smoke,18,0,20260974,balanced,mixed_long_heavy,0.35,1,120.0,150.0,14050,14050,403,0.0265106669976376,,,,,,,,,,
bayes_grade,18959.930555555555,13729.875,42115.425,45402.06249999999,50411.75,0.0003570596140780671,14862.253722084368,18,403,310,93,61172.0,19,19,0.04714640198511166,19,93,93,0.8303571428571429,0,0.0100606722116936,0.010054000000000007,399,0.02521471732254035,0.04458721959963441,0.805946209477409,2.6208473223008526,18966.37597480582,42125.112511590894,50421.81067221169,18960.57509748058,42116.39375115909,50412.75606722117,18960.05946394056,42115.61875023182,50411.951213444234,smoke,18,0,20260974,balanced,mixed_long_heavy,0.35,1,120.0,150.0,14050,14050,403,0.03223029102082364,,,,,,,,,,
bayes_grade_warm_marginal,16976.541666666668,13194.125,38120.8,43019.37499999999,45784.0,0.00039315044557050496,12940.516129032258,18,403,333,70,46863.0,19,19,0.04714640198511166,19,70,70,0.7865168539325843,0,0.00972516997717321,0.009704999999999298,400,0.024312924942933023,0.04462914075702428,0.7854689127439196,2.5734099248645816,16982.85422093389,38130.19931324101,45793.72516997717,16977.17292209339,38121.739931324104,45784.97251699772,16976.667917752013,38120.98798626482,45784.19450339954,smoke,18,0,20260974,balanced,mixed_long_heavy,0.35,1,120.0,150.0,14050,14050,403,0.030197583022527397,,,,,,,,,,
current_density,19338.194444444445,16708.375,42738.3,45105.73749999999,49979.0,0.0003601512635306829,13484.444789081886,18,403,336,67,50363.0,21,21,0.052109181141439205,21,67,67,0.7613636363636364,0,0.0018470797804184258,0.0018519999999995207,400,0.0046176994510460645,0.0066270426032133374,0.7783991009319999,2.427464535104744,19339.414518470745,42740.11248901645,49980.84707978042,19338.316451847073,42738.48124890165,49979.18470797804,19338.21884592497,42738.33624978033,49979.03694159561,smoke,18,0,20260974,balanced,mixed_long_heavy,0.35,1,120.0,150.0,14050,14050,403,0.02153562498278916,,,,,,,,,,
dual_descent_current,15217.138888888889,12049.375,35635.925,39341.57499999999,43383.75,0.00041490189298988675,11513.407568238214,18,403,363,40,30361.0,40,36,0.08933002481389578,40,40,40,0.5,0,0.002907462709117681,0.002901999999998739,398,0.007305182686225329,0.010340135486330837,0.7935211601093322,2.335563431008154,15219.072025858344,35638.75244250726,43386.65746270912,15217.332202585834,35636.20774425073,43384.04074627091,15217.177551628278,35635.98154885015,43383.80814925418,smoke,18,0,20260974,balanced,mixed_long_heavy,0.35,1,120.0,150.0,14050,14050,403,0.02183599999989383,0.0,398.0,,,,,,,,
bayes_dual_price,17409.333333333332,16982.25,40570.725,43448.68749999999,48082.25,0.0003743585210758648,15032.05334987593,18,403,387,16,11707.75,123,23,0.05707196029776675,123,16,16,0.11510791366906475,0,0.011864913889439777,0.0118780000000005,398,0.02981134143075321,0.05271429690765217,0.6459021073561135,1.7191635166823516,17416.643373267892,40582.445259004504,48094.11491388944,17410.06433732679,40571.89702590045,48083.436491388944,17409.479534132024,40570.95940518009,48082.48729827779,smoke,18,0,20260974,balanced,mixed_long_heavy,0.35,1,120.0,150.0,14050,14050,403,0.03151845801039599,,398.0,3.980125081625219e-12,,,,,,,
mu_two_price,18259.819444444445,12344.0,40575.15,46477.13749999999,53650.5,0.0003355047949226941,19438.3976426799,18,403,384,19,9356.25,192,18,0.04466501240694789,192,19,19,0.09004739336492891,0,0.020710250333650038,0.02067100000000066,397,0.052166877414735614,0.0939663965255022,0.5257698035801174,1.4962721689453033,18271.957794421895,40594.906706009504,53671.21025033365,18261.03327944219,40577.12567060095,53652.571025033365,18260.062211443994,40575.54513412019,53650.91420500667,smoke,18,0,20260974,balanced,mixed_long_heavy,0.35,1,120.0,150.0,14050,14050,403,0.04361933300970122,,397.0,,0.0,7.379326781975518e-08,,,,,
area_knapsack,20450.541666666668,14362.625,43676.5,47234.62499999999,52056.25,0.0003457798054988594,15864.972084367246,18,403,287,116,72331.0,18,17,0.04218362282878412,18,116,116,0.8656716417910447,0,0.026327033003326505,0.026272000000001405,400,0.06581758250831626,0.09213540324708445,0.8199878320783747,2.7524408692520113,20467.0328851076,43701.58111906354,52082.57703300333,20452.19078851076,43679.008111906354,52058.88270330033,20450.871491035487,43677.00162238127,52056.77654066007,smoke,18,0,20260974,balanced,mixed_long_heavy,0.35,1,120.0,150.0,14050,14050,403,0.04948037498979829,,,,,,,,,,
lp_update_long,13673.458333333334,9099.125,32446.300000000003,36554.13749999999,41700.25,0.0004316520884167361,12388.163151364764,18,403,342,61,34754.75,0,0,0.0,0,56,56,1.0,0,0.23781229730229825,0.23739899999999836,399,0.5960207952438552,0.6849622091976925,0.7744145610808507,2.5351166959430698,13803.675415682323,32666.20792480356,41938.0622973023,13686.480041568233,32468.29079248036,41724.03122973023,13676.062674980312,32450.698158496074,41705.006245946046,smoke,18,0,20260974,balanced,mixed_long_heavy,0.35,1,120.0,150.0,14050,14050,403,0.2586607080011163,,,,,2.734039567039615e-08,399.0,0.0,0.0,4.215914465309188e-08,
