scenario,seed,policy,t_s,kv_perc,running,waiting,router_ready,tool,prefill,decode,completed_programs,completed_requests,prefill_tps,decode_tps,prefix_hit_cum,preemptions
coder80_calibration_r0,20260826,fcfs,0.5,3.1355223880597016,19.0,61.0,0.0,0.0,18.0,1.0,0.0,0.0,41636.506521672745,0.0,0.0,0.0
coder80_calibration_r0,20260826,fcfs,1.0,5.960597014925373,26.0,54.0,0.0,0.0,17.0,9.0,0.0,0.0,37446.206553275006,375.0458128958613,0.0,0.0
coder80_calibration_r0,20260826,fcfs,1.5,8.308059701492537,31.0,48.0,0.0,1.0,16.0,15.0,0.0,1.0,35595.7040038963,466.62758274359595,0.0,0.0
coder80_calibration_r0,20260826,fcfs,2.0,11.05910447761194,39.0,40.0,0.0,1.0,19.0,20.0,0.0,1.0,36255.01988048399,527.6499442921794,0.0,0.0
coder80_calibration_r0,20260826,fcfs,2.5,13.566567164179105,44.0,33.0,0.0,3.0,16.0,28.0,0.0,3.0,39168.45957818249,571.9552605784957,0.0,0.0
coder80_calibration_r0,20260826,fcfs,3.0,16.243582089552238,43.0,33.0,3.0,1.0,10.0,33.0,0.0,4.0,40925.184271599195,596.981814400134,0.0,0.0
coder80_calibration_r0,20260826,fcfs,3.543369689129799,17.330149253731342,47.0,29.0,3.0,1.0,7.0,40.0,0.0,7.0,30946.015260555832,618.7795147633827,0.0,0.0
coder80_calibration_r0,20260826,fcfs,4.108437811218091,19.720597014925374,59.0,16.0,4.0,1.0,14.0,45.0,0.0,8.0,33537.72371780469,645.1232376021106,0.0,0.0
coder80_calibration_r0,20260826,fcfs,4.608437811218091,21.6955223880597,63.0,10.0,4.0,3.0,14.0,49.0,0.0,10.0,35764.704484008544,645.5528388723828,0.0,0.0
coder80_calibration_r0,20260826,fcfs,5.144236149751203,24.145671641791044,66.0,6.0,7.0,1.0,11.0,55.0,0.0,11.0,35780.732489556256,668.0550924807808,0.0,0.0
coder80_calibration_r0,20260826,fcfs,5.644236149751203,27.27402985074627,71.0,0.0,7.0,2.0,10.0,61.0,0.0,12.0,32814.967515534954,673.4775609611897,2.6226383459376463,0.0
coder80_calibration_r0,20260826,fcfs,6.0,28.219701492537315,69.0,0.0,7.0,4.0,6.0,63.0,0.0,14.0,30361.495292702064,673.018771810677,2.6226383459376463,0.0
coder80_calibration_r0,20260826,fcfs,6.650400329568655,31.596417910447762,73.0,0.0,6.0,1.0,1.0,72.0,0.0,17.0,15070.893970685243,690.4722992874374,10.462209394025425,0.0
coder80_calibration_r0,20260826,fcfs,7.201974275505566,29.3444776119403,67.0,0.0,9.0,4.0,0.0,67.0,0.0,23.0,3137.3933933580925,749.688675224679,10.462209394025425,0.0
