policy,mean_program_ct,p50_program_ct,p90_program_ct,p95_program_ct,makespan,programs_per_hour,steps_per_min,mean_request_ct,mean_queue_s,p95_queue_s,cache_hit_prefix_ratio,warm_admits,cold_admits,prefill_tokens,cold_recompute_tokens,decode_tokens,cache_evictions,evicted_prefix_tokens,emergency_evictions,reserve_expansions,decode_stall_s,memory_violations,physical_kv_util,reserved_kv_util,idle_cache_fraction,mean_active,mean_decode_batch,mean_prefill_batch,gpu_busy_fraction,decision_calls,mean_decision_ms,p95_decision_ms,decode_reserve,factor,value,rep,scenario,seed,runtime_s,total_requests,bdp_lambda_last,bdp_updates,knapsack_calls,mean_knapsack_ms
thunder,658.5092041663164,640.0262495123626,1097.4098708901224,1246.271255718394,1623.2953494976089,141.93350585973536,27.093036404996354,515.0761580509836,38.546889777030025,125.9232881342198,0.7573707849266772,464.0,269.0,495859.0000000001,408023.0,109302.99999999991,205.0,408023.0,0.0,202.0,0.0,0.0,0.7491778026552298,0.7841033375675952,0.5535438694889754,3.986764127386753,3.70361568949298,0.28314843789377536,0.8966023865105036,378.0,0.3883404365056276,0.8691648000421992,386.0,decode_batch_sat,8.0,0,decode_batch_sat_8.0_r0,20268720,0.6895623170000817,733.0,,,,
student_bdp,357.85400238213026,323.2583969544978,688.4194150439818,780.0794905084422,1115.2684376361021,206.58703521490364,39.43445229492822,284.14083619770474,8.105998425387474,53.59256076027192,0.7779508858143052,453.0,280.0,461249.9999999997,373414.0,109302.99999999907,216.0,373414.0,0.0,219.0,0.0,0.0,0.7001050594985713,0.7714657557402758,0.31877366485832387,8.556627079238318,8.027824708378336,0.5288023708599872,0.8514542362244936,238.0,0.28762012184205477,0.8160729000337595,386.0,decode_batch_sat,8.0,0,decode_batch_sat_8.0_r0,20268720,0.4452065319999292,733.0,0.0,178.0,,
hazard_grade_knapsack,351.2454611201781,315.0569115993894,634.2813572058814,750.203798151398,1087.0731926825742,211.94525037586578,40.45725742851813,274.7286774432989,6.349644571185781,33.26838757099309,0.6620817483541688,362.0,371.0,656104.0000000001,568268.0,109303.0000000005,307.0,568268.0,1.0,219.0,1.5,0.0,0.6895374853744085,0.7758741502789349,0.26988189819154096,9.57377747746628,8.844034407135299,0.729743070330982,0.8560438674411762,232.0,0.35177203880195895,0.9597121999831868,386.0,decode_batch_sat,8.0,0,decode_batch_sat_8.0_r0,20268720,0.4535545170001569,733.0,,,232.0,0.0578672974270454
thunder,609.6317432149883,623.503960260732,1063.9063822115372,1112.860486161137,1238.4805565887373,186.03441028950203,33.573397481933576,450.0966273502966,35.53421493893249,123.7419691988923,0.659810694525922,426.0,267.0,513571.00000000006,430283.0,104044.00000000009,203.0,430283.0,0.0,205.0,0.0,0.0,0.7800769005624242,0.8271798519546358,0.5822023007287824,5.425769850094215,5.063463666446997,0.36230618364722017,0.9454842657619356,296.0,0.4604646554000553,0.8192899999812653,386.0,decode_batch_sat,8.0,1,decode_batch_sat_8.0_r1,20268721,0.592329884000037,693.0,,,,
student_bdp,337.5723414016212,307.7404270699608,589.152692424115,646.4622000895016,1079.5325886637747,213.42570147436197,38.516669562951265,259.01141478957055,6.265784559965793,34.70694489475923,0.6635835216320877,395.0,298.0,508799.0000000003,425511.0,104043.99999999824,234.0,425511.0,1.0,220.0,0.44838624031320085,0.0,0.49404031735864073,0.570118272860939,0.16627092697254556,8.884336703820084,8.291494614051967,0.5928420897681217,0.7146312876733452,231.0,0.30739400865681077,0.8414770001081706,386.0,decode_batch_sat,8.0,1,decode_batch_sat_8.0_r1,20268721,0.46162942699993437,693.0,0.0,151.0,,
hazard_grade_knapsack,340.585337643496,339.1232203715845,589.7407523260869,640.2985641176296,1089.4678846450165,211.4793866320086,38.1654205562453,256.92413281258075,5.892742807645033,31.18132779577546,0.5516281187887107,343.0,350.0,650404.0000000016,567116.0,104043.99999999939,286.0,567116.0,0.0,220.0,0.0,0.0,0.4698252281637446,0.5546652124720838,0.1273406223597178,9.217601395883133,8.489753147046535,0.7278482488365942,0.6929069524032762,233.0,0.35632675537248587,1.0161305999645263,386.0,decode_batch_sat,8.0,1,decode_batch_sat_8.0_r1,20268721,0.4741415489997962,693.0,,,233.0,0.052892562236335594
thunder,586.2801821296921,606.864442574546,925.6511466814668,996.2253478002746,1221.4785571706307,188.6238597046571,31.240826763583833,391.9160059376357,39.67493363016865,122.83568581534065,0.6453889922154601,378.0,258.0,423681.0000000001,347389.0,93279.99999999955,194.0,347389.0,0.0,144.0,0.0,0.0,0.704308548938965,0.7456089383391565,0.5508241862519027,4.842282577917588,4.518889692580041,0.32339288533754634,0.865316056242471,281.0,0.4623294946571367,0.8922550000534102,386.0,decode_batch_sat,8.0,2,decode_batch_sat_8.0_r2,20268722,0.5694063710000137,636.0,,,,
student_bdp,321.98894891020143,317.3362629898909,508.509252379731,596.2052842990647,862.2021521935332,267.22271501391884,44.25876217418031,222.97945795579597,8.922669450607028,62.25751380121544,0.711204388577775,392.0,244.0,359206.00000000006,282914.0,93280.00000000176,180.0,282914.0,1.0,157.0,0.0,0.0,0.5765143050063347,0.6572672938871043,0.24925485941773506,9.926379106184326,9.344323778936953,0.5820553272473601,0.7401970238368758,183.0,0.3437362786880939,0.8351419999598876,386.0,decode_batch_sat,8.0,2,decode_batch_sat_8.0_r2,20268722,0.37801214999990407,636.0,0.0,128.0,,
hazard_grade_knapsack,310.0062962738151,299.18773866847977,488.35139285024366,590.6976591062512,822.5157323578526,280.1162226277754,46.39424937272531,213.9268046589074,6.368928407198523,32.65241614785542,0.5052897306545098,306.0,330.0,560926.9999999993,484635.0,93279.99999999975,266.0,484635.0,0.0,159.0,0.0,0.0,0.5642900843934278,0.6663892985635218,0.18230364735548965,11.447604700190189,10.59567897692009,0.8519257232700884,0.7566886520860495,179.0,0.46919667598004766,1.3400334000834844,386.0,decode_batch_sat,8.0,2,decode_batch_sat_8.0_r2,20268722,0.4357683220000581,636.0,,,179.0,0.07784405585865206
thunder,444.69452989633584,455.65296492698656,759.727183089224,909.094030108087,1114.267267944657,206.77265376823706,33.00823873956492,338.83845209583825,29.201341050432166,94.25783686507832,0.7606221252403553,393.0,220.0,334507.99999999994,261308.0,94972.00000000035,156.0,261308.0,0.0,238.0,0.0,0.0,0.7022725561391611,0.7347036829486583,0.540979753750635,3.8949772784120182,3.5803124738023513,0.3146648046096653,0.877554775495786,258.0,0.41153705426354426,0.8486543000572054,386.0,decode_batch_sat,16.0,0,decode_batch_sat_16.0_r0,20376720,0.5332675059999019,613.0,,,,
