factor,value,policy,mean_program_ct,mean_impr_vs_bdp,p90_impr_vs_bdp,steps_impr_vs_bdp,cache_hit,decision_ms
control_interval_s,1.0,hazard_grade_knapsack,243.16280758185988,1.9145059780301252,4.725533743754347,0.7754639985471767,0.4333486160970599,0.373323707280698
control_interval_s,1.0,student_bdp,248.8641099239541,0.0,0.0,0.0,0.5511981464440605,0.3251924812881988
control_interval_s,1.0,thunder,537.7556106132873,-113.21769780265299,-107.06978708073935,-35.15302752243185,0.6983741081816781,0.4301492795107915
control_interval_s,5.0,hazard_grade_knapsack,201.97938970130812,1.969146077605977,1.2270033629117219,3.4990297137618143,0.6874288265333871,0.389140239099745
control_interval_s,5.0,student_bdp,205.87033505803416,0.0,0.0,0.0,0.7447948923303196,0.2877689074759513
control_interval_s,5.0,thunder,407.0332820861275,-98.08957095772007,-86.23818935475423,-31.42193812028466,0.755467035085621,0.38220059557103064
control_interval_s,10.0,hazard_grade_knapsack,266.7143850286531,18.18960669455865,13.747792128652064,21.084223340437134,0.660790915118681,0.4891650460191994
control_interval_s,10.0,student_bdp,326.7112121577124,0.0,0.0,0.0,0.8576092329744934,0.36956537004934326
control_interval_s,10.0,thunder,575.2159320246456,-75.80015216961657,-69.44291382215268,-27.412959310533918,0.6886174007604483,0.4647359984312485
decode_batch_sat,8.0,hazard_grade_knapsack,333.9456983458297,1.5585381548516954,3.9094679551172553,2.168916082892758,0.572999865932463,0.3924318233848308
decode_batch_sat,8.0,student_bdp,339.1384308979843,0.0,0.0,0.0,0.7175795986747225,0.3129168030623198
decode_batch_sat,8.0,thunder,618.1403765036656,-82.22997372364885,-74.00827807111791,-24.51445809589512,0.6875234905560198,0.4370448621876066
decode_batch_sat,16.0,hazard_grade_knapsack,240.7417209833457,2.7907383385456455,1.1363859045432567,1.6702980458474774,0.6342714579578004,0.4431303328752732
decode_batch_sat,16.0,student_bdp,247.87542064515242,0.0,0.0,0.0,0.6695281726848462,0.3453945712083086
decode_batch_sat,16.0,thunder,522.4821586430404,-110.40144209709706,-88.24676770245333,-37.687854142291926,0.7043618736379402,0.4322263266310313
decode_batch_sat,32.0,hazard_grade_knapsack,193.21327695239947,2.125160873435419,0.8547537935993382,-0.256138959188712,0.7786704271630979,0.3512635359140375
decode_batch_sat,32.0,student_bdp,197.33754865326492,0.0,0.0,0.0,0.7774172927608173,0.2637566194592044
decode_batch_sat,32.0,thunder,417.77523844599926,-112.3260669034723,-90.75314897451284,-26.360577670104693,0.7723788821305865,0.3836216989039029
