t_s,ready,causal_admit_count,oracle_admit_count,action_jaccard,causal_actual_remaining_decode,oracle_actual_remaining_decode,causal_observed_decode_per_turn,oracle_observed_decode_per_turn,causal_stage,oracle_stage,causal_estimated_remaining_work,oracle_estimated_remaining_work,causal_expected_footprint,oracle_expected_footprint,causal_pids,oracle_pids,policy
0.0,80,42,48,0.2857142857142857,8919.07142857143,2967.8333333333335,0.0,0.0,1.0,1.0,5220.63,5243.488125,15753.5,16515.4375,"1,2,4,6,7,9,10,11,12,13,14,18,21,22,29,30,32,35,36,38,40,41,44,45,46,47,48,50,51,52,54,56,60,64,66,68,69,71,73,77,78,79","0,1,3,4,5,7,8,9,11,13,14,15,16,17,18,19,20,21,24,25,26,27,28,31,33,35,37,38,39,41,48,49,53,54,55,56,61,62,63,64,65,68,71,74,75,76,77,78",bdp
3.0,39,34,37,0.8205128205128205,4187.911764705882,3729.675675675676,0.029411764705882353,0.02702702702702703,1.0294117647058822,1.027027027027027,5223.057545066913,5233.648554926352,16950.066719014874,17212.6423904461,"0,3,4,8,15,16,17,20,23,24,25,26,27,31,33,34,37,39,42,43,49,53,55,58,59,61,62,63,65,67,70,72,74,75","0,3,4,5,8,15,16,17,19,20,24,25,26,27,28,31,33,34,37,39,42,43,49,53,55,57,58,59,61,62,63,65,70,72,74,75,76",bdp
6.0,17,17,17,1.0,7532.588235294118,7532.588235294118,28.88235294117647,28.88235294117647,1.7058823529411764,1.7058823529411764,4571.556588038346,4571.556588038346,16123.384377714414,16123.384377714414,"2,5,11,13,19,28,29,32,38,41,45,57,60,64,71,76,79","2,5,11,13,19,28,29,32,38,41,45,57,60,64,71,76,79",bdp
9.0,13,13,13,1.0,7582.615384615385,7582.615384615385,49.65384615384615,49.65384615384615,2.1538461538461537,2.1538461538461537,4257.222026065261,4257.222026065261,16664.838619815648,16664.838619815648,"1,2,6,10,16,17,24,31,33,38,61,67,69","1,2,6,10,16,17,24,31,33,38,61,67,69",bdp
12.0,16,16,16,1.0,4304.25,4304.25,54.270833333333336,54.270833333333336,2.5,2.5,4061.397572132832,4061.397572132832,16923.520531610833,16923.520531610833,"2,4,5,7,13,16,18,20,33,40,65,71,72,75,77,79","2,4,5,7,13,16,18,20,33,40,65,71,72,75,77,79",bdp
15.0,16,16,16,1.0,5425.0625,5425.0625,79.90625,79.90625,2.5,2.5,4206.545270972006,4206.545270972006,16392.810923024736,16392.810923024736,"0,1,2,15,20,26,27,36,45,49,54,56,57,69,75,76","0,1,2,15,20,26,27,36,45,49,54,56,57,69,75,76",bdp
18.0,19,19,19,1.0,5440.368421052632,5440.368421052632,74.6719298245614,74.6719298245614,3.0526315789473686,3.0526315789473686,3898.068492356182,3898.068492356182,16779.960175484,16779.960175484,"2,6,14,16,23,24,31,36,40,41,43,53,56,59,65,69,72,75,77","2,6,14,16,23,24,31,36,40,41,43,53,56,59,65,69,72,75,77",bdp
21.0,15,15,15,1.0,4316.666666666667,4316.666666666667,96.41111111111111,96.41111111111111,2.933333333333333,2.933333333333333,4077.977173977314,4077.977173977314,16701.043315114646,16701.043315114646,"1,4,27,34,36,37,39,41,42,50,58,59,61,64,71","1,4,27,34,36,37,39,41,42,50,58,59,61,64,71",bdp
24.0,10,10,10,1.0,6845.8,6845.8,114.225,114.225,3.1,3.1,4112.934517708994,4112.934517708994,16794.561581561178,16794.561581561175,"0,41,55,57,60,65,67,73,77,78","0,41,55,57,60,65,67,73,77,78",bdp
27.0,7,7,7,1.0,5028.571428571428,5028.571428571428,107.10714285714286,107.10714285714286,3.4285714285714284,3.4285714285714284,3916.97110300044,3916.97110300044,15708.106769224338,15708.106769224338,"6,16,34,54,64,68,76","6,16,34,54,64,68,76",bdp
30.0,16,16,16,1.0,5388.3125,5388.3125,65.61874999999999,65.61874999999999,4.375,4.375,3323.723182815529,3323.723182815529,17060.039853687264,17060.039853687264,"4,6,15,16,41,45,53,54,56,57,61,65,68,69,72,75","4,6,15,16,41,45,53,54,56,57,61,65,68,69,72,75",bdp
33.0,9,9,9,1.0,4625.222222222223,4625.222222222223,127.84814814814816,127.84814814814816,3.6666666666666665,3.6666666666666665,4022.098422162922,4022.098422162922,16572.877624012504,16572.877624012504,"7,13,31,43,52,68,69,76,78","7,13,31,43,52,68,69,76,78",bdp
36.0,10,10,10,1.0,4548.7,4548.7,149.40833333333336,149.40833333333336,3.9,3.9,4049.4167566906167,4049.4167566906167,17375.20186288903,17375.20186288903,"14,16,21,27,46,53,60,64,71,73","14,16,21,27,46,53,60,64,71,73",bdp
