seed,policy,pid,completion_time_s,rounds,total_prompt_tokens,total_decode_tokens
20262101,fcfs,0,612.5,20,13836,5681
20262101,fcfs,1,501.7552899082291,20,13408,3011
20262101,fcfs,2,716.0799420381425,20,22543,12508
20262101,fcfs,3,601.5,15,23045,4539
20262101,fcfs,4,145.5,11,16980,1159
20262101,fcfs,5,292.10586068837296,8,21860,2815
20262101,fcfs,6,854.0383589020047,20,10143,17739
20262101,fcfs,7,493.97002488207113,20,31558,3080
20262101,fcfs,8,404.0235588052988,13,29211,2613
20262101,fcfs,9,659.0,19,18491,5523
20262101,fcfs,10,902.0,8,13307,21652
20262101,fcfs,11,235.5,3,2737,2722
20262101,fcfs,12,733.0,20,24495,8085
20262101,fcfs,13,630.5,18,15351,4909
20262101,fcfs,14,235.0,10,33258,1494
20262101,fcfs,15,545.2099627853131,15,24090,5315
20262101,fcfs,16,63.13684175416571,12,34112,389
20262101,fcfs,17,612.0,20,19293,3378
20262101,fcfs,18,608.0,19,27176,5032
20262101,fcfs,19,191.62072689031888,3,7119,2008
20262101,fcfs,20,563.9719185760384,20,28629,2996
20262101,fcfs,21,170.53203591011206,10,8022,1566
20262101,fcfs,22,750.9045554567077,12,19852,11859
20262101,fcfs,23,648.3259316134167,11,25853,9549
20262101,fcfs,24,351.0,16,30323,1912
20262101,fcfs,25,584.0,18,30894,3781
20262101,fcfs,26,99.68677635745239,4,3813,993
20262101,fcfs,27,105.5,8,8763,922
20262101,fcfs,28,251.0,15,31014,1570
20262101,fcfs,29,808.5,20,17352,13367
20262101,fcfs,30,659.517471413286,20,27608,5746
20262101,fcfs,31,478.81654673602407,20,26123,3748
20262101,fcfs,32,922.0,9,15495,21964
20262101,fcfs,33,175.97906250372756,6,12952,1753
20262101,fcfs,34,562.7649160877221,13,28934,4545
20262101,fcfs,35,508.83286894711966,18,27477,3504
20262101,fcfs,36,776.0,20,10691,9773
20262101,fcfs,37,523.1699820808923,16,28715,3738
20262101,fcfs,38,496.9223448639763,20,24168,2698
20262101,fcfs,39,236.2801476564762,14,28496,975
20262101,fcfs,40,662.7153417156953,20,22085,6632
20262101,fcfs,41,560.8592483014424,20,18017,5282
20262101,fcfs,42,640.3762507766244,20,23723,7017
20262101,fcfs,43,656.5802026523833,20,23636,8144
20262101,fcfs,44,1341.5,9,2275,56172
20262101,fcfs,45,831.5,18,19352,13490
20262101,fcfs,46,901.5,18,18955,16214
20262101,fcfs,47,869.0,15,17440,15746
20262101,fcfs,48,636.7501676747331,18,21040,5032
20262101,fcfs,49,332.97874525095517,12,19236,2465
20262101,fcfs,50,644.0,13,26595,8448
20262101,fcfs,51,791.0,17,20981,15023
20262101,fcfs,52,788.1935646824687,20,14229,10227
20262101,fcfs,53,479.81654673602407,20,32000,2463
20262101,fcfs,54,585.5,20,28181,4116
20262101,fcfs,55,575.4546722261045,20,31826,2716
20262101,fcfs,56,229.87880850887984,10,11898,1938
20262101,fcfs,57,787.0,17,17402,13584
20262101,fcfs,58,634.0,20,30649,4309
20262101,fcfs,59,529.6339251801567,15,24703,6119
20262101,fcfs,60,645.5,14,27015,7400
20262101,fcfs,61,623.0,20,27750,4990
20262101,fcfs,62,525.8428231765922,9,10053,4574
20262101,fcfs,63,101.48503200336663,7,17637,868
20262101,fcfs,64,550.1448933213619,20,13853,2826
20262101,fcfs,65,533.0845068712571,20,25700,2927
20262101,fcfs,66,735.5,19,23618,8969
20262101,fcfs,67,867.5,13,15993,19141
20262101,fcfs,68,549.0,20,28692,2703
20262101,fcfs,69,626.6250133078925,14,26817,6388
20262101,fcfs,70,636.2501676747331,10,10263,7358
20262101,fcfs,71,371.01015240348664,16,32560,3805
20262101,fcfs,72,652.5,20,25520,6018
20262101,fcfs,73,809.4557195569021,20,22951,11214
20262101,fcfs,74,607.5,20,24621,4387
20262101,fcfs,75,157.411928018162,14,31746,908
20262101,fcfs,76,605.032632397545,20,26396,4322
20262101,fcfs,77,404.5235588052988,19,30092,1787
20262101,fcfs,78,72.88212301887854,6,11535,523
20262101,fcfs,79,819.5,20,19033,13275
20262101,thunder,0,473.1745007934906,20,13836,5681
20262101,thunder,1,336.0,20,13408,3011
20262101,thunder,2,717.0,20,22543,12508
20262101,thunder,3,373.7420929745308,15,23045,4539
20262101,thunder,4,132.5117516291753,11,16980,1159
20262101,thunder,5,253.07644095952753,8,21860,2815
20262101,thunder,6,827.0,20,10143,17739
20262101,thunder,7,558.5,20,31558,3080
20262101,thunder,8,600.9546536549448,13,29211,2613
20262101,thunder,9,480.6822705333789,19,18491,5523
20262101,thunder,10,880.0,8,13307,21652
20262101,thunder,11,240.5,3,2737,2722
20262101,thunder,12,600.9546536549448,20,24495,8085
20262101,thunder,13,401.1988489165527,18,15351,4909
20262101,thunder,14,158.09358083808326,10,33258,1494
20262101,thunder,15,436.5,15,24090,5315
20262101,thunder,16,52.60814077981233,12,34112,389
20262101,thunder,17,295.00890161526803,20,19293,3378
20262101,thunder,18,636.0,19,27176,5032
20262101,thunder,19,198.5,3,7119,2008
20262101,thunder,20,609.5,20,28629,2996
20262101,thunder,21,161.36820703745545,10,8022,1566
20262101,thunder,22,697.053244915022,12,19852,11859
20262101,thunder,23,632.9613311964831,11,25853,9549
20262101,thunder,24,595.1781403504275,16,30323,1912
20262101,thunder,25,394.19380894479343,18,30894,3781
20262101,thunder,26,107.97346804987468,4,3813,993
20262101,thunder,27,103.76209584284699,8,8763,922
20262101,thunder,28,604.5,15,31014,1570
20262101,thunder,29,749.2315512416488,20,17352,13367
20262101,thunder,30,454.70437125820774,20,27608,5746
20262101,thunder,31,323.0,20,26123,3748
20262101,thunder,32,883.5,9,15495,21964
20262101,thunder,33,172.7795900897825,6,12952,1753
20262101,thunder,34,365.6275843298266,13,28934,4545
20262101,thunder,35,569.1744401883908,18,27477,3504
20262101,thunder,36,631.4613311964831,20,10691,9773
20262101,thunder,37,335.5501220103651,16,28715,3738
20262101,thunder,38,283.0878529297411,20,24168,2698
20262101,thunder,39,556.8241492520156,14,28496,975
20262101,thunder,40,579.5,20,22085,6632
20262101,thunder,41,502.6987723247233,20,18017,5282
20262101,thunder,42,666.0,20,23723,7017
20262101,thunder,43,560.0,20,23636,8144
20262101,thunder,44,1322.5,9,2275,56172
20262101,thunder,45,754.557192980135,18,19352,13490
20262101,thunder,46,798.5,18,18955,16214
20262101,thunder,47,794.5899212078747,15,17440,15746
20262101,thunder,48,417.5,18,21040,5032
20262101,thunder,49,261.82462725756415,12,19236,2465
20262101,thunder,50,701.6260831018914,13,26595,8448
20262101,thunder,51,775.5,17,20981,15023
20262101,thunder,52,673.0,20,14229,10227
20262101,thunder,53,627.5,20,32000,2463
20262101,thunder,54,526.039093771236,20,28181,4116
20262101,thunder,55,631.4613311964831,20,31826,2716
20262101,thunder,56,218.744720713034,10,11898,1938
20262101,thunder,57,762.5,17,17402,13584
20262101,thunder,58,359.13903978579856,20,30649,4309
20262101,thunder,59,635.0708123695504,15,24703,6119
20262101,thunder,60,657.7162346596281,14,27015,7400
20262101,thunder,61,573.612672537291,20,27750,4990
20262101,thunder,62,364.1275843298266,9,10053,4574
20262101,thunder,63,107.47346804987468,7,17637,868
20262101,thunder,64,309.0,20,13853,2826
20262101,thunder,65,508.0,20,25700,2927
20262101,thunder,66,734.2395103873711,19,23618,8969
20262101,thunder,67,855.5,13,15993,19141
20262101,thunder,68,368.5912631435987,20,28692,2703
20262101,thunder,69,613.0,14,26817,6388
20262101,thunder,70,516.5,10,10263,7358
20262101,thunder,71,542.0,16,32560,3805
20262101,thunder,72,590.4490324120259,20,25520,6018
20262101,thunder,73,685.0,20,22951,11214
20262101,thunder,74,547.0,20,24621,4387
20262101,thunder,75,123.0,14,31746,908
20262101,thunder,76,401.6988489165527,20,26396,4322
20262101,thunder,77,197.188009645477,19,30092,1787
20262101,thunder,78,71.7899219101951,6,11535,523
20262101,thunder,79,736.0,20,19033,13275
20262101,bdp,0,392.2630610929589,20,13836,5681
20262101,bdp,1,259.5155886685631,20,13408,3011
20262101,bdp,2,661.5,20,22543,12508
20262101,bdp,3,502.5308463061979,15,23045,4539
20262101,bdp,4,122.50263795812313,11,16980,1159
20262101,bdp,5,463.32859102088486,8,21860,2815
20262101,bdp,6,790.0,20,10143,17739
20262101,bdp,7,260.60589889598094,20,31558,3080
20262101,bdp,8,482.2786980327073,13,29211,2613
20262101,bdp,9,649.0,19,18491,5523
20262101,bdp,10,928.5,8,13307,21652
20262101,bdp,11,205.1517092481451,3,2737,2722
