policy,pid,phase,stage,start_s,end_s
fcfs,0,PREFILL,1,0.0,1.5
fcfs,0,DECODE,1,1.0,5.136410693266675
fcfs,0,DECODE,1,4.911734149598375,9.5
fcfs,0,READY,2,9.424741723100835,10.65277605646246
fcfs,0,READY,2,10.456171600164048,12.5
fcfs,0,DECODE,2,12.190560034730092,18.5
fcfs,0,DECODE,2,18.46467757872861,19.722222289006154
fcfs,0,TOOL,3,19.041885538756137,20.041885538756137
fcfs,0,READY,3,19.548513349245077,21.5
fcfs,0,DECODE,3,21.0,25.607438210843124
fcfs,0,DECODE,3,25.42334489197238,33.5
fcfs,0,DECODE,3,33.455828073289915,41.01819741478301
fcfs,0,TOOL,4,40.935876268563426,42.26893196240745
fcfs,0,READY,4,41.5,42.5
fcfs,0,PREFILL,4,42.15849163720405,43.15849163720405
fcfs,0,DECODE,4,42.95669552030697,43.95669552030697
fcfs,0,TOOL,5,43.45669552030697,44.45669552030697
fcfs,0,READY,5,43.50803260169915,44.50803260169915
fcfs,0,READY,5,44.352009087456615,45.5
fcfs,0,DECODE,5,45.116890702085975,47.64070215641645
fcfs,0,READY,6,47.14351354828494,48.5
fcfs,0,DECODE,6,48.451409071228184,55.54883033991682
fcfs,0,DECODE,6,55.399168696178016,58.03556576637819
fcfs,0,DECODE,6,57.79215035075207,59.53841783080919
fcfs,0,TOOL,7,59.03841783080919,60.03841783080919
fcfs,0,READY,7,59.5,60.5
fcfs,0,DECODE,7,60.20995582475143,62.02313718910655
fcfs,0,DECODE,7,61.995290326494434,70.5673738595957
fcfs,0,READY,8,70.28334595375216,72.5
fcfs,0,DECODE,8,72.38212301887854,73.88212301887854
fcfs,0,TOOL,9,73.38212301887854,74.58514342099856
fcfs,0,READY,9,74.03455291430006,75.5
fcfs,0,DECODE,9,75.0,81.11419496812118
fcfs,0,TOOL,10,80.5,81.5
fcfs,0,READY,10,81.18503303857074,84.5
fcfs,0,TOOL,11,84.36352266399503,85.36352266399503
fcfs,0,READY,11,84.51604480184182,87.5
fcfs,0,DECODE,11,87.44670709371275,91.04453077927617
fcfs,0,DECODE,11,90.98308256645703,93.5
fcfs,0,DECODE,11,93.38536945076741,100.68677635745239
fcfs,0,DECODE,11,100.48503200336663,114.5
fcfs,0,DECODE,11,114.35055607492154,117.5
fcfs,0,DECODE,11,117.40118788912149,119.0371971498031
fcfs,0,DECODE,11,118.81878198941187,121.09784967319453
fcfs,0,DECODE,11,120.91539927436258,123.5
fcfs,0,DECODE,11,123.37280801044251,127.71471532903517
fcfs,0,DECODE,11,127.46626612399264,130.0
fcfs,0,DECODE,11,129.81547478451114,136.50436316118746
fcfs,0,DECODE,11,136.35347586959776,146.5
fcfs,0,DECODE,11,146.2564907983367,161.0
fcfs,0,DECODE,11,160.8401074565193,172.0
fcfs,0,DECODE,11,171.8537159069274,178.0
fcfs,0,DECODE,11,177.95170390772566,179.0813026053054
fcfs,0,DECODE,11,178.87175304581788,190.0
fcfs,0,DECODE,11,189.8068972002129,191.06012978221202
fcfs,0,DECODE,11,190.8505734833035,201.5
fcfs,0,DECODE,11,201.2939610146017,208.0
fcfs,0,DECODE,11,207.8951298903148,211.0
fcfs,0,DECODE,11,210.94190052831667,226.0
fcfs,0,DECODE,11,225.81390475778943,229.0
fcfs,0,DECODE,11,228.87880850887984,233.71336189825124
fcfs,0,DECODE,11,233.49227484255292,236.0
fcfs,0,DECODE,11,235.7801476564762,242.0552662392707
fcfs,0,DECODE,11,241.82981099382738,246.5
fcfs,0,DECODE,11,246.3157413273191,258.5
fcfs,0,DECODE,11,258.43314469382307,262.5
fcfs,0,DECODE,11,262.3311904152232,265.5
fcfs,0,DECODE,11,265.3009721125934,274.0833544439508
fcfs,0,TOOL,12,273.87316265437494,274.87316265437494
fcfs,0,READY,12,274.04515513046005,282.5
fcfs,0,READY,12,282.3586597227383,294.5
fcfs,0,PREFILL,12,294.0,296.0
fcfs,0,PREFILL,12,295.77959008978246,298.0
fcfs,0,DECODE,12,297.86296436407633,305.5
fcfs,0,DECODE,12,305.3414259825381,309.5
fcfs,0,DECODE,12,309.3049279661535,312.5
fcfs,0,DECODE,12,312.49457111814166,315.5
fcfs,0,DECODE,12,315.2900742794723,317.5764409595274
fcfs,0,DECODE,12,317.41675562859496,325.0
fcfs,0,DECODE,12,324.7716366042871,328.0350772073637
fcfs,0,DECODE,12,327.8208297210652,332.5
fcfs,0,DECODE,12,332.47874525095517,342.5
fcfs,0,DECODE,12,342.37485837740905,344.37485837740905
fcfs,0,TOOL,13,343.8224593389853,349.8066704781903
fcfs,0,READY,13,349.1158326203675,352.5696961375734
fcfs,0,READY,13,352.3512098091237,355.0
fcfs,0,READY,13,354.81894828620307,361.0
fcfs,0,READY,13,360.914468335792,368.5
fcfs,0,READY,13,368.25691963898055,375.5
fcfs,0,PREFILL,13,375.1756514291664,379.5
fcfs,0,DECODE,13,379.3676249583035,382.0157016524722
fcfs,0,DECODE,13,381.82302081988735,391.51668984718583
fcfs,0,TOOL,14,391.01668984718583,392.01668984718583
fcfs,0,READY,14,391.7936386919234,394.0
fcfs,0,READY,14,393.9290685869095,399.5
fcfs,0,READY,14,399.49340244205314,402.5
fcfs,0,READY,14,402.2778506018699,405.5
fcfs,0,READY,14,405.3609307186376,409.0
fcfs,0,READY,14,408.9357083926145,411.5
fcfs,0,READY,14,411.32670672087846,413.5021575261645
fcfs,0,READY,14,413.4886266604467,417.5
fcfs,0,PREFILL,14,417.0,418.0
fcfs,0,PREFILL,14,417.7892141882402,420.5
fcfs,0,DECODE,14,420.09034819039465,423.5
fcfs,0,TOOL,15,423.0,424.0
fcfs,0,READY,15,423.75003752869424,433.0
fcfs,0,READY,15,432.9326069980219,439.061293751391
fcfs,0,READY,15,438.8595810289901,444.5
fcfs,0,PREFILL,15,444.04967416190715,446.6179554348444
fcfs,0,PREFILL,15,446.4045871173935,447.5
fcfs,0,DECODE,15,447.0356255623796,451.0
fcfs,0,DECODE,15,450.9380555119036,457.0
fcfs,0,TOOL,16,456.5,457.5
fcfs,0,READY,16,457.09752949320017,463.0
fcfs,0,READY,16,462.9671583045195,476.5
fcfs,0,READY,16,476.2946314292322,478.0
fcfs,0,READY,16,477.81654673602407,480.5
fcfs,0,PREFILL,16,480.0,481.0
fcfs,0,PREFILL,16,480.8584983894688,483.5
fcfs,0,PREFILL,16,483.4988988213773,484.61420653391536
fcfs,0,DECODE,16,484.11420653391536,486.16004347216216
fcfs,0,TOOL,17,485.5,486.5
fcfs,0,READY,17,486.1066348460901,492.5
fcfs,0,READY,17,492.4309311108351,497.0
fcfs,0,READY,17,496.9223448639763,501.5
fcfs,0,READY,17,501.2552899082291,505.0
fcfs,0,READY,17,504.75795991301743,508.5
fcfs,0,READY,17,508.33286894711966,510.5
fcfs,0,PREFILL,17,510.0058351211959,514.5
fcfs,0,DECODE,17,514.0,515.0
fcfs,0,DECODE,17,514.7709959101909,517.0
fcfs,0,TOOL,18,516.7474077784483,520.5944379598797
fcfs,0,READY,18,520.4718653201529,533.5845068712571
fcfs,0,READY,18,533.3412374696488,539.5445649512452
fcfs,0,READY,18,539.4360450813598,543.5
fcfs,0,PREFILL,18,543.0,545.7099627853131
fcfs,0,DECODE,18,545.3654003162185,547.5
fcfs,0,DECODE,18,547.454191062661,555.5
fcfs,0,DECODE,18,555.4125128156273,556.9125128156273
fcfs,0,TOOL,19,556.4879302731601,557.4879302731601
fcfs,0,READY,19,556.5271146891528,563.0
fcfs,0,READY,19,562.7649160877221,565.5
fcfs,0,READY,19,565.4232760216065,573.5
fcfs,0,PREFILL,19,573.4546722261045,577.6017313177284
fcfs,0,DECODE,19,577.3654202833332,584.5
fcfs,0,DECODE,19,584.3114017894742,587.5
fcfs,0,DECODE,19,587.3047190808077,590.0
fcfs,0,DECODE,19,589.9329854149269,595.0
fcfs,0,READY,20,594.7940841320707,598.0
fcfs,0,READY,20,597.8764295065215,602.5
fcfs,0,READY,20,602.2694836083609,603.5
fcfs,0,PREFILL,20,603.0,608.5
fcfs,0,DECODE,20,608.2939365561798,610.5
fcfs,0,DECODE,20,610.3530935644633,612.5
fcfs,1,PREFILL,1,0.0,1.0
fcfs,1,DECODE,1,0.5,5.136410693266675
fcfs,1,DECODE,1,4.911734149598375,6.5
fcfs,1,READY,2,6.20348432529066,9.5
fcfs,1,DECODE,2,9.424741723100835,10.65277605646246
fcfs,1,DECODE,2,10.456171600164048,12.053452739268979
fcfs,1,TOOL,3,11.5,13.57990817646368
fcfs,1,READY,3,13.212975995893732,15.5
fcfs,1,DECODE,3,15.144674469004679,16.57089203134173
fcfs,1,TOOL,4,16.29065433121188,18.5
fcfs,1,TOOL,4,18.46467757872861,20.041885538756137
fcfs,1,READY,4,19.548513349245077,21.5
fcfs,1,PREFILL,4,21.0,22.0
fcfs,1,DECODE,4,21.636780827752098,25.607438210843124
fcfs,1,DECODE,4,25.42334489197238,33.5
fcfs,1,DECODE,4,33.455828073289915,41.01819741478301
fcfs,1,DECODE,4,40.935876268563426,43.15849163720405
fcfs,1,READY,5,42.95669552030697,44.50803260169915
fcfs,1,READY,5,44.352009087456615,45.5
fcfs,1,DECODE,5,45.116890702085975,48.5
fcfs,1,DECODE,5,48.451409071228184,55.54883033991682
fcfs,1,DECODE,5,55.399168696178016,58.03556576637819
fcfs,1,DECODE,5,57.79215035075207,62.02313718910655
fcfs,1,DECODE,5,61.995290326494434,67.076140350172
fcfs,1,TOOL,6,66.77745194940063,68.77181581633963
fcfs,1,READY,6,68.27695775911806,69.5
fcfs,1,DECODE,6,69.20658510432233,70.5673738595957
fcfs,1,TOOL,7,70.28334595375216,72.5
fcfs,1,TOOL,7,72.38212301887854,77.3283429275634
fcfs,1,READY,7,76.54277523476416,78.5
fcfs,1,DECODE,7,78.10678736603495,79.60678736603495
fcfs,1,TOOL,8,79.10862583134227,80.6739259917699
fcfs,1,READY,8,80.11419496812118,81.5
fcfs,1,DECODE,8,81.18503303857074,84.5
fcfs,1,DECODE,8,84.36352266399503,87.5
fcfs,1,DECODE,8,87.44670709371275,91.04453077927617
fcfs,1,DECODE,8,90.98308256645703,93.5
fcfs,1,DECODE,8,93.38536945076741,100.68677635745239
fcfs,1,DECODE,8,100.48503200336663,114.5
fcfs,1,DECODE,8,114.35055607492154,117.5
fcfs,1,DECODE,8,117.40118788912149,119.0371971498031
fcfs,1,DECODE,8,118.81878198941187,121.09784967319453
fcfs,1,TOOL,9,120.91539927436258,122.33520111865866
fcfs,1,READY,9,121.53319923947235,123.5
fcfs,1,READY,9,123.37280801044251,127.71471532903517
fcfs,1,READY,9,127.46626612399264,129.5
fcfs,1,PREFILL,9,129.0,130.0
fcfs,1,PREFILL,9,129.81547478451114,131.50356150153613
fcfs,1,DECODE,9,131.01379305610874,136.50436316118746
fcfs,1,DECODE,9,136.35347586959776,146.5
fcfs,1,DECODE,9,146.2564907983367,148.13200654723775
fcfs,1,TOOL,10,147.63200654723775,151.0
fcfs,1,READY,10,150.6555327300772,161.0
fcfs,1,READY,10,160.8401074565193,162.5
fcfs,1,PREFILL,10,162.0698951701678,164.0698951701678
fcfs,1,DECODE,10,163.5698951701678,172.0
fcfs,1,DECODE,10,171.8537159069274,178.0
fcfs,1,DECODE,10,177.95170390772566,179.0813026053054
fcfs,1,READY,11,178.87175304581788,190.0
fcfs,1,READY,11,189.8068972002129,191.06012978221202
fcfs,1,READY,11,190.8505734833035,192.5
fcfs,1,PREFILL,11,192.0,194.6103281848691
fcfs,1,DECODE,11,194.23249826909156,198.5
fcfs,1,TOOL,12,198.06825598943288,199.06825598943288
fcfs,1,READY,12,198.5253138664026,201.5
fcfs,1,READY,12,201.2939610146017,208.0
fcfs,1,READY,12,207.8951298903148,211.0
fcfs,1,READY,12,210.94190052831667,216.5
fcfs,1,PREFILL,12,216.0,218.30985624605484
fcfs,1,TOOL,13,217.80985624605484,219.03194235098113
fcfs,1,READY,13,218.5,226.0
fcfs,1,READY,13,225.81390475778943,229.0
fcfs,1,READY,13,228.87880850887984,233.71336189825124
fcfs,1,READY,13,233.49227484255292,236.0
fcfs,1,READY,13,235.7801476564762,237.5
fcfs,1,PREFILL,13,237.0,239.5
fcfs,1,DECODE,13,239.17793851826528,240.5
fcfs,1,TOOL,14,240.0,241.5
fcfs,1,READY,14,241.0552662392707,242.0552662392707
fcfs,1,READY,14,241.82981099382738,246.5
fcfs,1,READY,14,246.3157413273191,258.5
fcfs,1,PREFILL,14,258.43314469382307,260.2420456255687
fcfs,1,DECODE,14,259.79378218714004,262.5
fcfs,1,DECODE,14,262.3311904152232,265.5
fcfs,1,DECODE,14,265.3009721125934,274.0833544439508
fcfs,1,DECODE,14,273.87316265437494,282.5
fcfs,1,DECODE,14,282.3586597227383,296.0
fcfs,1,DECODE,14,295.77959008978246,298.0
fcfs,1,DECODE,14,297.86296436407633,305.5
fcfs,1,DECODE,14,305.3414259825381,306.5
fcfs,1,TOOL,15,306.0,307.0
fcfs,1,READY,15,306.6678963456255,309.5
fcfs,1,READY,15,309.3049279661535,312.5
fcfs,1,READY,15,312.49457111814166,315.5
fcfs,1,READY,15,315.2900742794723,317.5764409595274
fcfs,1,READY,15,317.41675562859496,325.0
fcfs,1,READY,15,324.7716366042871,327.5
fcfs,1,PREFILL,15,327.0350772073637,328.0350772073637
fcfs,1,PREFILL,15,327.8208297210652,330.11405196719346
fcfs,1,DECODE,15,329.5,332.5
fcfs,1,DECODE,15,332.47874525095517,342.5
fcfs,1,DECODE,15,342.37485837740905,344.37485837740905
fcfs,1,TOOL,16,343.8224593389853,344.8224593389853
fcfs,1,READY,16,344.27121784964294,352.5696961375734
fcfs,1,READY,16,352.3512098091237,355.0
fcfs,1,READY,16,354.81894828620307,361.0
fcfs,1,READY,16,360.914468335792,368.5
fcfs,1,READY,16,368.25691963898055,372.5
fcfs,1,PREFILL,16,372.0,375.5
fcfs,1,DECODE,16,375.1756514291664,379.5
fcfs,1,TOOL,17,379.3676249583035,380.3676249583035
fcfs,1,READY,17,379.5097926214386,382.0157016524722
fcfs,1,READY,17,381.82302081988735,392.01668984718583
fcfs,1,READY,17,391.7936386919234,394.0
fcfs,1,READY,17,393.9290685869095,399.5
fcfs,1,READY,17,399.49340244205314,402.5
fcfs,1,READY,17,402.2778506018699,405.5
fcfs,1,PREFILL,17,405.3609307186376,409.0
fcfs,1,TOOL,18,408.9357083926145,411.5
fcfs,1,TOOL,18,411.32670672087846,412.32670672087846
fcfs,1,READY,18,411.5021575261645,413.5021575261645
fcfs,1,READY,18,413.4886266604467,418.0
fcfs,1,READY,18,417.7892141882402,424.0
fcfs,1,READY,18,423.75003752869424,433.0
fcfs,1,READY,18,432.9326069980219,435.5
fcfs,1,PREFILL,18,435.0303927166428,439.061293751391
fcfs,1,TOOL,19,438.8595810289901,439.8595810289901
fcfs,1,READY,19,439.38553065086063,446.6179554348444
fcfs,1,READY,19,446.4045871173935,451.0
fcfs,1,READY,19,450.9380555119036,459.5
fcfs,1,PREFILL,19,459.17102575473365,463.0
fcfs,1,DECODE,19,462.9671583045195,470.18792266374214
fcfs,1,READY,20,469.7060914737839,476.5
fcfs,1,READY,20,476.2946314292322,478.0
fcfs,1,READY,20,477.81654673602407,481.0
fcfs,1,READY,20,480.8584983894688,483.5
fcfs,1,READY,20,483.4988988213773,492.5
fcfs,1,PREFILL,20,492.4309311108351,495.5
fcfs,1,DECODE,20,495.0,497.0
fcfs,1,DECODE,20,496.9223448639763,501.5
fcfs,2,PREFILL,1,0.0,1.0
fcfs,2,DECODE,1,0.5,5.136410693266675
fcfs,2,TOOL,2,4.911734149598375,5.911734149598375
fcfs,2,READY,2,5.013363391226281,6.5
fcfs,2,DECODE,2,6.20348432529066,8.573266655504309
fcfs,2,TOOL,3,8.103336825875726,9.103336825875726
fcfs,2,READY,3,8.5,9.5
fcfs,2,PREFILL,3,9.424741723100835,10.424741723100835
fcfs,2,DECODE,3,9.65277605646246,10.65277605646246
fcfs,2,TOOL,4,10.456171600164048,11.456171600164048
fcfs,2,READY,4,10.939285776243137,12.5
fcfs,2,DECODE,4,12.190560034730092,15.009783886240552
fcfs,2,TOOL,5,14.5,15.5
fcfs,2,READY,5,15.144674469004679,18.5
fcfs,2,TOOL,6,18.46467757872861,20.041885538756137
fcfs,2,READY,6,19.548513349245077,21.5
fcfs,2,DECODE,6,21.0,25.607438210843124
fcfs,2,DECODE,6,25.42334489197238,33.5
fcfs,2,DECODE,6,33.455828073289915,41.01819741478301
fcfs,2,DECODE,6,40.935876268563426,43.15849163720405
fcfs,2,DECODE,6,42.95669552030697,44.50803260169915
fcfs,2,DECODE,6,44.352009087456615,48.5
fcfs,2,DECODE,6,48.451409071228184,49.570904151351925
fcfs,2,READY,7,49.08000132062431,51.5
fcfs,2,DECODE,7,51.218901832211415,54.5
fcfs,2,TOOL,8,54.0,55.0
fcfs,2,READY,8,54.54883033991682,55.54883033991682
fcfs,2,READY,8,55.399168696178016,57.5
fcfs,2,DECODE,8,57.03556576637819,58.03556576637819
fcfs,2,DECODE,8,57.79215035075207,59.00034019870535
fcfs,2,TOOL,9,58.53841783080919,60.5
fcfs,2,READY,9,60.20995582475143,62.02313718910655
fcfs,2,READY,9,61.995290326494434,63.5
fcfs,2,PREFILL,9,63.07592551235056,64.07592551235055
fcfs,2,DECODE,9,63.52618657939529,65.08424073926213
fcfs,2,TOOL,10,64.5413685639243,65.5413685639243
fcfs,2,READY,10,65.16475763706825,66.5
fcfs,2,DECODE,10,66.076140350172,72.5
fcfs,2,DECODE,10,72.38212301887854,84.5
fcfs,2,DECODE,10,84.36352266399503,86.0226787514754
fcfs,2,TOOL,11,85.58704118389905,86.58704118389905
fcfs,2,READY,11,86.14315293949453,87.5
fcfs,2,DECODE,11,87.44670709371275,91.04453077927617
fcfs,2,DECODE,11,90.98308256645703,93.5
fcfs,2,DECODE,11,93.38536945076741,100.68677635745239
fcfs,2,DECODE,11,100.48503200336663,104.02010216285406
fcfs,2,TOOL,12,103.52010216285406,104.52010216285406
fcfs,2,READY,12,104.26879218775518,108.5
fcfs,2,PREFILL,12,108.00834899658189,111.5
fcfs,2,TOOL,13,111.01025478746635,112.01025478746635
fcfs,2,READY,13,111.55776271110156,114.5
fcfs,2,READY,13,114.35055607492154,117.5
fcfs,2,READY,13,117.40118788912149,119.0371971498031
fcfs,2,READY,13,118.81878198941187,120.5
fcfs,2,PREFILL,13,120.09784967319453,121.09784967319453
fcfs,2,PREFILL,13,120.91539927436258,123.5
fcfs,2,PREFILL,13,123.37280801044251,124.37280801044251
fcfs,2,DECODE,13,123.85067081291355,127.71471532903517
fcfs,2,DECODE,13,127.46626612399264,130.0
fcfs,2,DECODE,13,129.81547478451114,136.50436316118746
fcfs,2,DECODE,13,136.35347586959776,138.5
fcfs,2,TOOL,14,138.02477608523327,139.02477608523327
fcfs,2,READY,14,138.7641263816645,146.5
fcfs,2,READY,14,146.2564907983367,150.5
fcfs,2,PREFILL,14,150.0,154.55267135789873
fcfs,2,DECODE,14,154.05747477696397,161.0
fcfs,2,DECODE,14,160.8401074565193,172.0
fcfs,2,DECODE,14,171.8537159069274,178.0
fcfs,2,DECODE,14,177.95170390772566,179.0813026053054
fcfs,2,DECODE,14,178.87175304581788,190.0
fcfs,2,DECODE,14,189.8068972002129,191.06012978221202
fcfs,2,DECODE,14,190.8505734833035,201.5
fcfs,2,DECODE,14,201.2939610146017,208.0
fcfs,2,DECODE,14,207.8951298903148,211.0
fcfs,2,DECODE,14,210.94190052831667,226.0
fcfs,2,DECODE,14,225.81390475778943,229.0
fcfs,2,DECODE,14,228.87880850887984,233.71336189825124
fcfs,2,DECODE,14,233.49227484255292,236.0
fcfs,2,DECODE,14,235.7801476564762,242.0552662392707
fcfs,2,DECODE,14,241.82981099382738,246.5
fcfs,2,DECODE,14,246.3157413273191,258.5
fcfs,2,DECODE,14,258.43314469382307,262.5
fcfs,2,DECODE,14,262.3311904152232,265.5
fcfs,2,DECODE,14,265.3009721125934,274.0833544439508
fcfs,2,DECODE,14,273.87316265437494,282.5
fcfs,2,DECODE,14,282.3586597227383,296.0
fcfs,2,DECODE,14,295.77959008978246,298.0
fcfs,2,DECODE,14,297.86296436407633,305.5
fcfs,2,DECODE,14,305.3414259825381,309.5
fcfs,2,DECODE,14,309.3049279661535,312.5
fcfs,2,DECODE,14,312.49457111814166,315.5
fcfs,2,DECODE,14,315.2900742794723,317.5764409595274
fcfs,2,DECODE,14,317.41675562859496,325.0
fcfs,2,DECODE,14,324.7716366042871,328.0350772073637
fcfs,2,DECODE,14,327.8208297210652,332.5
fcfs,2,DECODE,14,332.47874525095517,342.5
fcfs,2,DECODE,14,342.37485837740905,352.5696961375734
fcfs,2,DECODE,14,352.3512098091237,355.0
