t_s,ready,active,engine_waiting,admit_count,admitted_pids,admitted_mean_actual_remaining_decode,admitted_mean_actual_remaining_rounds,policy
0.0,80.0,0.0,0.0,80.0,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79",6751.6375,15.5875,fcfs
3.0,1.0,44.0,33.0,1.0,4,1158.0,10.0,fcfs
6.0,10.0,68.0,0.0,10.0,"11,17,16,5,13,31,24,33,2,45",4728.7,13.1,fcfs
9.0,18.0,57.0,0.0,18.0,"29,61,41,20,1,6,33,10,32,60,64,27,67,16,7,71,38,2",8023.666666666667,14.722222222222221,fcfs
12.0,13.0,59.0,0.0,13.0,"15,75,0,72,79,65,18,38,2,76,13,26,20",5127.7692307692305,16.307692307692307,fcfs
15.0,15.0,57.0,0.0,15.0,"57,49,69,16,23,71,1,4,45,24,43,75,31,27,79",5422.4,13.533333333333333,fcfs
18.0,14.0,59.0,0.0,14.0,"40,65,72,2,59,37,14,6,77,53,56,36,75,58",5476.857142857143,15.857142857142858,fcfs
21.0,15.0,63.0,0.0,15.0,"54,42,34,39,61,59,69,41,36,1,56,0,2,64,4",4949.933333333333,15.066666666666666,fcfs
24.0,12.0,64.0,0.0,12.0,"71,57,55,40,77,65,50,76,16,69,41,67",6124.583333333333,14.666666666666666,fcfs
27.0,10.0,64.0,0.0,10.0,"36,60,34,16,41,6,15,64,31,65",5809.3,14.3,fcfs
30.0,16.0,62.0,0.0,16.0,"27,45,77,6,4,78,73,61,53,57,7,76,43,75,72,68",5600.25,14.4375,fcfs
33.0,8.0,65.0,0.0,8.0,"41,27,16,68,13,54,56,8",2602.625,11.875,fcfs
36.0,17.0,58.0,0.0,17.0,"53,54,65,14,26,69,64,33,68,23,21,7,76,71,52,9,74",3711.529411764706,13.176470588235293,fcfs
39.0,12.0,66.0,0.0,12.0,"59,24,78,46,28,75,34,60,37,41,69,16",4292.75,11.0,fcfs
42.0,12.0,66.0,0.0,12.0,"21,59,8,73,66,35,71,75,28,16,0,19",3674.0833333333335,11.5,fcfs
45.0,8.0,68.0,0.0,8.0,"57,53,72,1,0,38,63,28",4117.5,14.0,fcfs
48.0,11.0,63.0,0.0,11.0,"51,54,6,42,65,31,70,43,0,61,39",6662.909090909091,14.909090909090908,fcfs
51.0,13.0,59.0,0.0,13.0,"21,8,52,16,66,74,71,68,39,2,37,26,78",3689.153846153846,10.846153846153847,fcfs
54.0,14.0,65.0,0.0,14.0,"40,49,53,7,6,41,73,31,13,71,42,68,27,44",8703.92857142857,13.071428571428571,fcfs
57.0,13.0,63.0,0.0,13.0,"2,54,58,59,23,74,18,39,42,71,40,34,21",4942.461538461538,12.538461538461538,fcfs
60.0,12.0,64.0,0.0,12.0,"46,63,75,58,28,24,42,16,38,41,0,35",3686.8333333333335,11.916666666666666,fcfs
63.0,9.0,65.0,0.0,9.0,"2,77,37,43,67,16,41,59,57",7365.888888888889,10.88888888888889,fcfs
66.0,18.0,54.0,0.0,18.0,"28,78,15,35,4,74,71,75,64,51,18,76,68,27,24,2,21,54",3458.8888888888887,10.666666666666666,fcfs
69.0,14.0,59.0,0.0,14.0,"43,77,41,55,14,66,25,38,76,63,1,56,59,64",3268.714285714286,12.357142857142858,fcfs
72.0,15.0,58.0,0.0,15.0,"44,38,42,4,61,74,77,43,0,78,25,28,18,58,41",6889.533333333334,11.733333333333333,fcfs
75.0,8.0,67.0,0.0,8.0,"24,21,15,0,43,63,64,31",3116.25,10.0,fcfs
78.0,12.0,61.0,0.0,12.0,"31,7,50,55,39,59,68,1,43,57,49,35",4197.666666666667,12.083333333333334,fcfs
81.0,13.0,59.0,0.0,13.0,"28,21,54,7,32,10,30,37,49,76,1,75,61",5379.615384615385,10.307692307692308,fcfs
84.0,12.0,61.0,0.0,12.0,"0,25,43,28,77,72,63,20,55,60,53,67",4474.166666666667,11.583333333333334,fcfs
87.0,16.0,57.0,0.0,16.0,"4,79,9,39,56,28,0,22,20,60,66,2,75,77,33,44",7624.0625,9.4375,fcfs
90.0,10.0,64.0,0.0,9.0,"61,38,54,24,15,44,31,23,35",9454.777777777777,10.444444444444445,fcfs
93.0,7.0,66.0,0.0,5.0,"48,4,28,20,14",1611.6,9.2,fcfs
96.0,11.0,63.0,0.0,8.0,"60,35,79,54,10,39,17,63",6038.625,9.75,fcfs
99.0,11.0,65.0,0.0,4.0,"42,59,23,21",5233.5,6.75,fcfs
102.0,9.0,64.0,0.0,4.0,"41,31,65,27",2421.25,8.25,fcfs
105.0,15.0,59.0,0.0,8.0,"45,49,75,7,53,17,25,24",3016.875,11.125,fcfs
108.0,11.0,60.0,0.0,6.0,"23,5,2,40,54,31",5633.833333333333,9.166666666666666,fcfs
111.0,14.0,59.0,0.0,6.0,"35,53,74,30,71,65",2896.8333333333335,12.166666666666666,fcfs
114.0,17.0,55.0,0.0,9.0,"8,72,45,18,79,76,38,59,4",5123.666666666667,10.666666666666666,fcfs
117.0,10.0,63.0,0.0,0.0,,,,fcfs
120.0,17.0,55.0,0.0,8.0,"2,42,52,14,40,7,31,71",5070.5,10.25,fcfs
123.0,19.0,54.0,0.0,5.0,"74,18,39,5,56",2020.8,8.2,fcfs
126.0,17.0,54.0,0.0,6.0,"77,61,4,15,59,22",4196.5,7.666666666666667,fcfs
129.0,18.0,53.0,0.0,7.0,"30,17,50,52,1,20,38",4069.1428571428573,13.714285714285714,fcfs
132.0,17.0,53.0,0.0,5.0,"7,25,75,55,8",1504.4,9.8,fcfs
135.0,19.0,52.0,0.0,4.0,"49,18,5,71",2423.5,6.5,fcfs
138.0,23.0,51.0,0.0,6.0,"45,15,42,74,22,67",9069.166666666666,10.0,fcfs
141.0,21.0,52.0,0.0,8.0,"50,35,40,39,52,57,79,56",6193.125,9.875,fcfs
144.0,18.0,57.0,0.0,2.0,"7,53",1688.0,10.5,fcfs
147.0,21.0,50.0,0.0,7.0,"14,25,9,72,65,20,49",2409.4285714285716,10.571428571428571,fcfs
150.0,19.0,51.0,0.0,3.0,"75,2,77",4037.3333333333335,5.666666666666667,fcfs
153.0,23.0,46.0,0.0,7.0,"28,66,17,24,15,79,57",5592.714285714285,9.857142857142858,fcfs
156.0,22.0,51.0,0.0,1.0,21,165.0,1.0,fcfs
159.0,25.0,48.0,0.0,7.0,"39,33,32,42,45,22,52",8340.0,7.714285714285714,fcfs
162.0,21.0,51.0,0.0,5.0,"71,1,40,68,53",2478.4,9.6,fcfs
165.0,17.0,53.0,0.0,3.0,"48,31,5",2439.0,9.0,fcfs
168.0,19.0,52.0,0.0,5.0,"20,50,6,30,18",6574.0,12.0,fcfs
171.0,21.0,50.0,0.0,4.0,"37,66,14,9",3507.25,10.25,fcfs
174.0,23.0,46.0,0.0,8.0,"24,56,65,55,3,8,32,19",3558.625,7.375,fcfs
177.0,23.0,47.0,0.0,5.0,"77,39,58,57,22",5133.4,8.2,fcfs
180.0,26.0,44.0,0.0,6.0,"28,42,40,38,52,74",4102.333333333333,9.5,fcfs
183.0,22.0,47.0,0.0,3.0,"5,7,66",3545.3333333333335,7.666666666666667,fcfs
186.0,23.0,46.0,0.0,4.0,"18,72,31,15",3648.5,8.75,fcfs
189.0,27.0,43.0,0.0,7.0,"20,50,71,53,46,35,56",4185.285714285715,7.714285714285714,fcfs
192.0,27.0,43.0,0.0,8.0,"76,48,30,1,55,3,58,14",2209.5,11.625,fcfs
195.0,21.0,47.0,0.0,2.0,"25,8",1520.0,8.5,fcfs
198.0,28.0,40.0,0.0,8.0,"68,40,37,61,28,9,42,38",2853.0,9.25,fcfs
201.0,25.0,44.0,0.0,2.0,"77,5",918.0,4.0,fcfs
204.0,27.0,42.0,0.0,4.0,"7,52,39,15",3599.75,6.75,fcfs
207.0,25.0,43.0,0.0,4.0,"24,66,57,53",5273.25,7.75,fcfs
210.0,23.0,45.0,0.0,4.0,"32,3,11,65",6162.5,6.5,fcfs
213.0,24.0,41.0,0.0,8.0,"49,20,18,55,64,50,35,30",2585.875,9.375,fcfs
