t_s,kv_perc,running,waiting,router_ready,tool,prefill,decode,completed_programs,completed_requests,prefill_tps,decode_tps,prefix_hit_cum,preemptions,policy
0.5,2.9946268656716417,19.0,61.0,0.0,0.0,19.0,0.0,0.0,0.0,39857.954495993625,0.0,0.0,0.0,fcfs
1.0,5.728955223880597,24.0,56.0,0.0,0.0,15.0,9.0,0.0,0.0,36451.20751288119,0.0,0.0,0.0,fcfs
1.5,7.902089552238806,27.0,51.0,0.0,2.0,14.0,13.0,0.0,2.0,37859.50340214712,419.5443738098102,0.0,0.0,fcfs
2.0,10.316417910447761,33.0,45.0,0.0,2.0,13.0,20.0,0.0,2.0,31846.266957438842,527.366456957775,0.0,0.0,fcfs
2.5,12.520597014925373,40.0,37.0,0.0,3.0,18.0,22.0,0.0,3.0,39196.75218249034,540.9404058300345,0.0,0.0,fcfs
3.0,15.703880597014926,44.0,33.0,1.0,2.0,16.0,28.0,0.0,3.0,42001.49173093046,572.1609646618838,0.0,0.0,fcfs
3.5,17.659701492537312,53.0,23.0,0.0,4.0,17.0,36.0,0.0,5.0,37305.654029288155,609.093762331574,0.0,0.0,fcfs
4.188531332153875,20.70686567164179,58.0,16.0,3.0,3.0,12.0,46.0,0.0,7.0,39041.31391288159,635.0598714748129,0.0,0.0,fcfs
4.636410693266675,22.340298507462688,56.0,16.0,7.0,1.0,8.0,48.0,0.0,9.0,37893.40090888133,652.8058634131454,0.0,0.0,fcfs
5.411734149598375,25.592835820895523,67.0,3.0,8.0,2.0,11.0,56.0,0.0,11.0,33418.42909863122,662.5590844980142,0.0,0.0,fcfs
5.513363391226281,26.20179104477612,67.0,3.0,9.0,1.0,10.0,57.0,0.0,11.0,38431.874452680335,672.8852376312326,0.0,0.0,fcfs
6.0,27.82328358208955,68.0,0.0,10.0,2.0,7.0,61.0,0.0,13.0,29358.45224250465,672.0108102433528,0.9934842366036584,0.0,fcfs
6.70348432529066,33.29910447761194,72.0,0.0,5.0,3.0,4.0,68.0,0.0,19.0,31085.069603298107,678.9906511715275,11.888144063537457,0.0,fcfs
7.20348432529066,33.60238805970149,70.0,0.0,5.0,5.0,0.0,70.0,0.0,21.0,13740.187427923316,688.8839014559071,11.888144063537457,0.0,fcfs
7.54392809097733,32.730746268656716,68.0,0.0,7.0,5.0,0.0,68.0,0.0,23.0,0.0,805.837155975998,11.888144063537457,0.0,fcfs
8.073266655504309,30.4,62.0,0.0,14.0,4.0,0.0,62.0,0.0,29.0,0.0,794.6583193073063,11.888144063537457,0.0,fcfs
8.603336825875726,29.282388059701493,59.0,0.0,17.0,4.0,0.0,59.0,0.0,32.0,0.0,785.5346560590466,11.888144063537457,0.0,fcfs
9.0,28.711641791044777,57.0,0.0,18.0,5.0,0.0,57.0,0.0,34.0,0.0,783.4624344468356,11.888144063537457,0.0,fcfs
9.924741723100835,38.16597014925373,72.0,0.0,3.0,5.0,3.0,69.0,0.0,37.0,24589.38355427099,685.4458703210228,23.093702739625908,0.0,fcfs
10.15277605646246,38.47880597014925,72.0,0.0,4.0,4.0,0.0,72.0,0.0,37.0,8315.287676567037,693.5983895527534,23.093702739625908,0.0,fcfs
10.956171600164048,36.74746268656716,69.0,0.0,8.0,3.0,0.0,69.0,0.0,40.0,0.0,801.328220558248,23.093702739625908,0.0,fcfs
11.439285776243137,34.402388059701494,66.0,0.0,9.0,5.0,0.0,66.0,0.0,43.0,0.0,791.3726531073602,23.093702739625908,0.0,fcfs
11.553452739268979,33.61432835820896,64.0,0.0,10.0,6.0,0.0,64.0,0.0,45.0,0.0,800.2573618433549,23.093702739625908,0.0,fcfs
12.0,31.266865671641792,59.0,0.0,13.0,8.0,0.0,59.0,0.0,50.0,0.0,779.4273050777967,23.093702739625908,0.0,fcfs
12.690560034730092,38.87522388059701,71.0,0.0,4.0,5.0,0.0,71.0,0.0,51.0,6840.824493769599,689.8449465925496,31.93874506619974,0.0,fcfs
13.07990817646368,38.21134328358209,69.0,0.0,6.0,5.0,0.0,69.0,0.0,53.0,0.0,808.3566760720731,31.93874506619974,0.0,fcfs
13.712975995893732,36.052537313432836,66.0,0.0,7.0,7.0,0.0,66.0,0.0,56.0,0.0,801.2968758569039,31.93874506619974,0.0,fcfs
14.014644639422054,34.528955223880594,64.0,0.0,10.0,6.0,0.0,64.0,0.0,58.0,0.0,803.827313900912,31.93874506619974,0.0,fcfs
14.509783886240552,33.38029850746268,61.0,0.0,14.0,5.0,0.0,61.0,0.0,61.0,0.0,795.8028283257322,31.93874506619974,0.0,fcfs
15.0,30.500298507462688,57.0,0.0,15.0,8.0,0.0,57.0,0.0,65.0,0.0,767.9571054763082,31.93874506619974,0.0,fcfs
15.644674469004679,39.30268656716418,70.0,0.0,4.0,6.0,1.0,69.0,0.0,67.0,16062.85192403627,684.9379301443332,38.98928030975509,0.0,fcfs
16.07089203134173,38.50029850746269,68.0,0.0,6.0,6.0,0.0,68.0,0.0,69.0,8.656295509708702,735.9990831153216,38.98928030975509,0.0,fcfs
16.79065433121188,38.24716417910448,67.0,0.0,11.0,2.0,0.0,67.0,0.0,70.0,0.0,804.2630737310988,38.98928030975509,0.0,fcfs
17.29065433121188,36.429850746268656,63.0,0.0,11.0,6.0,0.0,63.0,0.0,74.0,0.0,795.7158587468439,38.98928030975509,0.0,fcfs
17.79065433121188,34.91820895522388,60.0,0.0,11.0,9.0,0.0,60.0,0.0,77.0,0.0,775.9467659336697,38.98928030975509,0.0,fcfs
18.0,34.35462686567164,59.0,0.0,14.0,7.0,0.0,59.0,0.0,78.0,0.0,792.3127289953748,38.98928030975509,0.0,fcfs
18.96467757872861,42.665074626865675,70.0,0.0,5.0,5.0,1.0,69.0,0.0,81.0,21096.817693133824,681.816597910752,43.05506471705615,0.0,fcfs
19.222222289006154,41.75044776119403,69.0,0.0,6.0,5.0,0.0,69.0,0.0,82.0,1368.2012281620641,685.3342860067256,43.05506471705615,0.0,fcfs
