policy,time,pid,stage,phase,prefix_tokens,prompt_tokens,cache_warm,tool_type,tool_elapsed,tool_remaining_actual,event,sequence,waiting_age,reserve_blocks,completed_stage,cache_blocks
thunder_greedy,0.0,49,1,PREFILL,0,5039,False,,0.0,,ADMIT_COLD,80,0.0,580.0,,
thunder_greedy,0.0,4,1,PREFILL,0,5921,False,,0.0,,ADMIT_COLD,82,0.0,636.0,,
thunder_greedy,0.0,41,1,PREFILL,0,6216,False,,0.0,,ADMIT_COLD,84,0.0,654.0,,
thunder_greedy,0.0,42,1,PREFILL,0,6915,False,,0.0,,ADMIT_COLD,86,0.0,698.0,,
thunder_greedy,0.0,26,1,PREFILL,0,7098,False,,0.0,,ADMIT_COLD,88,0.0,709.0,,
thunder_greedy,0.0,54,1,PREFILL,0,7909,False,,0.0,,ADMIT_COLD,90,0.0,760.0,,
thunder_greedy,0.0,68,1,PREFILL,0,7959,False,,0.0,,ADMIT_COLD,92,0.0,763.0,,
thunder_greedy,0.0,33,1,PREFILL,0,8044,False,,0.0,,ADMIT_COLD,94,0.0,768.0,,
thunder_greedy,0.0,38,1,PREFILL,0,8258,False,,0.0,,ADMIT_COLD,96,0.0,782.0,,
thunder_greedy,0.0,34,1,PREFILL,0,8275,False,,0.0,,ADMIT_COLD,98,0.0,783.0,,
thunder_greedy,0.0,61,1,PREFILL,0,8279,False,,0.0,,ADMIT_COLD,100,0.0,783.0,,
thunder_greedy,0.0,45,1,PREFILL,0,8326,False,,0.0,,ADMIT_COLD,102,0.0,786.0,,
thunder_greedy,0.0,17,1,PREFILL,0,8393,False,,0.0,,ADMIT_COLD,104,0.0,790.0,,
thunder_greedy,0.0,72,1,PREFILL,0,8531,False,,0.0,,ADMIT_COLD,106,0.0,799.0,,
thunder_greedy,0.0,27,1,PREFILL,0,8608,False,,0.0,,ADMIT_COLD,108,0.0,804.0,,
thunder_greedy,0.0,74,1,PREFILL,0,8689,False,,0.0,,ADMIT_COLD,110,0.0,809.0,,
thunder_greedy,0.0,9,1,PREFILL,0,9126,False,,0.0,,ADMIT_COLD,112,0.0,836.0,,
thunder_greedy,0.0,60,1,PREFILL,0,9159,False,,0.0,,ADMIT_COLD,114,0.0,838.0,,
