policy_thunder_greedy,time,active_thunder_greedy,ready_thunder_greedy,tool_thunder_greedy,warm_caches_thunder_greedy,physical_kv_blocks_thunder_greedy,reserved_kv_blocks_thunder_greedy,capacity_blocks_thunder_greedy,n_admit_thunder_greedy,n_keep_thunder_greedy,n_evict_thunder_greedy,admit_ids_thunder_greedy,warm_admit_ids_thunder_greedy,cold_admit_ids_thunder_greedy,keep_ids_thunder_greedy,evict_ids_thunder_greedy,decision_ms_thunder_greedy,policy_hazard_grade_knapsack,active_hazard_grade_knapsack,ready_hazard_grade_knapsack,tool_hazard_grade_knapsack,warm_caches_hazard_grade_knapsack,physical_kv_blocks_hazard_grade_knapsack,reserved_kv_blocks_hazard_grade_knapsack,capacity_blocks_hazard_grade_knapsack,n_admit_hazard_grade_knapsack,n_keep_hazard_grade_knapsack,n_evict_hazard_grade_knapsack,admit_ids_hazard_grade_knapsack,warm_admit_ids_hazard_grade_knapsack,cold_admit_ids_hazard_grade_knapsack,keep_ids_hazard_grade_knapsack,evict_ids_hazard_grade_knapsack,decision_ms_hazard_grade_knapsack
thunder_greedy,140.0,33,45,2,2,19722,29365,30000,1,1,1,74,,74,61,45,0.016999983927235007,hazard_grade_knapsack,33,45,2,2,19722,29365,30000,1,1,1,66,,66,61,45,0.10479200864210725
thunder_greedy,160.0,33,45,2,2,20872,29757,30000,1,0,1,61,61,,,60,0.016166013665497303,hazard_grade_knapsack,33,45,2,2,20879,29587,30000,1,1,0,61,61,,60,,0.048792018787935376
thunder_greedy,165.0,33,44,3,1,20712,29253,30000,1,0,1,66,,66,,13,0.016292004147544503,hazard_grade_knapsack,33,44,3,2,21330,29694,30000,1,1,1,70,,70,60,13,0.04816701402887702
thunder_greedy,170.0,32,45,3,2,20422,29177,30000,1,1,0,72,72,,26,,0.018457998521625996,hazard_grade_knapsack,32,45,3,3,21041,29633,30000,2,0,2,72;13,72,13,,26;60,0.04895799793303013
thunder_greedy,175.0,32,44,4,2,20858,29295,30000,1,1,1,13,,13,26,54,0.020207982743158937,hazard_grade_knapsack,33,43,4,1,20311,29590,30000,0,1,0,,,,54,,0.045082997530698776
thunder_greedy,180.0,33,44,3,1,20734,29772,30000,0,1,0,,,,26,,0.018457998521625996,hazard_grade_knapsack,33,44,3,1,20738,29590,30000,1,0,0,54,54,,,,0.0357080134563148
thunder_greedy,185.0,33,46,1,1,21101,29772,30000,0,1,0,,,,26,,0.01720801810733974,hazard_grade_knapsack,34,45,1,0,21138,29952,30000,0,0,0,,,,,,0.03920801100321114
thunder_greedy,190.0,32,46,2,2,21474,29550,30000,1,1,1,54,,54,29,26,0.017207989003509283,hazard_grade_knapsack,33,45,2,1,21522,29730,30000,0,1,0,,,,29,,0.04445799277164042
thunder_greedy,195.0,30,46,4,4,21311,29242,30000,3,0,3,26;45;77,77,26;45,,6;29;52,0.018499995348975062,hazard_grade_knapsack,30,46,4,4,21902,29087,30000,3,1,2,77;26;45,77,26;45,6,29;52,0.09295900235883892
thunder_greedy,200.0,31,46,3,2,19672,29038,30000,2,0,2,60;6,,60;6,,9;58,0.01741599407978356,hazard_grade_knapsack,31,46,3,3,20900,29542,30000,2,0,1,6;58,6;58,,,9,0.04279098357073963
thunder_greedy,210.0,31,47,2,2,19284,29243,30000,2,0,2,58;9,,58;9,,10;38,0.01708397758193314,hazard_grade_knapsack,32,47,1,1,21099,29352,30000,1,0,1,60,,60,,38,0.043082982301712036
thunder_greedy,215.0,32,46,2,1,18443,29741,30000,0,1,0,,,,27,,0.016790989320725203,hazard_grade_knapsack,32,47,1,1,20905,29458,30000,1,0,0,10,10,,,,0.03674998879432678
thunder_greedy,225.0,31,48,1,2,19359,29635,30000,1,1,1,38,,38,21,24,0.020665989723056555,hazard_grade_knapsack,31,48,1,2,21784,29630,30000,1,1,0,21,21,,24,,0.04350001108832657
thunder_greedy,230.0,31,47,2,2,19131,29713,30000,1,0,2,29,,29,,8;21,0.018582999473437667,hazard_grade_knapsack,31,47,2,2,22212,29770,30000,1,0,2,38,,38,,8;24,0.047582987463101745
thunder_greedy,245.0,31,48,0,0,18425,28408,30000,1,0,0,21,,21,,,0.017125013982877135,hazard_grade_knapsack,32,47,1,0,22047,29341,30000,0,0,0,,,,,,0.04458299372345209
thunder_greedy,250.0,31,48,0,1,18891,29268,30000,1,0,1,52,,52,,43,0.018959020962938666,hazard_grade_knapsack,31,48,0,0,21731,28428,30000,1,0,0,9,,9,,,0.03808399196714163
thunder_greedy,255.0,32,47,0,0,18641,29660,30000,0,0,0,,,,,,0.01720900763757527,hazard_grade_knapsack,31,47,1,1,22104,29252,30000,1,0,1,29,,29,,43,0.04945899127051234
thunder_greedy,260.0,31,47,1,1,19110,29556,30000,1,0,1,70,,70,,68,0.017582991858944297,hazard_grade_knapsack,32,47,0,0,21758,29529,30000,0,0,0,,,,,,0.04079198697581887
thunder_greedy,265.0,30,47,2,2,18926,29653,30000,1,0,2,68,,68,,34;65,0.018916005501523614,hazard_grade_knapsack,32,47,0,0,22130,29529,30000,0,0,0,,,,,,0.04016599268652499
thunder_greedy,270.0,30,49,0,1,17995,29197,30000,1,0,1,65,,65,,48,0.0177919864654541,hazard_grade_knapsack,30,48,1,2,22507,29094,30000,2,0,1,13;30,13,30,,54,0.059250014601275325
thunder_greedy,275.0,30,48,1,1,17731,29301,30000,1,0,1,34,,34,,77,0.01704200985841453,hazard_grade_knapsack,30,47,2,2,22219,29563,30000,1,1,0,68,68,,66,,0.045833003241568804
thunder_greedy,280.0,31,48,0,0,17404,29588,30000,0,0,0,,,,,,0.027708010748028755,hazard_grade_knapsack,28,51,0,4,22636,29588,30000,3,0,1,65;48;66,65;48;66,,,34,0.04816698492504656
