policy,time,active,ready,tool,warm_caches,physical_kv_blocks,reserved_kv_blocks,capacity_blocks,n_admit,n_keep,n_evict,admit_ids,warm_admit_ids,cold_admit_ids,keep_ids,evict_ids,decision_ms
thunder_greedy,0.0,0,80,0,0,0,0,30000,35,0,0,49;4;41;42;26;54;68;33;38;34;61;45;17;72;27;74;9;60;6;8;58;65;77;24;48;46;10;43;21;16;29;52;13;32;57,,49;4;41;42;26;54;68;33;38;34;61;45;17;72;27;74;9;60;6;8;58;65;77;24;48;46;10;43;21;16;29;52;13;32;57,,,0.032082985853776336
thunder_greedy,5.0,35,45,0,0,2065,29020,30000,0,0,0,,,,,,0.019041995983570814
thunder_greedy,10.0,35,45,0,0,4095,29020,30000,0,0,0,,,,,,0.018624996300786734
thunder_greedy,15.0,35,45,0,0,6160,29020,30000,0,0,0,,,,,,0.016082980437204242
thunder_greedy,20.0,35,45,0,0,8260,29020,30000,0,0,0,,,,,,0.015458004781976342
thunder_greedy,25.0,35,45,0,0,10360,29020,30000,0,0,0,,,,,,0.01575000351294875
thunder_greedy,30.0,35,45,0,0,11475,29020,30000,0,0,0,,,,,,0.015958998119458556
thunder_greedy,35.0,35,45,0,0,11897,29020,30000,0,0,0,,,,,,0.015541998436674476
thunder_greedy,40.0,35,45,0,0,12352,29020,30000,0,0,0,,,,,,0.0153339933604002
thunder_greedy,45.0,35,45,0,0,12773,29020,30000,0,0,0,,,,,,0.015458004781976342
thunder_greedy,50.0,34,46,0,1,13221,28809,30000,1,0,0,49,49,,,,0.01912500010803342
thunder_greedy,55.0,35,45,0,0,13675,29149,30000,0,0,0,,,,,,0.01591700129210949
thunder_greedy,60.0,35,45,0,0,14129,29149,30000,0,0,0,,,,,,0.015166995581239462
thunder_greedy,65.0,35,45,0,0,14582,29149,30000,0,0,0,,,,,,0.01724998583085835
thunder_greedy,70.0,35,45,0,0,15036,29149,30000,0,0,0,,,,,,0.01925000105984509
thunder_greedy,75.0,34,45,1,1,15483,28948,30000,1,1,0,63,,63,4,,0.018291000742465258
thunder_greedy,80.0,35,44,1,1,15964,29945,30000,0,1,0,,,,4,,0.017167010810226202
thunder_greedy,85.0,35,45,0,1,16440,29945,30000,0,1,0,,,,4,,0.016708014300093055
thunder_greedy,90.0,34,46,0,2,16878,29754,30000,1,0,1,4,4,,,41,0.018583989003673196
thunder_greedy,95.0,34,45,1,1,16894,29365,30000,1,0,1,41,,41,,54,0.016959005733951926
thunder_greedy,100.0,35,45,0,0,16871,29679,30000,0,0,0,,,,,,0.0160830095410347
thunder_greedy,105.0,35,45,0,0,17371,29679,30000,0,0,0,,,,,,0.01562500256113708
thunder_greedy,110.0,35,45,0,0,17857,29679,30000,0,0,0,,,,,,0.015500001609325409
thunder_greedy,115.0,34,45,1,1,18371,29494,30000,1,0,1,54,,54,,42,0.01604200224392116
thunder_greedy,120.0,34,46,0,1,18355,29527,30000,1,0,1,42,,42,,74,0.016834004782140255
thunder_greedy,125.0,35,45,0,0,18307,29821,30000,0,0,0,,,,,,0.01591601176187396
thunder_greedy,130.0,34,45,1,1,18797,29588,30000,0,1,0,,,,45,,0.024250010028481483
thunder_greedy,135.0,34,45,1,1,19265,29588,30000,0,1,0,,,,45,,0.017416983610019088
thunder_greedy,140.0,33,45,2,2,19722,29365,30000,1,1,1,74,,74,61,45,0.016999983927235007
thunder_greedy,145.0,34,45,1,1,19588,29984,30000,0,1,0,,,,61,,0.017999991541728377
thunder_greedy,150.0,34,45,1,1,20014,29984,30000,0,1,0,,,,61,,0.016000005416572094
thunder_greedy,155.0,34,45,1,1,20442,29984,30000,0,1,0,,,,61,,0.016083999071270227
thunder_greedy,160.0,33,45,2,2,20872,29757,30000,1,0,1,61,61,,,60,0.016166013665497303
thunder_greedy,165.0,33,44,3,1,20712,29253,30000,1,0,1,66,,66,,13,0.016292004147544503
thunder_greedy,170.0,32,45,3,2,20422,29177,30000,1,1,0,72,72,,26,,0.018457998521625996
thunder_greedy,175.0,32,44,4,2,20858,29295,30000,1,1,1,13,,13,26,54,0.020207982743158937
thunder_greedy,180.0,33,44,3,1,20734,29772,30000,0,1,0,,,,26,,0.018457998521625996
thunder_greedy,185.0,33,46,1,1,21101,29772,30000,0,1,0,,,,26,,0.01720801810733974
thunder_greedy,190.0,32,46,2,2,21474,29550,30000,1,1,1,54,,54,29,26,0.017207989003509283
thunder_greedy,195.0,30,46,4,4,21311,29242,30000,3,0,3,26;45;77,77,26;45,,6;29;52,0.018499995348975062
thunder_greedy,200.0,31,46,3,2,19672,29038,30000,2,0,2,60;6,,60;6,,9;58,0.01741599407978356
thunder_greedy,205.0,33,47,0,0,18832,29610,30000,0,0,0,,,,,,0.01837499439716339
thunder_greedy,210.0,31,47,2,2,19284,29243,30000,2,0,2,58;9,,58;9,,10;38,0.01708397758193314
thunder_greedy,215.0,32,46,2,1,18443,29741,30000,0,1,0,,,,27,,0.016790989320725203
thunder_greedy,220.0,31,48,1,2,18898,29544,30000,1,1,0,27,27,,21,,0.021915999241173267
thunder_greedy,225.0,31,48,1,2,19359,29635,30000,1,1,1,38,,38,21,24,0.020665989723056555
thunder_greedy,230.0,31,47,2,2,19131,29713,30000,1,0,2,29,,29,,8;21,0.018582999473437667
thunder_greedy,235.0,32,47,1,0,18200,29321,30000,0,0,0,,,,,,0.017040991224348545
thunder_greedy,240.0,32,47,1,0,18671,29321,30000,0,0,0,,,,,,0.018457998521625996
thunder_greedy,245.0,31,48,0,0,18425,28408,30000,1,0,0,21,,21,,,0.017125013982877135
thunder_greedy,250.0,31,48,0,1,18891,29268,30000,1,0,1,52,,52,,43,0.018959020962938666
thunder_greedy,255.0,32,47,0,0,18641,29660,30000,0,0,0,,,,,,0.01720900763757527
thunder_greedy,260.0,31,47,1,1,19110,29556,30000,1,0,1,70,,70,,68,0.017582991858944297
thunder_greedy,265.0,30,47,2,2,18926,29653,30000,1,0,2,68,,68,,34;65,0.018916005501523614
thunder_greedy,270.0,30,49,0,1,17995,29197,30000,1,0,1,65,,65,,48,0.0177919864654541
thunder_greedy,275.0,30,48,1,1,17731,29301,30000,1,0,1,34,,34,,77,0.01704200985841453
thunder_greedy,280.0,31,48,0,0,17404,29588,30000,0,0,0,,,,,,0.027708010748028755
thunder_greedy,285.0,30,49,0,1,17875,29354,30000,1,0,1,48,,48,,13,0.018291990272700787
thunder_greedy,290.0,30,49,0,1,17568,29542,30000,1,0,0,16,16,,,,0.01783299376256764
thunder_greedy,295.0,29,48,2,2,18049,29520,30000,1,1,1,24,,24,66,46,0.01737498678267002
thunder_greedy,300.0,30,48,1,1,17744,29877,30000,0,1,0,,,,66,,0.01712498487904668
thunder_greedy,305.0,30,49,0,1,18216,29877,30000,0,1,0,,,,66,,0.01720900763757527
thunder_greedy,310.0,29,49,1,2,18681,29792,30000,1,0,2,46,,46,,4;66,0.017292011762037873
thunder_greedy,315.0,29,48,2,1,17665,29284,30000,1,0,1,10,,10,,41,0.016584002878516912
thunder_greedy,320.0,30,48,1,0,17451,29741,30000,0,0,0,,,,,,0.019583007087931037
thunder_greedy,325.0,29,48,2,1,17917,29705,30000,1,0,1,41,,41,,33,0.018250022549182177
thunder_greedy,330.0,28,48,3,2,17653,29664,30000,1,1,1,33,,33,54,32,0.017250014934688807
thunder_greedy,335.0,29,48,2,1,17227,29916,30000,0,1,0,,,,54,,0.018041988369077444
thunder_greedy,340.0,29,50,0,1,17694,29921,30000,0,1,0,,,,54,,0.017583981389179826
thunder_greedy,345.0,29,50,0,1,18157,29927,30000,0,1,0,,,,54,,0.016833015251904726
thunder_greedy,350.0,28,51,0,2,18623,29801,30000,1,0,2,4,,4,,27;54,0.019208004232496023
thunder_greedy,355.0,29,50,0,0,17615,29340,30000,0,0,0,,,,,,0.016582984244450927
thunder_greedy,360.0,29,50,0,0,18079,29346,30000,0,0,0,,,,,,0.01820901525206864
thunder_greedy,365.0,29,50,0,0,18547,29352,30000,0,0,0,,,,,,0.016207981389015913
thunder_greedy,370.0,28,50,1,1,19014,29138,30000,1,0,1,54,,54,,9,0.017082988051697612
thunder_greedy,375.0,27,50,2,2,18712,29234,30000,2,0,2,8;77,,8;77,,17;26,0.01750001683831215
thunder_greedy,380.0,28,49,2,1,17604,29917,30000,1,0,1,30,,30,,63,0.020415987819433212
thunder_greedy,385.0,29,49,1,0,17132,30000,30000,0,0,0,,,,,,0.017167010810226202
thunder_greedy,390.0,29,50,0,0,17595,30000,30000,0,0,0,,,,,,0.016250007320195436
thunder_greedy,395.0,29,50,0,0,18058,30000,30000,0,0,0,,,,,,0.018874998204410076
thunder_greedy,400.0,28,50,0,0,17727,29021,30000,0,0,0,,,,,,0.01604200224392116
thunder_greedy,405.0,27,50,0,0,17202,28035,30000,1,0,0,26,,26,,,0.01741599407978356
thunder_greedy,410.0,28,49,0,0,17670,29118,30000,0,0,0,,,,,,0.016375008272007108
