policy,time,sequence,pid,old_phase,new_phase
thunder_greedy,0.0,0,0,START,READY
thunder_greedy,0.0,1,1,START,READY
thunder_greedy,0.0,2,2,START,READY
thunder_greedy,0.0,3,3,START,READY
thunder_greedy,0.0,4,4,START,READY
thunder_greedy,0.0,5,5,START,READY
thunder_greedy,0.0,6,6,START,READY
thunder_greedy,0.0,7,7,START,READY
thunder_greedy,0.0,8,8,START,READY
thunder_greedy,0.0,9,9,START,READY
thunder_greedy,0.0,10,10,START,READY
thunder_greedy,0.0,11,11,START,READY
thunder_greedy,0.0,12,12,START,READY
thunder_greedy,0.0,13,13,START,READY
thunder_greedy,0.0,14,14,START,READY
thunder_greedy,0.0,15,15,START,READY
thunder_greedy,0.0,16,16,START,READY
thunder_greedy,0.0,17,17,START,READY
thunder_greedy,0.0,18,18,START,READY
thunder_greedy,0.0,19,19,START,READY
thunder_greedy,0.0,20,20,START,READY
thunder_greedy,0.0,21,21,START,READY
thunder_greedy,0.0,22,22,START,READY
thunder_greedy,0.0,23,23,START,READY
thunder_greedy,0.0,24,24,START,READY
thunder_greedy,0.0,25,25,START,READY
thunder_greedy,0.0,26,26,START,READY
thunder_greedy,0.0,27,27,START,READY
thunder_greedy,0.0,28,28,START,READY
thunder_greedy,0.0,29,29,START,READY
thunder_greedy,0.0,30,30,START,READY
thunder_greedy,0.0,31,31,START,READY
thunder_greedy,0.0,32,32,START,READY
thunder_greedy,0.0,33,33,START,READY
thunder_greedy,0.0,34,34,START,READY
thunder_greedy,0.0,35,35,START,READY
thunder_greedy,0.0,36,36,START,READY
thunder_greedy,0.0,37,37,START,READY
thunder_greedy,0.0,38,38,START,READY
thunder_greedy,0.0,39,39,START,READY
thunder_greedy,0.0,40,40,START,READY
thunder_greedy,0.0,41,41,START,READY
thunder_greedy,0.0,42,42,START,READY
thunder_greedy,0.0,43,43,START,READY
thunder_greedy,0.0,44,44,START,READY
thunder_greedy,0.0,45,45,START,READY
thunder_greedy,0.0,46,46,START,READY
thunder_greedy,0.0,47,47,START,READY
thunder_greedy,0.0,48,48,START,READY
thunder_greedy,0.0,49,49,START,READY
thunder_greedy,0.0,50,50,START,READY
thunder_greedy,0.0,51,51,START,READY
thunder_greedy,0.0,52,52,START,READY
thunder_greedy,0.0,53,53,START,READY
thunder_greedy,0.0,54,54,START,READY
thunder_greedy,0.0,55,55,START,READY
thunder_greedy,0.0,56,56,START,READY
thunder_greedy,0.0,57,57,START,READY
thunder_greedy,0.0,58,58,START,READY
thunder_greedy,0.0,59,59,START,READY
thunder_greedy,0.0,60,60,START,READY
thunder_greedy,0.0,61,61,START,READY
thunder_greedy,0.0,62,62,START,READY
thunder_greedy,0.0,63,63,START,READY
thunder_greedy,0.0,64,64,START,READY
thunder_greedy,0.0,65,65,START,READY
thunder_greedy,0.0,66,66,START,READY
thunder_greedy,0.0,67,67,START,READY
